LEXEME,REPLACEMENT,COMMENT
"ʔu, l̥eih",ʔu,multi-word
"kaɗoːm, ɗap",kaɗoːm,multi-word
"ʔi, duʔi",ʔi,multi-word
"Ɂuː, l̥ejh",Ɂuː,multi-word
"ʔu, l̥eih",ʔu,multi-word
"Ɂiluj, luj",Ɂiluj,multi-word
"sәp,",sәp,multi-word
