Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL
oj$	o j
ej$	e j
au$	a u
au	au
ou	ou
oj	oi
ɛa	ɛa
əa	əa
ai$	a j
ai	ai
ej	ei
ei	ei
aŋiː	a + ŋ iː	1_sun
aŋa	a + ŋ a
əŋɔ	ə + ŋ ɔ
aŋɛː	a + ŋ ɛː
aŋɛ	a + ŋ ɛ
ŋk	ŋ + k	2_moon
ŋɡ	ŋ + g
əɡ	ə + g
aɡ	a + g
nl	n + l
akj	a + k j
amɛ	a + m ɛ	3_star
әme	ə + m e
ame	a + m e
əma	ə + m a
ama	a + m a
amă	a + m ă
aɁuː	a + ʔ uː	4_cloud
aɁu	a + ʔ u
ɨʔuː	ɨ + ʔ uː
^ŋɁ	ŋ + ʔ
ŋɁ	ŋ + ʔ
m̥	+ m̥	7_night
w m̥	w + m̥
ŋm̥	ŋ + m̥
as	a + s
anә	a + n ə	8_year
әnә	ə + n ə
ana	a + n a
әna	ə + n a
anɔ	a + n ɔ
ană	a + n ă
əna	ə + n a
anə	a + n ə
anə̆	a + n ə̆
әɗ	ə + ɗ	10_earthsoil
nd	n + d
aɗ	a + ɗ
əd	ə + d
ad	a + d
ata	a + t a
ataː	a + t aː
ŋh	ŋ + h	13_tree
hh	h + h	14_root
rb	r + b	18_grass
Ɂs	ʔ + s	19_salty
aɁo	a + ʔ o	20_dog
aʔu	a + ʔ u
aʔo	a + ʔ o
əɗ	ə + ɗ	23_tail
aha	a + h a	28_snake
ahă	a + h ă
əb	ə + b	29_louse
Ɂk	ʔ + k	31_hair
kk	k + k
ŋm	ŋ + m	33_nose
amu	a + m u
umu	u + m u
ajʨh	a j + ʨʰ	34_ear
ala	a + l a
ɛːj̊	ɛː + j̊
aj̊	a + j̊
aʨh	a + ʨʰ
rɗ	r + ɗ	36_tongue
ɨd	ɨ + d
ətaː	ə + t aː
ejnɔ	ei + n ɔ	39_heart
erɔː	e + r ɔː
ara	a + r a
ahujə	a + h u + j ə
ɔːjnɔ	ɔː j + n ɔ
ənɔ	ə + n ɔ
atɔː	a + t ɔː	40_liver, start Jun
əɣa	ə + ɣ a	41_intestines
ɔnv	ɔ + n v 
әni	ə + n i	43_nail
mɗ	m + ɗ
әnh	ə + n h
ahi	a + h i
ŋhiː	ŋ + h iː
^ŋh	ŋ + h
aʔɛː	a + ʔ ɛː	45_bone
aʔa	a + ʔ a
aʔaː	a + ʔ aː
uvɨ	u + v ɨ	49_personhuman
uɁi	u + ʔ i
uɁɨ	u + ʔ ɨ
uʔu	u + ʔ u
aɁiː	a + ʔ iː
uʔiː	u + ʔ iː
ɔnɲɔ	ɔ n + ɲ ɔ	50_child
^nt	n + t	52_roadpath
^nd	n + d
aʥ	a + dʑ	53_sew
afaː	a + f aː	55_ashes
ɔŋɔː	ɔ + ŋ ɔː
əfɛː	ə + f ɛː
kŋ	k + ŋ	56_smoke
ʔŋ	ʔ + ŋ
nhɔ	n + h ɔ	62_breathe
nɁɔ	n + ʔ ɔ
hph	h + pʰ
nɲ	n + ɲ	63_laugh
əɲa	ə + ɲ a
aɲa	a + ɲ a
aŋi	a + ŋ i
^kaŋi	k a + ŋ i
acu	a + c u	65_fear
abaː	a + b aː	67_scratch
aku	a + k u	73_rub
udi	u + d i
^thuth	tʰ u + tʰ
abɔ	a + b ɔ
ʔɗa	ʔ + ɗ a
əɓɔː	ə + ɓ ɔː
abɔː	a + b ɔː
ab	a + b
aɓɔ	a + ɓ ɔ
akə̆	a + k ə̆	74_cut
hɓɨ	h + ɓ ɨ
ŋb	ŋ + b
әhɓɨ	ə h + ɓ ɨ	75_dig
pp	p + p	77_hunt
^mph	m + pʰ	82_four
rʨә	r + tɕ ə	83_many
ŋr̥	ŋ + r̥	84_long
nn	n + n	86_rightside
aʔɔ	a + ʔ ɔ
ŋʔa	ŋ + ʔ a
a?ɔ	a + ʔ ɔ
aɁa	a + ʔ a
aʔe	a + ʔ e
aɁɛ	a + ʔ ɛ
aɁə	a + ʔ ə
aʔă	a + ʔ a
nka	n + k a	87_leftside
aka	a + k a
akɛ	a + k ɛ
aŋaː	a + ŋ aː	88_far
nda	n + d a	89_near
ad̤	a + d̤
^mt	m + t
əʨɔ	ə + tɕ ɔ
aʨa	a + tɕ a
ani	a + n i	90_this
aniː	a + n iː
aɁɨː	a + ʔ ɨː
uʔɯː	u + ʔ ɯː
ivɔ	i + v ɔ	91_black
ilu	i + l u	92_white
nmɛː	n + m ɛː	93_new
amaː	a + m aː
rme	r + m e
nme	n + m e 
nʨh	n + ʨʰ	94_oldaged
aɁaː	a + ʔ aː
әɁaː	ə + ʔ aː 
imɔ	i + m ɔ	97_who
iɁa	i + ʔ a
imi	i + m i
nmә	n + m ə	98_what
imu	i + m u
nmu	n + m u 
əmu	ə + m u
əmo	ə + m o
inə	i + n ə
a	a	sanam, saŋaj	NyaungGone, PangKham, NoeLae, ChaYeQing, ManLoi, PongNuea, ChuDongGua, GuangKa, MangBang, NanSang, BanPaw, NamHsan, MengDan, XiangZhaiTang, HtanHsan, KhunHawt	100	U+0061
^k	k	kaː, kaɁaːŋ	MengDan, NamHsan, NanSang, KhunHawt, GuangKa, ChuDongGua, MangBang, HtanHsan, ChaYeQing, ManLoi, NyaungGone, PongNuea, PangKham, XiangZhaiTang, NoeLae, BanPaw	100	U+005e U+006b
ŋ$	ŋ	nɨŋ, kaɁaːŋ	NamHsan, ManLoi, ChuDongGua, KhunHawt, HtanHsan, MengDan, PangKham, NanSang, GuangKa, PongNuea, NoeLae, BanPaw, XiangZhaiTang, ChaYeQing, MangBang	100	U+014b U+0024
i	i	sim, riah	MengDan, PangKham, ChuDongGua, HtanHsan, ManLoi, NoeLae, PongNuea, NyaungGone, NamHsan, BanPaw, KhunHawt, XiangZhaiTang, NanSang	100	U+0069
j$	j	ŋaːj, ɡlaːj	ChaYeQing, ManLoi, GuangKa, PangKham, MangBang, HtanHsan, ChuDongGua, NanSang, XiangZhaiTang, PongNuea, MengDan, KhunHawt, NyaungGone, NoeLae, BanPaw, NamHsan	100	U+006a U+0024
m$	m	sim, ʔoːm	NamHsan, PangKham, HtanHsan, ManLoi, GuangKa, MangBang, ChuDongGua, KhunHawt, ChaYeQing, MengDan, NyaungGone, PongNuea, NoeLae, NanSang, BanPaw, XiangZhaiTang	100	U+006d U+0024
o	o	ɓoh, ɁaɁoɁ	GuangKa, ChaYeQing, MangBang, NanSang, NoeLae, KhunHawt, NyaungGone, BanPaw, PongNuea, ChuDongGua, XiangZhaiTang, PangKham, MengDan, HtanHsan, ManLoi, NamHsan	100	U+006f
u	u	ɡuŋmuh, hur	BanPaw, NyaungGone, NamHsan, ManLoi, PongNuea, MengDan, NoeLae, XiangZhaiTang, HtanHsan, ChuDongGua, KhunHawt, ChaYeQing, PangKham, GuangKa, MangBang, NanSang	100	U+0075
n$	n	han, maɡian	NyaungGone, ChaYeQing, NanSang, BanPaw, XiangZhaiTang, GuangKa, MangBang, PongNuea, NoeLae, PangKham, NamHsan, ManLoi, MengDan, HtanHsan, ChuDongGua, KhunHawt	100	U+006e U+0024
^s	s	sim, sanam	HtanHsan, MangBang, NanSang, KhunHawt, XiangZhaiTang, NamHsan, GuangKa, NyaungGone, ManLoi, PongNuea, ChuDongGua, NoeLae, BanPaw, PangKham, MengDan, ChaYeQing	100	U+005e U+0073
ɔ	ɔ	nɔn, ʥɔh	NanSang, NyaungGone, BanPaw, HtanHsan, MangBang, NoeLae, PangKham, XiangZhaiTang, ChuDongGua, MengDan, NamHsan, ChaYeQing, ManLoi, PongNuea, GuangKa, KhunHawt	100	U+0254
h$	h	riah, dɛh	PongNuea, PangKham, ManLoi, NyaungGone, GuangKa, MangBang, NoeLae, NanSang, ChaYeQing, BanPaw, NamHsan, MengDan, XiangZhaiTang, HtanHsan, ChuDongGua, KhunHawt	100	U+0068 U+0024
Ɂ$	ʔ	ɁiɁ, ɁaɁoɁ	NamHsan, HtanHsan, ManLoi, PongNuea, XiangZhaiTang, NanSang, BanPaw, NoeLae, PangKham, KhunHawt, GuangKa, ChaYeQing, MangBang, MengDan, ChuDongGua	100	U+0241 U+0024
