ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY
1555	99_i	I	NamHsan	Namhsan	Ɂɔː	Ɂɔː	ʔ ɔː		1209	22.965064	97.163239	
1556	99_i	I	KhunHawt	Khun Hawt	Ɂoː	Ɂoː	ʔ oː		1209	22.965064	97.163239	
1557	99_i	I	HtanHsan	Htan Hsan	Ɂɔː	Ɂɔː	ʔ ɔː		1209	22.675133	97.289942	
1558	99_i	I	ManLoi	Man Loi	Ɂɔː	Ɂɔː	ʔ ɔː		1209	22.636019	97.139264	
1559	99_i	I	MengDan	Meng Dan	ʔoː	ʔoː	ʔ oː	khan1274	1209	24.296522	98.379886	
1560	99_i	I	ChuDongGua	Chu Dong Gua	ʔoː	ʔoː	ʔ oː		1209	24.330889	98.393125	
1561	99_i	I	XiangZhaiTang	Xiang Zhai Tang	Ɂow	Ɂow	ʔ o w	ruma1248	1209	24.323819	98.556639	
1562	99_i	I	PongNuea	Pong Nuea	Ɂow	Ɂow	ʔ o w		1209	20.321525	99.866817	
1563	99_i	I	NyaungGone	Nyaung Gone	ʔo	ʔo	ʔ o		1209	20.635025	96.545772	
1564	99_i	I	NoeLae	Noe Lae	Ɂo	Ɂo	ʔ o		1209	19.941803	99.044742	
1565	99_i	I	BanPaw	Ban Paw	Ɂo	Ɂo	ʔ o		1209	21.311225	99.557550	
1566	99_i	I	ChaYeQing	Cha Ye Qing	Ɂaw	Ɂaw	ʔ a w		1209	24.305717	98.463661	
1567	99_i	I	GuangKa	Guang Ka	Ɂau	Ɂau	ʔ a u	ruma1248	1209	24.065714	97.796281	
1568	99_i	I	MangBang	Mang Bang	Ɂaw	Ɂaw	ʔ a w	ruma1248	1209	24.416392	98.399078	
1569	99_i	I	NanSang	Nan Sang	Ɂaw	Ɂaw	ʔ a w	ruma1248	1209	24.019728	97.819736	
593	38_abdomen	abdomen	NamHsan	Namhsan	vɛɁ	vɛɁ	v ɛ ʔ		1251	22.965064	97.163239	
594	38_abdomen	abdomen	KhunHawt	Khun Hawt	vac	vac	v a c		1251	22.965064	97.163239	
595	38_abdomen	abdomen	HtanHsan	Htan Hsan	vaic	vaic	v a i c		1251	22.675133	97.289942	
596	38_abdomen	abdomen	PangKham	Pangkham	waɁ	waɁ	w a ʔ		1251	22.672097	97.161167	
597	38_abdomen	abdomen	ManLoi	Man Loi	vaiɁ	vaiɁ	v a i ʔ		1251	22.636019	97.139264	
598	38_abdomen	abdomen	MengDan	Meng Dan	veʔ	veʔ	v e ʔ	khan1274	1251	24.296522	98.379886	
599	38_abdomen	abdomen	ChuDongGua	Chu Dong Gua	vɛʔ	vɛʔ	v ɛ ʔ		1251	24.330889	98.393125	
600	38_abdomen	abdomen	XiangZhaiTang	Xiang Zhai Tang	vac	vac	v a c	ruma1248	1251	24.323819	98.556639	
601	38_abdomen	abdomen	PongNuea	Pong Nuea	vaic	vaic	v a i c		1251	20.321525	99.866817	
602	38_abdomen	abdomen	NyaungGone	Nyaung Gone	văt	văt	v ă t		1251	20.635025	96.545772	
603	38_abdomen	abdomen	NoeLae	Noe Lae	văc	văc	v ă c		1251	19.941803	99.044742	
604	38_abdomen	abdomen	BanPaw	Ban Paw	văt	văt	v ă t		1251	21.311225	99.557550	
605	38_abdomen	abdomen	ChaYeQing	Cha Ye Qing	vat	vat	v a t		1251	24.305717	98.463661	
606	38_abdomen	abdomen	GuangKa	Guang Ka	vat	vat	v a t	ruma1248	1251	24.065714	97.796281	
607	38_abdomen	abdomen	MangBang	Mang Bang	vat	vat	v a t	ruma1248	1251	24.416392	98.399078	
608	38_abdomen	abdomen	NanSang	Nan Sang	vat	vat	v a t	ruma1248	1251	24.019728	97.819736	
854	55_ashes	ashes	NamHsan	Namhsan	kafaːŋ	kafaːŋ	k a f aː ŋ		646	22.965064	97.163239	
855	55_ashes	ashes	KhunHawt	Khun Hawt	kafaːŋ	kafaːŋ	k a f aː ŋ		646	22.965064	97.163239	
856	55_ashes	ashes	HtanHsan	Htan Hsan	kafaːŋ	kafaːŋ	k a f aː ŋ		646	22.675133	97.289942	
857	55_ashes	ashes	PangKham	Pangkham	kafaːŋ	kafaːŋ	k a f aː ŋ		646	22.672097	97.161167	
858	55_ashes	ashes	ManLoi	Man Loi	kafaːŋ	kafaːŋ	k a f aː ŋ		646	22.636019	97.139264	
859	55_ashes	ashes	MengDan	Meng Dan	kəfɛːŋ	kəfɛːŋ	k ə f ɛː ŋ	khan1274	646	24.296522	98.379886	
860	55_ashes	ashes	ChuDongGua	Chu Dong Gua	kafaːŋ	kafaːŋ	k a f aː ŋ		646	24.330889	98.393125	
