Language,BanPaw,ChaYeQing,ChuDongGua,GuangKa,HtanHsan,KhunHawt,MangBang,ManLoi,MengDan,NamHsan,NanSang,NoeLae,NyaungGone,PangKham,PongNuea,XiangZhaiTang
BanPaw,0,0.18999999999999995,0.22999999999999998,0.2142857142857143,0.3535353535353535,0.36734693877551017,0.22999999999999998,0.23232323232323238,0.2828282828282829,0.4040404040404041,0.2222222222222222,0.020000000000000018,0.08080808080808077,0.2142857142857143,0.030303030303030276,0.13541666666666663
ChaYeQing,0.18999999999999995,0,0.22999999999999998,0.173469387755102,0.33333333333333337,0.34693877551020413,0.18999999999999995,0.18181818181818177,0.2222222222222222,0.3535353535353535,0.202020202020202,0.18999999999999995,0.23232323232323238,0.16326530612244894,0.19191919191919193,0.14583333333333337
ChuDongGua,0.22999999999999998,0.22999999999999998,0,0.24489795918367352,0.29292929292929293,0.30612244897959184,0.27,0.21212121212121215,0.14141414141414144,0.33333333333333337,0.29292929292929293,0.24,0.303030303030303,0.173469387755102,0.2525252525252525,0.20833333333333337
GuangKa,0.2142857142857143,0.173469387755102,0.24489795918367352,0,0.33673469387755106,0.35051546391752575,0.0714285714285714,0.24489795918367352,0.2989690721649485,0.3877551020408163,0.061855670103092786,0.22448979591836737,0.2680412371134021,0.22680412371134018,0.21649484536082475,0.2021276595744681
HtanHsan,0.3535353535353535,0.33333333333333337,0.29292929292929293,0.33673469387755106,0,0.0714285714285714,0.3434343434343434,0.2525252525252525,0.33673469387755106,0.1717171717171717,0.326530612244898,0.3535353535353535,0.3877551020408163,0.26530612244897955,0.36734693877551017,0.28421052631578947
KhunHawt,0.36734693877551017,0.34693877551020413,0.30612244897959184,0.35051546391752575,0.0714285714285714,0,0.3571428571428571,0.2755102040816326,0.3402061855670103,0.15306122448979587,0.3298969072164949,0.37755102040816324,0.41237113402061853,0.27835051546391754,0.38144329896907214,0.32978723404255317
MangBang,0.22999999999999998,0.18999999999999995,0.27,0.0714285714285714,0.3434343434343434,0.3571428571428571,0,0.24242424242424243,0.33333333333333337,0.3939393939393939,0.09090909090909094,0.24,0.2828282828282829,0.2551020408163265,0.23232323232323238,0.19791666666666663
ManLoi,0.23232323232323238,0.18181818181818177,0.21212121212121215,0.24489795918367352,0.2525252525252525,0.2755102040816326,0.24242424242424243,0,0.22448979591836737,0.29292929292929293,0.24489795918367352,0.23232323232323238,0.2551020408163265,0.0714285714285714,0.24489795918367352,0.18947368421052635
MengDan,0.2828282828282829,0.2222222222222222,0.14141414141414144,0.2989690721649485,0.33673469387755106,0.3402061855670103,0.33333333333333337,0.22448979591836737,0,0.3571428571428571,0.326530612244898,0.2828282828282829,0.33673469387755106,0.20618556701030932,0.2857142857142857,0.26315789473684215
NamHsan,0.4040404040404041,0.3535353535353535,0.33333333333333337,0.3877551020408163,0.1717171717171717,0.15306122448979587,0.3939393939393939,0.29292929292929293,0.3571428571428571,0,0.37755102040816324,0.4040404040404041,0.4387755102040817,0.30612244897959184,0.40816326530612246,0.368421052631579
NanSang,0.2222222222222222,0.202020202020202,0.29292929292929293,0.061855670103092786,0.326530612244898,0.3298969072164949,0.09090909090909094,0.24489795918367352,0.326530612244898,0.37755102040816324,0,0.23232323232323238,0.2755102040816326,0.24742268041237114,0.22448979591836737,0.19999999999999996
NoeLae,0.020000000000000018,0.18999999999999995,0.24,0.22448979591836737,0.3535353535353535,0.37755102040816324,0.24,0.23232323232323238,0.2828282828282829,0.4040404040404041,0.23232323232323238,0,0.07070707070707072,0.2142857142857143,0.030303030303030276,0.13541666666666663
NyaungGone,0.08080808080808077,0.23232323232323238,0.303030303030303,0.2680412371134021,0.3877551020408163,0.41237113402061853,0.2828282828282829,0.2551020408163265,0.33673469387755106,0.4387755102040817,0.2755102040816326,0.07070707070707072,0,0.25773195876288657,0.09183673469387754,0.17894736842105263
PangKham,0.2142857142857143,0.16326530612244894,0.173469387755102,0.22680412371134018,0.26530612244897955,0.27835051546391754,0.2551020408163265,0.0714285714285714,0.20618556701030932,0.30612244897959184,0.24742268041237114,0.2142857142857143,0.25773195876288657,0,0.22680412371134018,0.2021276595744681
PongNuea,0.030303030303030276,0.19191919191919193,0.2525252525252525,0.21649484536082475,0.36734693877551017,0.38144329896907214,0.23232323232323238,0.24489795918367352,0.2857142857142857,0.40816326530612246,0.22448979591836737,0.030303030303030276,0.09183673469387754,0.22680412371134018,0,0.14583333333333337
XiangZhaiTang,0.13541666666666663,0.14583333333333337,0.20833333333333337,0.2021276595744681,0.28421052631578947,0.32978723404255317,0.19791666666666663,0.18947368421052635,0.26315789473684215,0.368421052631579,0.19999999999999996,0.13541666666666663,0.17894736842105263,0.2021276595744681,0.14583333333333337,0
