ID	CONCEPT	DOCULECT	VALUE	FORM	TOKENS	GLOTTOLOG	COG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT	CROSSIDS
722	fat	NyaungGone	briak	briak	b r ia k		1-46	1 5 7 1	ACXN	PRIK	13	13.P.C 13.R.C 13.I.V 13.K.c	2.0 1.5 1.5 0.8	briak	0	541	b r ia k	541
723	fat	NoeLae	briaŋ	briaŋ	b r ia ŋ		1-46	1 5 7 4	ACXN	PRIN	12	12.P.C 12.R.C 12.I.V 12.N.c	2.0 1.5 1.5 0.8	briaŋ	0	541	b r ia ŋ	541
724	fat	BanPaw	briaŋ	briaŋ	b r ia ŋ		1-46	1 5 7 4	ACXN	PRIN	1	1.P.C 1.R.C 1.I.V 1.N.c	2.0 1.5 1.5 0.8	briaŋ	0	541	b r ia ŋ	541
725	fat	ChaYeQing	bjoŋ	bjoŋ	b io ŋ		2-46	1 7 4	AXN	PIN	2	2.P.C 2.I.V 2.N.c	2.0 1.5 0.8	bioŋ	0	541	b - io ŋ	541
726	fat	GuangKa	pjoŋ	pjoŋ	p io ŋ	ruma1248	2-46	1 7 4	AXN	PIN	4	4.P.C 4.I.V 4.N.c	2.0 1.5 0.8	pioŋ	0	541	p - io ŋ	541
727	fat	MangBang	pjoŋ	pjoŋ	p io ŋ	ruma1248	2-46	1 7 4	AXN	PIN	7	7.P.C 7.I.V 7.N.c	2.0 1.5 0.8	pioŋ	0	541	p - io ŋ	541
728	fat	NanSang	pjoŋ	pjoŋ	p io ŋ	ruma1248	2-46	1 7 4	AXN	PIN	11	11.P.C 11.I.V 11.N.c	2.0 1.5 0.8	pioŋ	0	541	p - io ŋ	541
1014	fear	NamHsan	ʥɔː	ʥɔː	dʑ ɔː		1-65	2 7	AX	CU	10	10.C.C 10.U.V	2.0 1.5	dʑɔː	0	558	dʑ ɔː -	558
1015	fear	KhunHawt	jow	jow	j o w		1-65	6 7 6	AXN	JUW	6	6.J.C 6.U.V 6.W.c	2.0 1.5 0.8	jow	0	559	j o w	559
1016	fear	HtanHsan	ʥoː	ʥoː	dʑ oː		1-65	2 7	AX	CU	5	5.C.C 5.U.V	2.0 1.5	dʑoː	0	558	dʑ oː -	558
1017	fear	PangKham	ʥoː	ʥoː	dʑ oː		1-65	2 7	AX	CU	14	14.C.C 14.U.V	2.0 1.5	dʑoː	0	558	dʑ oː -	558
1018	fear	ManLoi	ʥɔː	ʥɔː	dʑ ɔː		1-65	2 7	AX	CU	8	8.C.C 8.U.V	2.0 1.5	dʑɔː	0	558	dʑ ɔː -	558
1019	fear	MengDan	ʥoː	ʥoː	dʑ oː	khan1274	1-65	2 7	AX	CU	9	9.C.C 9.U.V	2.0 1.5	dʑoː	0	558	dʑ oː -	558
1020	fear	ChuDongGua	joː	joː	j oː		1-65	6 7	AX	JU	3	3.J.C 3.U.V	2.0 1.5	joː	0	559	j oː -	559
1021	fear	PongNuea	jow	jow	j o w		1-65	6 7 6	AXN	JUW	15	15.J.C 15.U.V 15.W.c	2.0 1.5 0.8	jow	0	559	j o w	559
1022	fear	NyaungGone	kacua	kacua	k a + c u a		2-65	1 7 9 1 7 7	AX_AXZ	KA_CYA	13	13.K.C 13.A.V 13._._ 13.C.C 13.Y.V 13.A.V	2.0 1.5 0.0 2.0 1.5 0.8	ka+cua	0	560 558	k a - + c u a	560 558
1023	fear	NoeLae	kacua	kacua	k a + c u a		2-65	1 7 9 1 7 7	AX_AXZ	KA_CYA	12	12.K.C 12.A.V 12._._ 12.C.C 12.Y.V 12.A.V	2.0 1.5 0.0 2.0 1.5 0.8	ka+cua	0	560 558	k a - + c u a	560 558
1024	fear	BanPaw	jo	jo	j o		1-65	6 7	AX	JU	1	1.J.C 1.U.V	2.0 1.5	jo	0	558	j o -	558
1025	fear	ChaYeQing	ʥaw	ʥaw	dʑ a w		1-65	2 7 6	AXN	CAW	2	2.C.C 2.A.V 2.W.c	2.0 1.5 0.8	dʑaw	0	559	dʑ a w	559
1026	fear	GuangKa	jaw	jaw	j a w	ruma1248	1-65	6 7 6	AXN	JAW	4	4.J.C 4.A.V 4.W.c	2.0 1.5 0.8	jaw	0	559	j a w	559
1027	fear	MangBang	jaw	jaw	j a w	ruma1248	1-65	6 7 6	AXN	JAW	7	7.J.C 7.A.V 7.W.c	2.0 1.5 0.8	jaw	0	559	j a w	559
1028	fear	NanSang	jaw	jaw	j a w	ruma1248	1-65	6 7 6	AXN	JAW	11	11.J.C 11.A.V 11.W.c	2.0 1.5 0.8	jaw	0	559	j a w	559
838	fire	NamHsan	ŋar	ŋar	ŋ a r		1-54	4 7 5	AXN	NAR	10	10.N.C 10.A.V 10.R.c	2.0 1.5 0.8	ŋar	0	576	ŋ a r	1734
839	fire	KhunHawt	ŋar	ŋar	ŋ a r		1-54	4 7 5	AXN	NAR	6	6.N.C 6.A.V 6.R.c	2.0 1.5 0.8	ŋar	0	576	ŋ a r	1734
840	fire	HtanHsan	ŋal	ŋal	ŋ a l		1-54	4 7 5	AXN	NAL	5	5.N.C 5.A.V 5.L.c	2.0 1.5 0.8	ŋal	0	576	ŋ a l	1734
841	fire	PangKham	ŋɔː	ŋɔː	ŋ ɔː		2-54	4 7	AX	NU	14	14.N.C 14.U.V	2.0 1.5	ŋɔː	0	576	ŋ ɔː -	1734
842	fire	ManLoi	ŋɔː	ŋɔː	ŋ ɔː		2-54	4 7	AX	NU	8	8.N.C 8.U.V	2.0 1.5	ŋɔː	0	576	ŋ ɔː -	1734
843	fire	MengDan	ŋal	ŋal	ŋ a l	khan1274	1-54	4 7 5	AXN	NAL	9	9.N.C 9.A.V 9.L.c	2.0 1.5 0.8	ŋal	0	576	ŋ a l	1734
844	fire	ChuDongGua	ŋɔr	ŋɔr	ŋ ɔ r		1-54	4 7 5	AXN	NUR	3	3.N.C 3.U.V 3.R.c	2.0 1.5 0.8	ŋɔr	0	576	ŋ ɔ r	1734
845	fire	XiangZhaiTang	ŋɔː	ŋɔː	ŋ ɔː	ruma1248	2-54	4 7	AX	NU	16	16.N.C 16.U.V	2.0 1.5	ŋɔː	0	576	ŋ ɔː -	1734
846	fire	PongNuea	ŋɔː	ŋɔː	ŋ ɔː		2-54	4 7	AX	NU	15	15.N.C 15.U.V	2.0 1.5	ŋɔː	0	576	ŋ ɔː -	1734
847	fire	NyaungGone	ŋɔ	ŋɔ	ŋ ɔ		2-54	4 7	AX	NU	13	13.N.C 13.U.V	2.0 1.5	ŋɔ	0	576	ŋ ɔ -	1734
848	fire	NoeLae	ŋɔ	ŋɔ	ŋ ɔ		2-54	4 7	AX	NU	12	12.N.C 12.U.V	2.0 1.5	ŋɔ	0	576	ŋ ɔ -	1734
849	fire	BanPaw	ŋɔ	ŋɔ	ŋ ɔ		2-54	4 7	AX	NU	1	1.N.C 1.U.V	2.0 1.5	ŋɔ	0	576	ŋ ɔ -	1734
850	fire	ChaYeQing	ŋaj	ŋaj	ŋ a j		1-54	4 7 6	AXN	NAJ	2	2.N.C 2.A.V 2.J.c	2.0 1.5 0.8	ŋaj	0	576	ŋ a j	1734
851	fire	GuangKa	ŋaj	ŋaj	ŋ a j	ruma1248	1-54	4 7 6	AXN	NAJ	4	4.N.C 4.A.V 4.J.c	2.0 1.5 0.8	ŋaj	0	576	ŋ a j	1734
852	fire	MangBang	ŋaj	ŋaj	ŋ a j	ruma1248	1-54	4 7 6	AXN	NAJ	7	7.N.C 7.A.V 7.J.c	2.0 1.5 0.8	ŋaj	0	576	ŋ a j	1734
853	fire	NanSang	ŋaiɁ	ŋaiɁ	ŋ ai ʔ	ruma1248	1-54	4 7 1	AXN	NAH	11	11.N.C 11.A.V 11.H.c	2.0 1.5 0.8	ŋaiʔ	0	576	ŋ ai ʔ	1734
417	fish	NamHsan	kaː	kaː	k aː		1-27	1 7	AX	KA	10	10.K.C 10.A.V	2.0 1.5	kaː	0	594	k aː	594
418	fish	KhunHawt	kaː	kaː	k aː		1-27	1 7	AX	KA	6	6.K.C 6.A.V	2.0 1.5	kaː	0	594	k aː	594
419	fish	HtanHsan	kaː	kaː	k aː		1-27	1 7	AX	KA	5	5.K.C 5.A.V	2.0 1.5	kaː	0	594	k aː	594
420	fish	PangKham	ɡaː	ɡaː	g aː		1-27	1 7	AX	KA	14	14.K.C 14.A.V	2.0 1.5	gaː	0	594	g aː	594
421	fish	ManLoi	ɡɛː	ɡɛː	g ɛː		1-27	1 7	AX	KE	8	8.K.C 8.E.V	2.0 1.5	gɛː	0	594	g ɛː	594
422	fish	MengDan	kɛː	kɛː	k ɛː	khan1274	1-27	1 7	AX	KE	9	9.K.C 9.E.V	2.0 1.5	kɛː	0	594	k ɛː	594
423	fish	ChuDongGua	kaː	kaː	k aː		1-27	1 7	AX	KA	3	3.K.C 3.A.V	2.0 1.5	kaː	0	594	k aː	594
424	fish	XiangZhaiTang	ɡaː	ɡaː	g aː	ruma1248	1-27	1 7	AX	KA	16	16.K.C 16.A.V	2.0 1.5	gaː	0	594	g aː	594
425	fish	PongNuea	maɡɛa	maɡɛa	m a + g ɛa		1-27	4 7 9 1 7	AX_AX	MA_KE	15	15.M.C 15.A.V 15._._ 15.K.C 15.E.V	2.0 1.5 0.0 2.0 1.5	ma+gɛa	0	593 594	m a + g ɛa	1753 594
426	fish	NyaungGone	maɡa	maɡa	m a + g a		1-27	4 7 9 1 7	AX_AX	MA_KA	13	13.M.C 13.A.V 13._._ 13.K.C 13.A.V	2.0 1.5 0.0 2.0 1.5	ma+ga	0	593 594	m a + g a	1753 594
427	fish	NoeLae	maɡa	maɡa	m a + g a		1-27	4 7 9 1 7	AX_AX	MA_KA	12	12.M.C 12.A.V 12._._ 12.K.C 12.A.V	2.0 1.5 0.0 2.0 1.5	ma+ga	0	593 594	m a + g a	1753 594
428	fish	BanPaw	maɡa	maɡa	m a + g a		1-27	4 7 9 1 7	AX_AX	MA_KA	1	1.M.C 1.A.V 1._._ 1.K.C 1.A.V	2.0 1.5 0.0 2.0 1.5	ma+ga	0	593 594	m a + g a	1753 594
429	fish	ChaYeQing	kaː	kaː	k aː		1-27	1 7	AX	KA	2	2.K.C 2.A.V	2.0 1.5	kaː	0	594	k aː	594
430	fish	GuangKa	kaː	kaː	k aː	ruma1248	1-27	1 7	AX	KA	4	4.K.C 4.A.V	2.0 1.5	kaː	0	594	k aː	594
431	fish	MangBang	kaː	kaː	k aː	ruma1248	1-27	1 7	AX	KA	7	7.K.C 7.A.V	2.0 1.5	kaː	0	594	k aː	594
432	fish	NanSang	kaː	kaː	k aː	ruma1248	1-27	1 7	AX	KA	11	11.K.C 11.A.V	2.0 1.5	kaː	0	594	k aː	594
241	flower	NamHsan	ɓoh	ɓoh	ɓ o h		1-16	1 7 3	AXN	PUH	10	10.P.C 10.U.V 10.H.c	2.0 1.5 0.8	ɓoh	0	614	ɓ o h	614
242	flower	KhunHawt	ɓoh	ɓoh	ɓ o h		1-16	1 7 3	AXN	PUH	6	6.P.C 6.U.V 6.H.c	2.0 1.5 0.8	ɓoh	0	614	ɓ o h	614
243	flower	HtanHsan	ɓoh	ɓoh	ɓ o h		1-16	1 7 3	AXN	PUH	5	5.P.C 5.U.V 5.H.c	2.0 1.5 0.8	ɓoh	0	614	ɓ o h	614
244	flower	PangKham	boh	boh	b o h		1-16	1 7 3	AXN	PUH	14	14.P.C 14.U.V 14.H.c	2.0 1.5 0.8	boh	0	614	b o h	614
245	flower	ManLoi	ɓoh	ɓoh	ɓ o h		1-16	1 7 3	AXN	PUH	8	8.P.C 8.U.V 8.H.c	2.0 1.5 0.8	ɓoh	0	614	ɓ o h	614
246	flower	MengDan	ɓoh	ɓoh	ɓ o h	khan1274	1-16	1 7 3	AXN	PUH	9	9.P.C 9.U.V 9.H.c	2.0 1.5 0.8	ɓoh	0	614	ɓ o h	614
247	flower	ChuDongGua	ɓoh	ɓoh	ɓ o h		1-16	1 7 3	AXN	PUH	3	3.P.C 3.U.V 3.H.c	2.0 1.5 0.8	ɓoh	0	614	ɓ o h	614
248	flower	XiangZhaiTang	boh	boh	b o h	ruma1248	1-16	1 7 3	AXN	PUH	16	16.P.C 16.U.V 16.H.c	2.0 1.5 0.8	boh	0	614	b o h	614
249	flower	PongNuea	bouh	bouh	b ou h		1-16	1 7 3	AXN	PUH	15	15.P.C 15.U.V 15.H.c	2.0 1.5 0.8	bouh	0	614	b ou h	614
250	flower	NyaungGone	bouh	bouh	b ou h		1-16	1 7 3	AXN	PUH	13	13.P.C 13.U.V 13.H.c	2.0 1.5 0.8	bouh	0	614	b ou h	614
251	flower	NoeLae	bouh	bouh	b ou h		1-16	1 7 3	AXN	PUH	12	12.P.C 12.U.V 12.H.c	2.0 1.5 0.8	bouh	0	614	b ou h	614
252	flower	BanPaw	bouh	bouh	b ou h		1-16	1 7 3	AXN	PUH	1	1.P.C 1.U.V 1.H.c	2.0 1.5 0.8	bouh	0	614	b ou h	614
253	flower	ChaYeQing	box	box	b o x		1-16	1 7 3	AXN	PUG	2	2.P.C 2.U.V 2.G.c	2.0 1.5 0.8	box	0	615	b o x	615
254	flower	GuangKa	poh	poh	p o h	ruma1248	1-16	1 7 3	AXN	PUH	4	4.P.C 4.U.V 4.H.c	2.0 1.5 0.8	poh	0	614	p o h	614
255	flower	MangBang	poh	poh	p o h	ruma1248	1-16	1 7 3	AXN	PUH	7	7.P.C 7.U.V 7.H.c	2.0 1.5 0.8	poh	0	614	p o h	614
256	flower	NanSang	poh	poh	p o h	ruma1248	1-16	1 7 3	AXN	PUH	11	11.P.C 11.U.V 11.H.c	2.0 1.5 0.8	poh	0	614	p o h	614
385	fly	NamHsan	pәr	pәr	p ə r		1-25	1 7 5	AXN	PER	10	10.P.C 10.E.V 10.R.c	2.0 1.5 0.8	pər	0	631	p - ə r	631
386	fly	KhunHawt	bәr	bәr	b ə r		1-25	1 7 5	AXN	PER	6	6.P.C 6.E.V 6.R.c	2.0 1.5 0.8	bər	0	631	b - ə r	631
387	fly	HtanHsan	ɓәr	ɓәr	ɓ ə r		1-25	1 7 5	AXN	PER	5	5.P.C 5.E.V 5.R.c	2.0 1.5 0.8	ɓər	0	631	ɓ - ə r	631
388	fly	PangKham	min	min	m i n		2-25	4 7 4	AXN	MIN	14	14.M.C 14.I.V 14.N.c	2.0 1.5 0.8	min	0	632	m i n	632
389	fly	ManLoi	bәr	bәr	b ə r		1-25	1 7 5	AXN	PER	8	8.P.C 8.E.V 8.R.c	2.0 1.5 0.8	bər	0	631	b - ə r	631
390	fly	MengDan	phruː	phruː	pʰ r uː	khan1274	3-25	1 5 7	ACX	PRY	9	9.P.C 9.R.C 9.Y.V	2.0 1.5 1.5	pʰruː	0	631	pʰ r uː -	631
391	fly	ChuDongGua	phruː	phruː	pʰ r uː		3-25	1 5 7	ACX	PRY	3	3.P.C 3.R.C 3.Y.V	2.0 1.5 1.5	pʰruː	0	631	pʰ r uː -	631
392	fly	XiangZhaiTang	bən	bən	b ə n	ruma1248	1-25	1 7 4	AXN	PEN	16	16.P.C 16.E.V 16.N.c	2.0 1.5 0.8	bən	0	631	b - ə n	631
393	fly	PongNuea	bən	bən	b ə n		1-25	1 7 4	AXN	PEN	15	15.P.C 15.E.V 15.N.c	2.0 1.5 0.8	bən	0	631	b - ə n	631
394	fly	NyaungGone	bə̆n	bə̆n	b ə̆ n		1-25	1 7 4	AXN	PEN	13	13.P.C 13.E.V 13.N.c	2.0 1.5 0.8	bə̆n	0	631	b - ə̆ n	631
395	fly	NoeLae	bə̆n	bə̆n	b ə̆ n		1-25	1 7 4	AXN	PEN	12	12.P.C 12.E.V 12.N.c	2.0 1.5 0.8	bə̆n	0	631	b - ə̆ n	631
396	fly	BanPaw	bə̆n	bə̆n	b ə̆ n		1-25	1 7 4	AXN	PEN	1	1.P.C 1.E.V 1.N.c	2.0 1.5 0.8	bə̆n	0	631	b - ə̆ n	631
397	fly	ChaYeQing	ɓaj	ɓaj	ɓ a j		1-25	1 7 6	AXN	PAJ	2	2.P.C 2.A.V 2.J.c	2.0 1.5 0.8	ɓaj	0	631	ɓ - a j	631
398	fly	GuangKa	pɨːh	pɨːh	p ɨː h	ruma1248	4-25	1 7 3	AXN	PIH	4	4.P.C 4.I.V 4.H.c	2.0 1.5 0.8	pɨːh	0	631	p - ɨː h	631
399	fly	MangBang	pɨː	pɨː	p ɨː	ruma1248	4-25	1 7	AX	PI	7	7.P.C 7.I.V	2.0 1.5	pɨː	0	631	p - ɨː -	631
400	fly	NanSang	pɨː	pɨː	p ɨː	ruma1248	4-25	1 7	AX	PI	11	11.P.C 11.I.V	2.0 1.5	pɨː	0	631	p - ɨː -	631
681	foot	NamHsan	ʥәŋ	ʥәŋ	dʑ ə ŋ		1-44	2 7 4	AXN	CEN	10	10.C.C 10.E.V 10.N.c	2.0 1.5 0.8	dʑəŋ	0	648	dʑ ə ŋ	648
682	foot	KhunHawt	ʥәːŋ	ʥәːŋ	dʑ əː ŋ		1-44	2 7 4	AXN	CEN	6	6.C.C 6.E.V 6.N.c	2.0 1.5 0.8	dʑəːŋ	0	648	dʑ əː ŋ	648
683	foot	HtanHsan	ʥәːŋ	ʥәːŋ	dʑ əː ŋ		1-44	2 7 4	AXN	CEN	5	5.C.C 5.E.V 5.N.c	2.0 1.5 0.8	dʑəːŋ	0	648	dʑ əː ŋ	648
684	foot	PangKham	ʨeŋ	ʨeŋ	tɕ e ŋ		1-44	2 7 4	AXN	CEN	14	14.C.C 14.E.V 14.N.c	2.0 1.5 0.8	tɕeŋ	0	648	tɕ e ŋ	648
685	foot	ManLoi	ʨeːŋ	ʨeːŋ	tɕ eː ŋ		1-44	2 7 4	AXN	CEN	8	8.C.C 8.E.V 8.N.c	2.0 1.5 0.8	tɕeːŋ	0	648	tɕ eː ŋ	648
686	foot	MengDan	ʨəŋ	ʨəŋ	tɕ ə ŋ	khan1274	1-44	2 7 4	AXN	CEN	9	9.C.C 9.E.V 9.N.c	2.0 1.5 0.8	tɕəŋ	0	648	tɕ ə ŋ	648
687	foot	ChuDongGua	ʥəŋ	ʥəŋ	dʑ ə ŋ		1-44	2 7 4	AXN	CEN	3	3.C.C 3.E.V 3.N.c	2.0 1.5 0.8	dʑəŋ	0	648	dʑ ə ŋ	648
688	foot	XiangZhaiTang	ʨeːn	ʨeːn	tɕ eː n	ruma1248	1-44	2 7 4	AXN	CEN	16	16.C.C 16.E.V 16.N.c	2.0 1.5 0.8	tɕeːn	0	648	tɕ eː n	648
689	foot	PongNuea	ceɲ	ceɲ	c e ɲ		1-44	1 7 4	AXN	CEN	15	15.C.C 15.E.V 15.N.c	2.0 1.5 0.8	ceɲ	0	648	c e ɲ	648
690	foot	NyaungGone	plɔ	plɔ	p l ɔ		2-44	1 5 7	ACX	PLU	13	13.P.C 13.L.C 13.U.V	2.0 1.5 1.5	plɔ	0	649	p l ɔ	649
691	foot	NoeLae	ceɲ	ceɲ	c e ɲ		1-44	1 7 4	AXN	CEN	12	12.C.C 12.E.V 12.N.c	2.0 1.5 0.8	ceɲ	0	648	c e ɲ	648
692	foot	BanPaw	ceɲ	ceɲ	c e ɲ		1-44	1 7 4	AXN	CEN	1	1.C.C 1.E.V 1.N.c	2.0 1.5 0.8	ceɲ	0	648	c e ɲ	648
693	foot	ChaYeQing	ʥɔːn	ʥɔːn	dʑ ɔː n		1-44	2 7 4	AXN	CUN	2	2.C.C 2.U.V 2.N.c	2.0 1.5 0.8	dʑɔːn	0	648	dʑ ɔː n	648
694	foot	GuangKa	ʥɔːn	ʥɔːn	dʑ ɔː n	ruma1248	1-44	2 7 4	AXN	CUN	4	4.C.C 4.U.V 4.N.c	2.0 1.5 0.8	dʑɔːn	0	648	dʑ ɔː n	648
695	foot	MangBang	ʥɔːn	ʥɔːn	dʑ ɔː n	ruma1248	1-44	2 7 4	AXN	CUN	7	7.C.C 7.U.V 7.N.c	2.0 1.5 0.8	dʑɔːn	0	648	dʑ ɔː n	648
696	foot	NanSang	ʥɔːn	ʥɔːn	dʑ ɔː n	ruma1248	1-44	2 7 4	AXN	CUN	11	11.C.C 11.U.V 11.N.c	2.0 1.5 0.8	dʑɔːn	0	648	dʑ ɔː n	648
1286	four	NamHsan	phon	phon	pʰ o n		1-82	1 7 4	AXN	PUN	10	10.P.C 10.U.V 10.N.c	2.0 1.5 0.8	pʰon	0	665	pʰ o n	665
1287	four	KhunHawt	phon	phon	pʰ o n		1-82	1 7 4	AXN	PUN	6	6.P.C 6.U.V 6.N.c	2.0 1.5 0.8	pʰon	0	665	pʰ o n	665
1288	four	HtanHsan	phoːn	phoːn	pʰ oː n		1-82	1 7 4	AXN	PUN	5	5.P.C 5.U.V 5.N.c	2.0 1.5 0.8	pʰoːn	0	665	pʰ oː n	665
1289	four	PangKham	phuan	phuan	pʰ ua n		1-82	1 7 4	AXN	PYN	14	14.P.C 14.Y.V 14.N.c	2.0 1.5 0.8	pʰuan	0	665	pʰ ua n	665
1290	four	ManLoi	phɔːn	phɔːn	pʰ ɔː n		1-82	1 7 4	AXN	PUN	8	8.P.C 8.U.V 8.N.c	2.0 1.5 0.8	pʰɔːn	0	665	pʰ ɔː n	665
1291	four	MengDan	phon	phon	pʰ o n	khan1274	1-82	1 7 4	AXN	PUN	9	9.P.C 9.U.V 9.N.c	2.0 1.5 0.8	pʰon	0	665	pʰ o n	665
1292	four	ChuDongGua	phɔn	phɔn	pʰ ɔ n		1-82	1 7 4	AXN	PUN	3	3.P.C 3.U.V 3.N.c	2.0 1.5 0.8	pʰɔn	0	665	pʰ ɔ n	665
1293	four	XiangZhaiTang	mphuan	mphuan	m + pʰ ua n	ruma1248	1-82	4 9 1 7 4	A_AXN	M_PYN	16	16.M.C 16._._ 16.P.C 16.Y.V 16.N.c	2.0 0.0 2.0 1.5 0.8	m+pʰuan	0	666 665	m + pʰ ua n	666 665
1294	four	PongNuea	mphaun	mphaun	m + pʰ au n		1-82	4 9 1 7 4	A_AXN	M_PAN	15	15.M.C 15._._ 15.P.C 15.A.V 15.N.c	2.0 0.0 2.0 1.5 0.8	m+pʰaun	0	666 665	m + pʰ au n	666 665
1295	four	NyaungGone	m phuan	m phuan	m + pʰ ua n		1-82	4 9 1 7 4	A_AXN	M_PYN	13	13.M.C 13._._ 13.P.C 13.Y.V 13.N.c	2.0 0.0 2.0 1.5 0.8	m+pʰuan	0	666 665	m + pʰ ua n	666 665
1296	four	NoeLae	m phuan	m phuan	m + pʰ ua n		1-82	4 9 1 7 4	A_AXN	M_PYN	12	12.M.C 12._._ 12.P.C 12.Y.V 12.N.c	2.0 0.0 2.0 1.5 0.8	m+pʰuan	0	666 665	m + pʰ ua n	666 665
1297	four	BanPaw	phuan	phuan	pʰ ua n		1-82	1 7 4	AXN	PYN	1	1.P.C 1.Y.V 1.N.c	2.0 1.5 0.8	pʰuan	0	665	pʰ ua n	665
1298	four	ChaYeQing	phoːm	phoːm	pʰ oː m		1-82	1 7 4	AXN	PUM	2	2.P.C 2.U.V 2.M.c	2.0 1.5 0.8	pʰoːm	0	665	pʰ oː m	665
1299	four	GuangKa	phoːn	phoːn	pʰ oː n	ruma1248	1-82	1 7 4	AXN	PUN	4	4.P.C 4.U.V 4.N.c	2.0 1.5 0.8	pʰoːn	0	665	pʰ oː n	665
1300	four	MangBang	phoːm	phoːm	pʰ oː m	ruma1248	1-82	1 7 4	AXN	PUM	7	7.P.C 7.U.V 7.M.c	2.0 1.5 0.8	pʰoːm	0	665	pʰ oː m	665
1301	four	NanSang	phon	phon	pʰ o n	ruma1248	1-82	1 7 4	AXN	PUN	11	11.P.C 11.U.V 11.N.c	2.0 1.5 0.8	pʰon	0	665	pʰ o n	665
257	fruit	NamHsan	ɓleː	ɓleː	ɓ l eː		1-17	1 5 7	ACX	PLE	10	10.P.C 10.L.C 10.E.V	2.0 1.5 1.5	ɓleː	0	686	ɓ l eː -	686
258	fruit	KhunHawt	plej	plej	p l e j		2-17	1 5 7 6	ACXN	PLEJ	6	6.P.C 6.L.C 6.E.V 6.J.c	2.0 1.5 1.5 0.8	plej	0	686	p l e j	686
259	fruit	HtanHsan	ɓlej	ɓlej	ɓ l e j		2-17	1 5 7 6	ACXN	PLEJ	5	5.P.C 5.L.C 5.E.V 5.J.c	2.0 1.5 1.5 0.8	ɓlej	0	686	ɓ l e j	686
260	fruit	PangKham	bleː	bleː	b l eː		1-17	1 5 7	ACX	PLE	14	14.P.C 14.L.C 14.E.V	2.0 1.5 1.5	bleː	0	686	b l eː -	686
261	fruit	ManLoi	blej	blej	b l e j		2-17	1 5 7 6	ACXN	PLEJ	8	8.P.C 8.L.C 8.E.V 8.J.c	2.0 1.5 1.5 0.8	blej	0	686	b l e j	686
262	fruit	MengDan	bliː	bliː	b l iː	khan1274	1-17	1 5 7	ACX	PLI	9	9.P.C 9.L.C 9.I.V	2.0 1.5 1.5	bliː	0	686	b l iː -	686
263	fruit	ChuDongGua	ɓliː	ɓliː	ɓ l iː		1-17	1 5 7	ACX	PLI	3	3.P.C 3.L.C 3.I.V	2.0 1.5 1.5	ɓliː	0	686	ɓ l iː -	686
264	fruit	XiangZhaiTang	blej	blej	b l e j	ruma1248	2-17	1 5 7 6	ACXN	PLEJ	16	16.P.C 16.L.C 16.E.V 16.J.c	2.0 1.5 1.5 0.8	blej	0	686	b l e j	686
265	fruit	PongNuea	blej	blej	b l e j		2-17	1 5 7 6	ACXN	PLEJ	15	15.P.C 15.L.C 15.E.V 15.J.c	2.0 1.5 1.5 0.8	blej	0	686	b l e j	686
266	fruit	NyaungGone	ble	ble	b l e		1-17	1 5 7	ACX	PLE	13	13.P.C 13.L.C 13.E.V	2.0 1.5 1.5	ble	0	686	b l e -	686
267	fruit	NoeLae	ble	ble	b l e		1-17	1 5 7	ACX	PLE	12	12.P.C 12.L.C 12.E.V	2.0 1.5 1.5	ble	0	686	b l e -	686
268	fruit	BanPaw	ble	ble	b l e		1-17	1 5 7	ACX	PLE	1	1.P.C 1.L.C 1.E.V	2.0 1.5 1.5	ble	0	686	b l e -	686
269	fruit	ChaYeQing	ɓlɔːj	ɓlɔːj	ɓ l ɔː j		3-17	1 5 7 6	ACXN	PLUJ	2	2.P.C 2.L.C 2.U.V 2.J.c	2.0 1.5 1.5 0.8	ɓlɔːj	0	686	ɓ l ɔː j	686
270	fruit	GuangKa	plɔːj	plɔːj	p l ɔː j	ruma1248	3-17	1 5 7 6	ACXN	PLUJ	4	4.P.C 4.L.C 4.U.V 4.J.c	2.0 1.5 1.5 0.8	plɔːj	0	686	p l ɔː j	686
271	fruit	MangBang	plɔːj	plɔːj	p l ɔː j	ruma1248	3-17	1 5 7 6	ACXN	PLUJ	7	7.P.C 7.L.C 7.U.V 7.J.c	2.0 1.5 1.5 0.8	plɔːj	0	686	p l ɔː j	686
272	fruit	NanSang	plɔːj	plɔːj	p l ɔː j	ruma1248	3-17	1 5 7 6	ACXN	PLUJ	11	11.P.C 11.L.C 11.U.V 11.J.c	2.0 1.5 1.5 0.8	plɔːj	0	686	p l ɔː j	686
1331	full	NamHsan	nɔɁ	nɔɁ	n ɔ ʔ		1-85	4 7 1	AXN	NUH	10	10.N.C 10.U.V 10.H.c	2.0 1.5 0.8	nɔʔ	0	703	n ɔ ʔ	703
1332	full	KhunHawt	noɁ	noɁ	n o ʔ		1-85	4 7 1	AXN	NUH	6	6.N.C 6.U.V 6.H.c	2.0 1.5 0.8	noʔ	0	703	n o ʔ	703
1333	full	HtanHsan	nauɁ	nauɁ	n au ʔ		1-85	4 7 1	AXN	NAH	5	5.N.C 5.A.V 5.H.c	2.0 1.5 0.8	nauʔ	0	703	n au ʔ	703
