Language,BanPaw,ChaYeQing,ChuDongGua,GuangKa,HtanHsan,KhunHawt,MangBang,ManLoi,MengDan,NamHsan,NanSang,NoeLae,NyaungGone,PangKham,PongNuea,XiangZhaiTang
BanPaw,0,0.26,0.26,0.30612244897959184,0.41414141414141414,0.40816326530612246,0.29000000000000004,0.2727272727272727,0.303030303030303,0.4444444444444444,0.2828282828282829,0.030000000000000027,0.07070707070707072,0.2551020408163265,0.0505050505050505,0.16666666666666663
ChaYeQing,0.26,0,0.29000000000000004,0.23469387755102045,0.46464646464646464,0.4387755102040817,0.21999999999999997,0.2828282828282829,0.29292929292929293,0.4444444444444444,0.2727272727272727,0.27,0.2828282828282829,0.2857142857142857,0.2727272727272727,0.22916666666666663
ChuDongGua,0.26,0.29000000000000004,0,0.3163265306122449,0.3434343434343434,0.33673469387755106,0.31999999999999995,0.2525252525252525,0.1717171717171717,0.38383838383838387,0.33333333333333337,0.27,0.303030303030303,0.23469387755102045,0.2828282828282829,0.26041666666666663
GuangKa,0.30612244897959184,0.23469387755102045,0.3163265306122449,0,0.47959183673469385,0.45360824742268047,0.10204081632653061,0.29591836734693877,0.3402061855670103,0.4693877551020408,0.134020618556701,0.3163265306122449,0.31958762886597936,0.28865979381443296,0.31958762886597936,0.3085106382978723
HtanHsan,0.41414141414141414,0.46464646464646464,0.3434343434343434,0.47959183673469385,0,0.13265306122448983,0.4545454545454546,0.3232323232323232,0.3877551020408163,0.21212121212121215,0.41836734693877553,0.41414141414141414,0.41836734693877553,0.3571428571428571,0.41836734693877553,0.35789473684210527
KhunHawt,0.40816326530612246,0.4387755102040817,0.33673469387755106,0.45360824742268047,0.13265306122448983,0,0.4387755102040817,0.33673469387755106,0.3711340206185567,0.2142857142857143,0.41237113402061853,0.41836734693877553,0.4329896907216495,0.3608247422680413,0.41237113402061853,0.3829787234042553
MangBang,0.29000000000000004,0.21999999999999997,0.31999999999999995,0.10204081632653061,0.4545454545454546,0.4387755102040817,0,0.303030303030303,0.36363636363636365,0.4444444444444444,0.11111111111111116,0.30000000000000004,0.303030303030303,0.3163265306122449,0.303030303030303,0.27083333333333337
ManLoi,0.2727272727272727,0.2828282828282829,0.2525252525252525,0.29591836734693877,0.3232323232323232,0.33673469387755106,0.303030303030303,0,0.26530612244897955,0.3737373737373737,0.30612244897959184,0.2727272727272727,0.2755102040816326,0.09183673469387754,0.29591836734693877,0.25263157894736843
MengDan,0.303030303030303,0.29292929292929293,0.1717171717171717,0.3402061855670103,0.3877551020408163,0.3711340206185567,0.36363636363636365,0.26530612244897955,0,0.3979591836734694,0.36734693877551017,0.303030303030303,0.326530612244898,0.2680412371134021,0.30612244897959184,0.2947368421052632
NamHsan,0.4444444444444444,0.4444444444444444,0.38383838383838387,0.4693877551020408,0.21212121212121215,0.2142857142857143,0.4444444444444444,0.3737373737373737,0.3979591836734694,0,0.4387755102040817,0.4444444444444444,0.44897959183673475,0.3571428571428571,0.44897959183673475,0.41052631578947374
NanSang,0.2828282828282829,0.2727272727272727,0.33333333333333337,0.134020618556701,0.41836734693877553,0.41237113402061853,0.11111111111111116,0.30612244897959184,0.36734693877551017,0.4387755102040817,0,0.29292929292929293,0.29591836734693877,0.30927835051546393,0.29591836734693877,0.28421052631578947
NoeLae,0.030000000000000027,0.27,0.27,0.3163265306122449,0.41414141414141414,0.41836734693877553,0.30000000000000004,0.2727272727272727,0.303030303030303,0.4444444444444444,0.29292929292929293,0,0.0505050505050505,0.2551020408163265,0.0505050505050505,0.16666666666666663
NyaungGone,0.07070707070707072,0.2828282828282829,0.303030303030303,0.31958762886597936,0.41836734693877553,0.4329896907216495,0.303030303030303,0.2755102040816326,0.326530612244898,0.44897959183673475,0.29591836734693877,0.0505050505050505,0,0.2680412371134021,0.08163265306122447,0.16842105263157892
PangKham,0.2551020408163265,0.2857142857142857,0.23469387755102045,0.28865979381443296,0.3571428571428571,0.3608247422680413,0.3163265306122449,0.09183673469387754,0.2680412371134021,0.3571428571428571,0.30927835051546393,0.2551020408163265,0.2680412371134021,0,0.27835051546391754,0.2872340425531915
PongNuea,0.0505050505050505,0.2727272727272727,0.2828282828282829,0.31958762886597936,0.41836734693877553,0.41237113402061853,0.303030303030303,0.29591836734693877,0.30612244897959184,0.44897959183673475,0.29591836734693877,0.0505050505050505,0.08163265306122447,0.27835051546391754,0,0.17708333333333337
XiangZhaiTang,0.16666666666666663,0.22916666666666663,0.26041666666666663,0.3085106382978723,0.35789473684210527,0.3829787234042553,0.27083333333333337,0.25263157894736843,0.2947368421052632,0.41052631578947374,0.28421052631578947,0.16666666666666663,0.16842105263157892,0.2872340425531915,0.17708333333333337,0
