ID	CONCEPT	DOCULECT	VALUE	FORM	TOKENS	GLOTTOLOG	COG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	SCAIDS	SCAID	SCALOOSEID	ALIGNMENT
1555	I	NamHsan	Ɂɔː	Ɂɔː	ʔ ɔː		1-99	1 7	AX	HU	10	10.H.C 10.U.V	2.0 1.5	ʔɔː	0	100	1	255	50	ʔ ɔː
1556	I	KhunHawt	Ɂoː	Ɂoː	ʔ oː		1-99	1 7	AX	HU	6	6.H.C 6.U.V	2.0 1.5	ʔoː	0	100	1	255	50	ʔ oː
1557	I	HtanHsan	Ɂɔː	Ɂɔː	ʔ ɔː		1-99	1 7	AX	HU	5	5.H.C 5.U.V	2.0 1.5	ʔɔː	0	100	1	255	50	ʔ ɔː
1558	I	ManLoi	Ɂɔː	Ɂɔː	ʔ ɔː		1-99	1 7	AX	HU	8	8.H.C 8.U.V	2.0 1.5	ʔɔː	0	100	1	255	50	ʔ ɔː
1559	I	MengDan	ʔoː	ʔoː	ʔ oː	khan1274	1-99	1 7	AX	HU	9	9.H.C 9.U.V	2.0 1.5	ʔoː	0	100	1	255	50	ʔ oː
1560	I	ChuDongGua	ʔoː	ʔoː	ʔ oː		1-99	1 7	AX	HU	3	3.H.C 3.U.V	2.0 1.5	ʔoː	0	100	1	255	50	ʔ oː
1561	I	XiangZhaiTang	Ɂow	Ɂow	ʔ o w	ruma1248	2-99	1 7 6	AXN	HUW	16	16.H.C 16.U.V 16.W.c	2.0 1.5 0.8	ʔow	0	163	1	255	50	ʔ o w -
1562	I	PongNuea	Ɂow	Ɂow	ʔ o w		2-99	1 7 6	AXN	HUW	15	15.H.C 15.U.V 15.W.c	2.0 1.5 0.8	ʔow	0	163	1	255	50	ʔ o w -
1563	I	NyaungGone	ʔo	ʔo	ʔ o		1-99	1 7	AX	HU	13	13.H.C 13.U.V	2.0 1.5	ʔo	0	100	1	255	50	ʔ o
1564	I	NoeLae	Ɂo	Ɂo	ʔ o		1-99	1 7	AX	HU	12	12.H.C 12.U.V	2.0 1.5	ʔo	0	100	1	255	50	ʔ o
1565	I	BanPaw	Ɂo	Ɂo	ʔ o		1-99	1 7	AX	HU	1	1.H.C 1.U.V	2.0 1.5	ʔo	0	100	1	255	50	ʔ o
1566	I	ChaYeQing	Ɂaw	Ɂaw	ʔ a w		2-99	1 7 6	AXN	HAW	2	2.H.C 2.A.V 2.W.c	2.0 1.5 0.8	ʔaw	0	163	1	255	50	ʔ a w -
1567	I	GuangKa	Ɂau	Ɂau	ʔ a u	ruma1248	2-99	1 7 7	AXZ	HAY	4	4.H.C 4.A.V 4.Y.V	2.0 1.5 0.8	ʔau	0	163	1	255	50	ʔ a - u
