ID	CONCEPT	DOCULECT	VALUE	FORM	TOKENS	GLOTTOLOG	COG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	SCAIDS	SCAID	SCALOOSEID	ALIGNMENT
414	egg	GuangKa	bəːn	bəːn	b əː n	ruma1248	3-26	1 7 4	AXN	PEN	4	4.P.C 4.E.V 4.N.c	2.0 1.5 0.8	bəːn	0	170	459	64	23	b əː n - - - -
415	egg	MangBang	bəːn	bəːn	b əː n	ruma1248	3-26	1 7 4	AXN	PEN	7	7.P.C 7.E.V 7.N.c	2.0 1.5 0.8	bəːn	0	170	459	64	23	b əː n - - - -
416	egg	NanSang	bəːn	bəːn	b əː n	ruma1248	3-26	1 7 4	AXN	PEN	11	11.P.C 11.E.V 11.N.c	2.0 1.5 0.8	bəːn	0	170	459	64	23	b əː n - - - -
497	eye	NamHsan	ŋaːj	ŋaːj	ŋ aː j		1-32	4 7 6	AXN	NAJ	10	10.N.C 10.A.V 10.J.c	2.0 1.5 0.8	ŋaːj	0	27	485	76	24	- - - - ŋ aː j
498	eye	KhunHawt	ŋaːj	ŋaːj	ŋ aː j		1-32	4 7 6	AXN	NAJ	6	6.N.C 6.A.V 6.J.c	2.0 1.5 0.8	ŋaːj	0	27	485	76	24	- - - - ŋ aː j
499	eye	HtanHsan	ŋaːj	ŋaːj	ŋ aː j		1-32	4 7 6	AXN	NAJ	5	5.N.C 5.A.V 5.J.c	2.0 1.5 0.8	ŋaːj	0	27	485	76	24	- - - - ŋ aː j
500	eye	PangKham	bleː ŋaːj	bleː ŋaːj	b l eː + ŋ aː j		1-32	1 5 7 9 4 7 6	ACX_AXN	PLE_NAJ	14	14.P.C 14.L.C 14.E.V 14._._ 14.N.C 14.A.V 14.J.c	2.0 1.5 1.5 0.0 2.0 1.5 0.8	bleː+ŋaːj	0	27	486 485	77	24	b l eː + ŋ aː j
501	eye	ManLoi	bleː ŋaːj	bleː ŋaːj	b l eː + ŋ aː j		1-32	1 5 7 9 4 7 6	ACX_AXN	PLE_NAJ	8	8.P.C 8.L.C 8.E.V 8._._ 8.N.C 8.A.V 8.J.c	2.0 1.5 1.5 0.0 2.0 1.5 0.8	bleː+ŋaːj	0	27	486 485	77	24	b l eː + ŋ aː j
502	eye	MengDan	ŋaːj	ŋaːj	ŋ aː j	khan1274	1-32	4 7 6	AXN	NAJ	9	9.N.C 9.A.V 9.J.c	2.0 1.5 0.8	ŋaːj	0	27	485	76	24	- - - - ŋ aː j
503	eye	ChuDongGua	ŋaːj	ŋaːj	ŋ aː j		1-32	4 7 6	AXN	NAJ	3	3.N.C 3.A.V 3.J.c	2.0 1.5 0.8	ŋaːj	0	27	485	76	24	- - - - ŋ aː j
504	eye	XiangZhaiTang	ŋaːj	ŋaːj	ŋ aː j	ruma1248	1-32	4 7 6	AXN	NAJ	16	16.N.C 16.A.V 16.J.c	2.0 1.5 0.8	ŋaːj	0	27	485	76	24	- - - - ŋ aː j
505	eye	PongNuea	ŋaːj	ŋaːj	ŋ aː j		1-32	4 7 6	AXN	NAJ	15	15.N.C 15.A.V 15.J.c	2.0 1.5 0.8	ŋaːj	0	27	485	76	24	- - - - ŋ aː j
506	eye	NyaungGone	ŋaj	ŋaj	ŋ a j		1-32	4 7 6	AXN	NAJ	13	13.N.C 13.A.V 13.J.c	2.0 1.5 0.8	ŋaj	0	27	485	76	24	- - - - ŋ a j
507	eye	NoeLae	ŋaj	ŋaj	ŋ a j		1-32	4 7 6	AXN	NAJ	12	12.N.C 12.A.V 12.J.c	2.0 1.5 0.8	ŋaj	0	27	485	76	24	- - - - ŋ a j
508	eye	BanPaw	ŋaj	ŋaj	ŋ a j		1-32	4 7 6	AXN	NAJ	1	1.N.C 1.A.V 1.J.c	2.0 1.5 0.8	ŋaj	0	27	485	76	24	- - - - ŋ a j
509	eye	ChaYeQing	ŋaːj	ŋaːj	ŋ aː j		1-32	4 7 6	AXN	NAJ	2	2.N.C 2.A.V 2.J.c	2.0 1.5 0.8	ŋaːj	0	27	485	76	24	- - - - ŋ aː j
510	eye	GuangKa	ŋaːj	ŋaːj	ŋ aː j	ruma1248	1-32	4 7 6	AXN	NAJ	4	4.N.C 4.A.V 4.J.c	2.0 1.5 0.8	ŋaːj	0	27	485	76	24	- - - - ŋ aː j
511	eye	MangBang	ŋaːj	ŋaːj	ŋ aː j	ruma1248	1-32	4 7 6	AXN	NAJ	7	7.N.C 7.A.V 7.J.c	2.0 1.5 0.8	ŋaːj	0	27	485	76	24	- - - - ŋ aː j
512	eye	NanSang	ŋaːj	ŋaːj	ŋ aː j	ruma1248	1-32	4 7 6	AXN	NAJ	11	11.N.C 11.A.V 11.J.c	2.0 1.5 0.8	ŋaːj	0	27	485	76	24	- - - - ŋ aː j
1109	fall, to drop	NamHsan	ʥɔh	ʥɔh	dʑ ɔ h		1-71	2 7 3	AXN	CUH	10	10.C.C 10.U.V 10.H.c	2.0 1.5 0.8	dʑɔh	0	70	504	166	25	dʑ ɔ h
1110	fall, to drop	KhunHawt	ʥoh	ʥoh	dʑ o h		1-71	2 7 3	AXN	CUH	6	6.C.C 6.U.V 6.H.c	2.0 1.5 0.8	dʑoh	0	70	504	166	25	dʑ o h
1111	fall, to drop	HtanHsan	ʥɔh	ʥɔh	dʑ ɔ h		1-71	2 7 3	AXN	CUH	5	5.C.C 5.U.V 5.H.c	2.0 1.5 0.8	dʑɔh	0	70	504	166	25	dʑ ɔ h
1112	fall, to drop	PangKham	ʨoh	ʨoh	tɕ o h		1-71	2 7 3	AXN	CUH	14	14.C.C 14.U.V 14.H.c	2.0 1.5 0.8	tɕoh	0	70	504	166	25	tɕ o h
1113	fall, to drop	ManLoi	ʨɔh	ʨɔh	tɕ ɔ h		1-71	2 7 3	AXN	CUH	8	8.C.C 8.U.V 8.H.c	2.0 1.5 0.8	tɕɔh	0	70	504	166	25	tɕ ɔ h
1114	fall, to drop	MengDan	ʨɔh	ʨɔh	tɕ ɔ h	khan1274	1-71	2 7 3	AXN	CUH	9	9.C.C 9.U.V 9.H.c	2.0 1.5 0.8	tɕɔh	0	70	504	166	25	tɕ ɔ h
1115	fall, to drop	ChuDongGua	ʥɔh	ʥɔh	dʑ ɔ h		1-71	2 7 3	AXN	CUH	3	3.C.C 3.U.V 3.H.c	2.0 1.5 0.8	dʑɔh	0	70	504	166	25	dʑ ɔ h
1116	fall, to drop	PongNuea	ʨouh	ʨouh	tɕ ou h		1-71	2 7 3	AXN	CUH	15	15.C.C 15.U.V 15.H.c	2.0 1.5 0.8	tɕouh	0	70	504	166	25	tɕ ou h
1117	fall, to drop	NyaungGone	couh	couh	c ou h		1-71	1 7 3	AXN	CUH	13	13.C.C 13.U.V 13.H.c	2.0 1.5 0.8	couh	0	70	504	166	25	c ou h
1118	fall, to drop	NoeLae	coh	coh	c o h		1-71	1 7 3	AXN	CUH	12	12.C.C 12.U.V 12.H.c	2.0 1.5 0.8	coh	0	70	504	166	25	c o h
1119	fall, to drop	BanPaw	couh	couh	c ou h		1-71	1 7 3	AXN	CUH	1	1.C.C 1.U.V 1.H.c	2.0 1.5 0.8	couh	0	70	504	166	25	c ou h
1120	fall, to drop	ChaYeQing	ʥɔh	ʥɔh	dʑ ɔ h		1-71	2 7 3	AXN	CUH	2	2.C.C 2.U.V 2.H.c	2.0 1.5 0.8	dʑɔh	0	70	504	166	25	dʑ ɔ h
1121	fall, to drop	GuangKa	ʥoh	ʥoh	dʑ o h	ruma1248	1-71	2 7 3	AXN	CUH	4	4.C.C 4.U.V 4.H.c	2.0 1.5 0.8	dʑoh	0	70	504	166	25	dʑ o h
1122	fall, to drop	MangBang	ʥoh	ʥoh	dʑ o h	ruma1248	1-71	2 7 3	AXN	CUH	7	7.C.C 7.U.V 7.H.c	2.0 1.5 0.8	dʑoh	0	70	504	166	25	dʑ o h
1123	fall, to drop	NanSang	ʥoh	ʥoh	dʑ o h	ruma1248	1-71	2 7 3	AXN	CUH	11	11.C.C 11.U.V 11.H.c	2.0 1.5 0.8	dʑoh	0	70	504	166	25	dʑ o h
1379	far	NamHsan	saŋaːj	saŋaːj	s a + ŋ aː j		1-88	3 7 9 4 7 6	AX_AXN	SA_NAJ	10	10.S.C 10.A.V 10._._ 10.N.C 10.A.V 10.J.c	2.0 1.5 0.0 2.0 1.5 0.8	sa+ŋaːj	0	88	521 522	215	26	s a + ŋ aː j
1380	far	KhunHawt	saŋaːj	saŋaːj	s a + ŋ aː j		1-88	3 7 9 4 7 6	AX_AXN	SA_NAJ	6	6.S.C 6.A.V 6._._ 6.N.C 6.A.V 6.J.c	2.0 1.5 0.0 2.0 1.5 0.8	sa+ŋaːj	0	88	521 522	215	26	s a + ŋ aː j
1381	far	HtanHsan	saŋaːj	saŋaːj	s a + ŋ aː j		1-88	3 7 9 4 7 6	AX_AXN	SA_NAJ	5	5.S.C 5.A.V 5._._ 5.N.C 5.A.V 5.J.c	2.0 1.5 0.0 2.0 1.5 0.8	sa+ŋaːj	0	88	521 522	215	26	s a + ŋ aː j
1382	far	PangKham	doŋ	doŋ	d o ŋ		2-88	1 7 4	AXN	TUN	14	14.T.C 14.U.V 14.N.c	2.0 1.5 0.8	doŋ	0	153	520	216	26	- - d o ŋ
1383	far	ManLoi	toŋ	toŋ	t o ŋ		2-88	1 7 4	AXN	TUN	8	8.T.C 8.U.V 8.N.c	2.0 1.5 0.8	toŋ	1	153	520	216	26	- - t o ŋ
1384	far	MengDan	doŋ	doŋ	d o ŋ	khan1274	2-88	1 7 4	AXN	TUN	9	9.T.C 9.U.V 9.N.c	2.0 1.5 0.8	doŋ	1	153	520	216	26	- - d o ŋ
1385	far	ChuDongGua	doŋ	doŋ	d o ŋ		2-88	1 7 4	AXN	TUN	3	3.T.C 3.U.V 3.N.c	2.0 1.5 0.8	doŋ	1	153	520	216	26	- - d o ŋ
1386	far	XiangZhaiTang	toŋ	toŋ	t o ŋ	ruma1248	2-88	1 7 4	AXN	TUN	16	16.T.C 16.U.V 16.N.c	2.0 1.5 0.8	toŋ	0	153	520	216	26	- - t o ŋ
1387	far	PongNuea	toŋ	toŋ	t o ŋ		2-88	1 7 4	AXN	TUN	15	15.T.C 15.U.V 15.N.c	2.0 1.5 0.8	toŋ	1	153	520	216	26	- - t o ŋ
1388	far	NyaungGone	n tok	n tok	n + t o k		2-88	4 9 1 7 1	A_AXN	N_TUK	13	13.N.C 13._._ 13.T.C 13.U.V 13.K.c	2.0 0.0 2.0 1.5 0.8	n+tok	0	153	522 520	217	26	n + t o k
1389	far	NoeLae	toŋ	toŋ	t o ŋ		2-88	1 7 4	AXN	TUN	12	12.T.C 12.U.V 12.N.c	2.0 1.5 0.8	toŋ	1	153	520	216	26	- - t o ŋ
1390	far	BanPaw	toŋ	toŋ	t o ŋ		2-88	1 7 4	AXN	TUN	1	1.T.C 1.U.V 1.N.c	2.0 1.5 0.8	toŋ	1	153	520	216	26	- - t o ŋ
1391	far	ChaYeQing	doŋ	doŋ	d o ŋ		2-88	1 7 4	AXN	TUN	2	2.T.C 2.U.V 2.N.c	2.0 1.5 0.8	doŋ	1	153	520	216	26	- - d o ŋ
1392	far	GuangKa	doŋ	doŋ	d o ŋ	ruma1248	2-88	1 7 4	AXN	TUN	4	4.T.C 4.U.V 4.N.c	2.0 1.5 0.8	doŋ	1	153	520	216	26	- - d o ŋ
1393	far	MangBang	doŋ	doŋ	d o ŋ	ruma1248	2-88	1 7 4	AXN	TUN	7	7.T.C 7.U.V 7.N.c	2.0 1.5 0.8	doŋ	1	153	520	216	26	- - d o ŋ
1394	far	NanSang	doŋ	doŋ	d o ŋ	ruma1248	2-88	1 7 4	AXN	TUN	11	11.T.C 11.U.V 11.N.c	2.0 1.5 0.8	doŋ	1	153	520	216	26	- - d o ŋ
713	fat	NamHsan	priaŋ	priaŋ	p r ia ŋ		1-46	1 5 7 4	ACXN	PRIN	10	10.P.C 10.R.C 10.I.V 10.N.c	2.0 1.5 1.5 0.8	priaŋ	0	42	541	115	27	p r ia ŋ
714	fat	KhunHawt	priaŋ	priaŋ	p r ia ŋ		1-46	1 5 7 4	ACXN	PRIN	6	6.P.C 6.R.C 6.I.V 6.N.c	2.0 1.5 1.5 0.8	priaŋ	0	42	541	115	27	p r ia ŋ
715	fat	HtanHsan	priaŋ	priaŋ	p r ia ŋ		1-46	1 5 7 4	ACXN	PRIN	5	5.P.C 5.R.C 5.I.V 5.N.c	2.0 1.5 1.5 0.8	priaŋ	0	42	541	115	27	p r ia ŋ
716	fat	PangKham	briaŋ	briaŋ	b r ia ŋ		1-46	1 5 7 4	ACXN	PRIN	14	14.P.C 14.R.C 14.I.V 14.N.c	2.0 1.5 1.5 0.8	briaŋ	0	42	541	115	27	b r ia ŋ
717	fat	ManLoi	briaŋ	briaŋ	b r ia ŋ		1-46	1 5 7 4	ACXN	PRIN	8	8.P.C 8.R.C 8.I.V 8.N.c	2.0 1.5 1.5 0.8	briaŋ	0	42	541	115	27	b r ia ŋ
718	fat	MengDan	priaŋ	priaŋ	p r ia ŋ	khan1274	1-46	1 5 7 4	ACXN	PRIN	9	9.P.C 9.R.C 9.I.V 9.N.c	2.0 1.5 1.5 0.8	priaŋ	0	42	541	115	27	p r ia ŋ
719	fat	ChuDongGua	priaŋ	priaŋ	p r ia ŋ		1-46	1 5 7 4	ACXN	PRIN	3	3.P.C 3.R.C 3.I.V 3.N.c	2.0 1.5 1.5 0.8	priaŋ	0	42	541	115	27	p r ia ŋ
720	fat	XiangZhaiTang	briaŋ	briaŋ	b r ia ŋ	ruma1248	1-46	1 5 7 4	ACXN	PRIN	16	16.P.C 16.R.C 16.I.V 16.N.c	2.0 1.5 1.5 0.8	briaŋ	0	42	541	115	27	b r ia ŋ
721	fat	PongNuea	briaŋ	briaŋ	b r ia ŋ		1-46	1 5 7 4	ACXN	PRIN	15	15.P.C 15.R.C 15.I.V 15.N.c	2.0 1.5 1.5 0.8	briaŋ	0	42	541	115	27	b r ia ŋ
722	fat	NyaungGone	briak	briak	b r ia k		1-46	1 5 7 1	ACXN	PRIK	13	13.P.C 13.R.C 13.I.V 13.K.c	2.0 1.5 1.5 0.8	briak	0	42	541	115	27	b r ia k
723	fat	NoeLae	briaŋ	briaŋ	b r ia ŋ		1-46	1 5 7 4	ACXN	PRIN	12	12.P.C 12.R.C 12.I.V 12.N.c	2.0 1.5 1.5 0.8	briaŋ	0	42	541	115	27	b r ia ŋ
724	fat	BanPaw	briaŋ	briaŋ	b r ia ŋ		1-46	1 5 7 4	ACXN	PRIN	1	1.P.C 1.R.C 1.I.V 1.N.c	2.0 1.5 1.5 0.8	briaŋ	0	42	541	115	27	b r ia ŋ
725	fat	ChaYeQing	bjoŋ	bjoŋ	b io ŋ		2-46	1 7 4	AXN	PIN	2	2.P.C 2.I.V 2.N.c	2.0 1.5 0.8	bioŋ	0	125	541	115	27	b io ŋ
726	fat	GuangKa	pjoŋ	pjoŋ	p io ŋ	ruma1248	2-46	1 7 4	AXN	PIN	4	4.P.C 4.I.V 4.N.c	2.0 1.5 0.8	pioŋ	0	125	541	115	27	p io ŋ
727	fat	MangBang	pjoŋ	pjoŋ	p io ŋ	ruma1248	2-46	1 7 4	AXN	PIN	7	7.P.C 7.I.V 7.N.c	2.0 1.5 0.8	pioŋ	0	125	541	115	27	p io ŋ
728	fat	NanSang	pjoŋ	pjoŋ	p io ŋ	ruma1248	2-46	1 7 4	AXN	PIN	11	11.P.C 11.I.V 11.N.c	2.0 1.5 0.8	pioŋ	0	125	541	115	27	p io ŋ
1014	fear	NamHsan	ʥɔː	ʥɔː	dʑ ɔː		1-65	2 7	AX	CU	10	10.C.C 10.U.V	2.0 1.5	dʑɔː	0	63	559	153	29	dʑ ɔː -
1015	fear	KhunHawt	jow	jow	j o w		1-65	6 7 6	AXN	JUW	6	6.J.C 6.U.V 6.W.c	2.0 1.5 0.8	jow	0	63	558	154	28	j o w
1016	fear	HtanHsan	ʥoː	ʥoː	dʑ oː		1-65	2 7	AX	CU	5	5.C.C 5.U.V	2.0 1.5	dʑoː	0	63	559	153	29	dʑ oː -
1017	fear	PangKham	ʥoː	ʥoː	dʑ oː		1-65	2 7	AX	CU	14	14.C.C 14.U.V	2.0 1.5	dʑoː	0	63	559	153	29	dʑ oː -
1018	fear	ManLoi	ʥɔː	ʥɔː	dʑ ɔː		1-65	2 7	AX	CU	8	8.C.C 8.U.V	2.0 1.5	dʑɔː	0	63	559	153	29	dʑ ɔː -
1019	fear	MengDan	ʥoː	ʥoː	dʑ oː	khan1274	1-65	2 7	AX	CU	9	9.C.C 9.U.V	2.0 1.5	dʑoː	0	63	559	153	29	dʑ oː -
1020	fear	ChuDongGua	joː	joː	j oː		1-65	6 7	AX	JU	3	3.J.C 3.U.V	2.0 1.5	joː	0	63	558	154	28	j oː -
1021	fear	PongNuea	jow	jow	j o w		1-65	6 7 6	AXN	JUW	15	15.J.C 15.U.V 15.W.c	2.0 1.5 0.8	jow	0	63	558	154	28	j o w
1022	fear	NyaungGone	kacua	kacua	k a + c u a		2-65	1 7 9 1 7 7	AX_AXZ	KA_CYA	13	13.K.C 13.A.V 13._._ 13.C.C 13.Y.V 13.A.V	2.0 1.5 0.0 2.0 1.5 0.8	ka+cua	0	138	560 559	155	29	k a + c u a
1023	fear	NoeLae	kacua	kacua	k a + c u a		2-65	1 7 9 1 7 7	AX_AXZ	KA_CYA	12	12.K.C 12.A.V 12._._ 12.C.C 12.Y.V 12.A.V	2.0 1.5 0.0 2.0 1.5 0.8	ka+cua	0	138	560 559	155	29	k a + c u a
1024	fear	BanPaw	jo	jo	j o		1-65	6 7	AX	JU	1	1.J.C 1.U.V	2.0 1.5	jo	0	63	558	154	28	j o -
1025	fear	ChaYeQing	ʥaw	ʥaw	dʑ a w		1-65	2 7 6	AXN	CAW	2	2.C.C 2.A.V 2.W.c	2.0 1.5 0.8	dʑaw	0	63	559	153	29	dʑ a w
1026	fear	GuangKa	jaw	jaw	j a w	ruma1248	1-65	6 7 6	AXN	JAW	4	4.J.C 4.A.V 4.W.c	2.0 1.5 0.8	jaw	0	63	558	154	28	j a w
1027	fear	MangBang	jaw	jaw	j a w	ruma1248	1-65	6 7 6	AXN	JAW	7	7.J.C 7.A.V 7.W.c	2.0 1.5 0.8	jaw	0	63	558	154	28	j a w
1028	fear	NanSang	jaw	jaw	j a w	ruma1248	1-65	6 7 6	AXN	JAW	11	11.J.C 11.A.V 11.W.c	2.0 1.5 0.8	jaw	0	63	558	154	28	j a w
838	fire	NamHsan	ŋar	ŋar	ŋ a r		1-54	4 7 5	AXN	NAR	10	10.N.C 10.A.V 10.R.c	2.0 1.5 0.8	ŋar	0	51	576	132	30	ŋ a r
839	fire	KhunHawt	ŋar	ŋar	ŋ a r		1-54	4 7 5	AXN	NAR	6	6.N.C 6.A.V 6.R.c	2.0 1.5 0.8	ŋar	0	51	576	132	30	ŋ a r
840	fire	HtanHsan	ŋal	ŋal	ŋ a l		1-54	4 7 5	AXN	NAL	5	5.N.C 5.A.V 5.L.c	2.0 1.5 0.8	ŋal	0	51	576	132	30	ŋ a l
841	fire	PangKham	ŋɔː	ŋɔː	ŋ ɔː		2-54	4 7	AX	NU	14	14.N.C 14.U.V	2.0 1.5	ŋɔː	0	130	576	132	30	ŋ ɔː
842	fire	ManLoi	ŋɔː	ŋɔː	ŋ ɔː		2-54	4 7	AX	NU	8	8.N.C 8.U.V	2.0 1.5	ŋɔː	0	130	576	132	30	ŋ ɔː
843	fire	MengDan	ŋal	ŋal	ŋ a l	khan1274	1-54	4 7 5	AXN	NAL	9	9.N.C 9.A.V 9.L.c	2.0 1.5 0.8	ŋal	0	51	576	132	30	ŋ a l
844	fire	ChuDongGua	ŋɔr	ŋɔr	ŋ ɔ r		1-54	4 7 5	AXN	NUR	3	3.N.C 3.U.V 3.R.c	2.0 1.5 0.8	ŋɔr	0	51	576	132	30	ŋ ɔ r
845	fire	XiangZhaiTang	ŋɔː	ŋɔː	ŋ ɔː	ruma1248	2-54	4 7	AX	NU	16	16.N.C 16.U.V	2.0 1.5	ŋɔː	0	130	576	132	30	ŋ ɔː
846	fire	PongNuea	ŋɔː	ŋɔː	ŋ ɔː		2-54	4 7	AX	NU	15	15.N.C 15.U.V	2.0 1.5	ŋɔː	0	130	576	132	30	ŋ ɔː
847	fire	NyaungGone	ŋɔ	ŋɔ	ŋ ɔ		2-54	4 7	AX	NU	13	13.N.C 13.U.V	2.0 1.5	ŋɔ	0	130	576	132	30	ŋ ɔ
848	fire	NoeLae	ŋɔ	ŋɔ	ŋ ɔ		2-54	4 7	AX	NU	12	12.N.C 12.U.V	2.0 1.5	ŋɔ	0	130	576	132	30	ŋ ɔ
849	fire	BanPaw	ŋɔ	ŋɔ	ŋ ɔ		2-54	4 7	AX	NU	1	1.N.C 1.U.V	2.0 1.5	ŋɔ	0	130	576	132	30	ŋ ɔ
850	fire	ChaYeQing	ŋaj	ŋaj	ŋ a j		1-54	4 7 6	AXN	NAJ	2	2.N.C 2.A.V 2.J.c	2.0 1.5 0.8	ŋaj	0	51	576	132	30	ŋ a j
851	fire	GuangKa	ŋaj	ŋaj	ŋ a j	ruma1248	1-54	4 7 6	AXN	NAJ	4	4.N.C 4.A.V 4.J.c	2.0 1.5 0.8	ŋaj	0	51	576	132	30	ŋ a j
852	fire	MangBang	ŋaj	ŋaj	ŋ a j	ruma1248	1-54	4 7 6	AXN	NAJ	7	7.N.C 7.A.V 7.J.c	2.0 1.5 0.8	ŋaj	0	51	576	132	30	ŋ a j
853	fire	NanSang	ŋaiɁ	ŋaiɁ	ŋ ai ʔ	ruma1248	1-54	4 7 1	AXN	NAH	11	11.N.C 11.A.V 11.H.c	2.0 1.5 0.8	ŋaiʔ	0	51	576	132	30	ŋ ai ʔ
417	fish	NamHsan	kaː	kaː	k aː		1-27	1 7	AX	KA	10	10.K.C 10.A.V	2.0 1.5	kaː	0	21	594	66	31	- - - k aː
418	fish	KhunHawt	kaː	kaː	k aː		1-27	1 7	AX	KA	6	6.K.C 6.A.V	2.0 1.5	kaː	0	21	594	66	31	- - - k aː
419	fish	HtanHsan	kaː	kaː	k aː		1-27	1 7	AX	KA	5	5.K.C 5.A.V	2.0 1.5	kaː	0	21	594	66	31	- - - k aː
420	fish	PangKham	ɡaː	ɡaː	g aː		1-27	1 7	AX	KA	14	14.K.C 14.A.V	2.0 1.5	gaː	0	21	594	66	31	- - - g aː
421	fish	ManLoi	ɡɛː	ɡɛː	g ɛː		1-27	1 7	AX	KE	8	8.K.C 8.E.V	2.0 1.5	gɛː	0	21	594	66	31	- - - g ɛː
422	fish	MengDan	kɛː	kɛː	k ɛː	khan1274	1-27	1 7	AX	KE	9	9.K.C 9.E.V	2.0 1.5	kɛː	0	21	594	66	31	- - - k ɛː
423	fish	ChuDongGua	kaː	kaː	k aː		1-27	1 7	AX	KA	3	3.K.C 3.A.V	2.0 1.5	kaː	0	21	594	66	31	- - - k aː
424	fish	XiangZhaiTang	ɡaː	ɡaː	g aː	ruma1248	1-27	1 7	AX	KA	16	16.K.C 16.A.V	2.0 1.5	gaː	0	21	594	66	31	- - - g aː
425	fish	PongNuea	maɡɛa	maɡɛa	m a + g ɛa		1-27	4 7 9 1 7	AX_AX	MA_KE	15	15.M.C 15.A.V 15._._ 15.K.C 15.E.V	2.0 1.5 0.0 2.0 1.5	ma+gɛa	0	21	593 594	67	31	m a + g ɛa
426	fish	NyaungGone	maɡa	maɡa	m a + g a		1-27	4 7 9 1 7	AX_AX	MA_KA	13	13.M.C 13.A.V 13._._ 13.K.C 13.A.V	2.0 1.5 0.0 2.0 1.5	ma+ga	0	21	593 594	67	31	m a + g a
427	fish	NoeLae	maɡa	maɡa	m a + g a		1-27	4 7 9 1 7	AX_AX	MA_KA	12	12.M.C 12.A.V 12._._ 12.K.C 12.A.V	2.0 1.5 0.0 2.0 1.5	ma+ga	0	21	593 594	67	31	m a + g a
428	fish	BanPaw	maɡa	maɡa	m a + g a		1-27	4 7 9 1 7	AX_AX	MA_KA	1	1.M.C 1.A.V 1._._ 1.K.C 1.A.V	2.0 1.5 0.0 2.0 1.5	ma+ga	0	21	593 594	67	31	m a + g a
429	fish	ChaYeQing	kaː	kaː	k aː		1-27	1 7	AX	KA	2	2.K.C 2.A.V	2.0 1.5	kaː	0	21	594	66	31	- - - k aː
430	fish	GuangKa	kaː	kaː	k aː	ruma1248	1-27	1 7	AX	KA	4	4.K.C 4.A.V	2.0 1.5	kaː	0	21	594	66	31	- - - k aː
431	fish	MangBang	kaː	kaː	k aː	ruma1248	1-27	1 7	AX	KA	7	7.K.C 7.A.V	2.0 1.5	kaː	0	21	594	66	31	- - - k aː
432	fish	NanSang	kaː	kaː	k aː	ruma1248	1-27	1 7	AX	KA	11	11.K.C 11.A.V	2.0 1.5	kaː	0	21	594	66	31	- - - k aː
241	flower	NamHsan	ɓoh	ɓoh	ɓ o h		1-16	1 7 3	AXN	PUH	10	10.P.C 10.U.V 10.H.c	2.0 1.5 0.8	ɓoh	0	9	614	39	32	ɓ o h
242	flower	KhunHawt	ɓoh	ɓoh	ɓ o h		1-16	1 7 3	AXN	PUH	6	6.P.C 6.U.V 6.H.c	2.0 1.5 0.8	ɓoh	0	9	614	39	32	ɓ o h
243	flower	HtanHsan	ɓoh	ɓoh	ɓ o h		1-16	1 7 3	AXN	PUH	5	5.P.C 5.U.V 5.H.c	2.0 1.5 0.8	ɓoh	0	9	614	39	32	ɓ o h
244	flower	PangKham	boh	boh	b o h		1-16	1 7 3	AXN	PUH	14	14.P.C 14.U.V 14.H.c	2.0 1.5 0.8	boh	0	9	614	39	32	b o h
245	flower	ManLoi	ɓoh	ɓoh	ɓ o h		1-16	1 7 3	AXN	PUH	8	8.P.C 8.U.V 8.H.c	2.0 1.5 0.8	ɓoh	0	9	614	39	32	ɓ o h
246	flower	MengDan	ɓoh	ɓoh	ɓ o h	khan1274	1-16	1 7 3	AXN	PUH	9	9.P.C 9.U.V 9.H.c	2.0 1.5 0.8	ɓoh	0	9	614	39	32	ɓ o h
247	flower	ChuDongGua	ɓoh	ɓoh	ɓ o h		1-16	1 7 3	AXN	PUH	3	3.P.C 3.U.V 3.H.c	2.0 1.5 0.8	ɓoh	0	9	614	39	32	ɓ o h
248	flower	XiangZhaiTang	boh	boh	b o h	ruma1248	1-16	1 7 3	AXN	PUH	16	16.P.C 16.U.V 16.H.c	2.0 1.5 0.8	boh	0	9	614	39	32	b o h
249	flower	PongNuea	bouh	bouh	b ou h		1-16	1 7 3	AXN	PUH	15	15.P.C 15.U.V 15.H.c	2.0 1.5 0.8	bouh	0	9	614	39	32	b ou h
250	flower	NyaungGone	bouh	bouh	b ou h		1-16	1 7 3	AXN	PUH	13	13.P.C 13.U.V 13.H.c	2.0 1.5 0.8	bouh	0	9	614	39	32	b ou h
251	flower	NoeLae	bouh	bouh	b ou h		1-16	1 7 3	AXN	PUH	12	12.P.C 12.U.V 12.H.c	2.0 1.5 0.8	bouh	0	9	614	39	32	b ou h
252	flower	BanPaw	bouh	bouh	b ou h		1-16	1 7 3	AXN	PUH	1	1.P.C 1.U.V 1.H.c	2.0 1.5 0.8	bouh	0	9	614	39	32	b ou h
253	flower	ChaYeQing	box	box	b o x		1-16	1 7 3	AXN	PUG	2	2.P.C 2.U.V 2.G.c	2.0 1.5 0.8	box	0	9	614	39	32	b o x
254	flower	GuangKa	poh	poh	p o h	ruma1248	1-16	1 7 3	AXN	PUH	4	4.P.C 4.U.V 4.H.c	2.0 1.5 0.8	poh	0	9	614	39	32	p o h
255	flower	MangBang	poh	poh	p o h	ruma1248	1-16	1 7 3	AXN	PUH	7	7.P.C 7.U.V 7.H.c	2.0 1.5 0.8	poh	0	9	614	39	32	p o h
