ID	STRUCTURE	FREQUENCY	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang	COGNATESETS	CONCEPTS
3-21	c	21	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	122:3, 203:3, 1386:0, 1575:0, 1592:5, 1664:0, 1:0, 1647:0, 1151:0, 894:4, 1204:2, 291:2, 291:4, 1716:0, 1403:3, 324:5, 1700:3, 376:0, 1063:4, 1353:0, 1404:0	I / bone / cloud / dog / ear / egg / left side / near / one / right side / sit / sleep / smell / three / tongue / two / water / white / who?
197-5	c	5	ʔ	k	ʔ	k	ʔ	ʔ	k	k	ʔ	ʔ	k	ʔ	ʔ	k	ʔ	ʔ	71:3, 169:3, 1301:3, 325:5, 275:2	bite / burn / dig / ear / scratch
9-1	c	1	ʔ	ʔ	t	ʔ	ʔ	t	ʔ	t	t	t	ʔ	-	ʔ	t	ʔ	ʔ	203:5	cloud
21-1	c	1	ʔ	k	k	k	ʔ	ʔ	k	k	ʔ	ʔ	k	ʔ	ʔ	ʔ	ʔ	ʔ	605:3	full
147-1	c	1	ʔ	ʔ	ʔ	ʔ	Ø	Ø	ʔ	ʔ	ʔ	Ø	ʔ	ʔ	Ø	ʔ	v	ʔ	1170:2	person, human
207-1	c	1	ʔ	ʔ	t	Ø	Ø	Ø	Ø	ʔ	Ø	Ø	Ø	-	ʔ	t	ʔ	ʔ	1264:4	rub hard with both hands
278-1	c	1	ʔ	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ʔ	-	Ø	j	-	324:0	ear
261-1	c	1	ɲ̊	Ø	Ø	ɲ	Ø	Ø	ɲ	Ø	Ø	Ø	ɲ	ɲ̊	ɲ̊	Ø	ɲ̊	Ø	1403:0	smell
6-2	c	2	ɲ	n	ŋ	n	ɲ	ɲ	n	ŋ	ŋ	ŋ	n	ɲ	n	ɲ	ɲ	ɲ	702:2, 657:5	hair / head
63-2	c	2	ɲ	n	ŋ	n	ŋ	ŋ	n	ŋ	ŋ	ŋ	n	ɲ	n	ŋ	ɲ	n	552:2, 1223:4	foot / road, path
298-2	c	2	ɲ	Ø	r	-	-	-	-	-	r	r	-	ɲ	ɲ	n	ɲ	Ø	978:8, 805:0	intestines / moon
42-1	c	1	ɲ	n	ɲ	n	ɲ	ɲ	n	n	n	ɲ	n	ɲ	n	ɲ	ɲ	ɲ	1438:4	snake
119-1	c	1	ɲ	ɲ	ɲ	ɲ	Ø	Ø	ɲ	ɲ	ŋ	Ø	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	855:3	laugh
5-2	c	2	ɨ	e	i	e	i	e	ə	i	i	i	ə	i	ɨ	i	i	i	702:1, 657:4	hair / head
186-2	c	2	ɨ	ɨ	u	ɨ	Ø	ə	ɨ	u	u	u	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	759:1, 961:1	horn / many
212-2	c	2	ɨ	a	a	a	ə	ə	ə	a	ə	ə	a	a	a	a	a	ɨ	1592:1, 89:1	black / tongue
213-2	c	2	ɨ	ɛ	uː	ɛ	oː	oː	ə	oː	uː	oː	ə	ɨ	ɨ	oː	ɨ	ɨ	1664:1, 1098:3	night / water
245-2	c	2	ɨ	u	iː	iː	Ø	Ø	iː	iː	iː	Ø	iː	i	i	iː	ɨ	u	1170:3, 1558:1	person, human / this
86-1	c	1	ɨ	ɨː	ɨː	Ø	ɨː	ɨː	ɨː	ɨː	ɨː	ɨː	ɨː	ɨ	ɨ	ɨː	ɨː	ɨː	1047:1	name
113-1	c	1	ɨ	ɨ	u	ɨ	o	o	Ø	u	u	Ø	Ø	ɨ	ɨ	ɨ	ɨ	uː	656:1	hair
189-2	c	2	ɛ	a	a	a	iː	iː	a	a	a	iː	a	ɛ	ɛ	a	ɛː	ɛː	685:1, 944:3	hand / louse
248-2	c	2	ɛ	a	a	a	e	iː	Ø	a	a	Ø	Ø	ɛ	ɛ	a	Ø	ɛː	778:6, 640:2	grass / hunt
47-1	c	1	ɛ	a	ɔ	a	iː	iː	a	a	ə	iː	a	ɛ	ɛ	a	ɛ	ɛː	1524:3	sun
59-1	c	1	ɛ	a	ɔː	a	iː	iː	a	a	ə	iː	a	ɛ	ɛ	a	ɛː	ɛː	1772:1	you (sg.)
230-1	c	1	ɛ	a	a	Ø	Ø	Ø	Ø	iː	iː	Ø	Ø	ɛ	Ø	i	ɛ	Ø	1097:1	night
294-2	c	2	ə̆	Ø	ə	Ø	Ø	Ø	Ø	ə	Ø	Ø	ə	ə̆	ə̆	ə	ə	ə	273:1, 139:1	breathe / dig
77-1	c	1	ə̆	a	uː	ɨː	ə	ə	ɨː	ə	uː	ə	ɨː	ə̆	ə̆	Ø	ə	ə	535:2	fly
100-1	c	1	ə̆	-	-	Ø	-	-	a	Ø	a	-	a	-	-	-	-	-	239:3	cut
229-1	c	1	ə̆	Ø	Ø	a	Ø	Ø	ə	Ø	Ø	Ø	a	ə̆	ə̆	Ø	ə	ə	639:1	grass
274-2	c	2	ə	əː	a	əː	a	a	əː	aː	a	əː	əː	ə	ə	a	ə	əː	978:7, 375:1	egg / moon
27-1	c	1	ə	eː	əː	ɛː	əː	əː	əː	əː	əː	əː	əː	ə	ə	əː	əː	əː	724:4	breathe / heart
180-1	c	1	ə	Ø	ɨː	e	əː	Ø	e	Ø	Ø	Ø	e	ə	ə	Ø	ə	ə	1318:1	see
233-1	c	1	ə	eː	ɯ	Ø	Ø	Ø	Ø	ə	-	Ø	Ø	ə	Ø	ə	ə	Ø	1097:4	night
