ID	STRUCTURE	FREQUENCY	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang	COGNATESETS	CONCEPTS
324-6	c	6	ɔ	a	ɔ	a	a	a	a	ɔː	a	a	a	ɔ	ɔ	ɔː	ɔː	ɔː	35:1, 378:1, 378:3, 434:1, 822:2, 1098:1	ashes / egg / far / fire / kill / night
221-4	c	4	ɔ	a	a	ɔ	a	a	ɔ	a	a	ə	ɔ	ɔ	ɔ	a	ɔ	ɔ	1473:1, 88:3, 34:2, 723:6	ashes / black / heart / stand
249-2	c	2	ɔ	oː	ɔː	ɔː	u	o	ɔː	ɔː	u	u	ɔː	ɔ	ɔ	ɔː	ɔː	ɔː	186:1, 994:1	child / mountain
276-2	c	2	ɔ	o	ɔː	ɔ	Ø	Ø	ɔː	ɔ	Ø	Ø	ɔ	ɔ	ɔ	ɔ	ɔː	o	1264:3, 1403:1	rub hard with both hands / smell
300-2	c	2	ɔ	oː	ə	o	ɨ	u	ɔː	i	Ø	i	ɔ	ɔ	ɔ	ɔː	ɔː	ɔ	993:1, 1405:2	mountain / smell
178-1	c	1	ɔ	Ø	Ø	Ø	a	a	Ø	a	a	Ø	ɔ	ɔ	ɔ	Ø	ɔ	ɛ	1282:1	salty
283-1	c	1	ɔ	Ø	ɔː	Ø	Ø	Ø	Ø	Ø	ɔː	Ø	Ø	ɔ	ɔ	Ø	ɔ	Ø	805:1	intestines
192-11	c	11	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	35:0, 398:0, 1524:2, 821:0, 36:4, 276:5, 434:2, 1188:2, 308:2, 1628:2, 202:0	ashes / cloud / dig / drink / eye / far / fire / kill / nail / rain / sun / tree
1-9	c	9	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	k	ŋ	ŋ	ŋ	122:5, 451:4, 1473:2, 759:2, 1609:2, 88:4, 433:2, 307:3, 928:2	black / bone / drink / far / fat / horn / long / stand / tooth
168-2	c	2	ŋ	ŋ	Ø	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	-	ŋ	ŋ	ŋ	1115:4, 1282:4	nose / salty
284-1	c	1	ŋ	Ø	n	Ø	Ø	Ø	Ø	Ø	n	Ø	Ø	ŋ	ŋ	Ø	ŋ	Ø	805:2	intestines
130-2	c	2	ă	ɔː	a	ɔː	a	a	ɔ	aː	a	a	ɔ	ă	ă	a	a	a	256:1, 838:1	die / know
175-2	c	2	ă	a	ɔ	a	e	e	a	a	ɔ	a	a	a	a	a	a	a	1438:3, 806:4	intestines / snake
240-2	c	2	ă	a	a	a	a	a	a	a	ɛ	a	a	ă	ă	a	a	a	894:3, 1559:1	left side / this
43-1	c	1	ă	a	ɛ	a	a	a	a	a	e	ɛ	a	ă	ă	a	a	e	1455:1	spit
53-1	c	1	ă	a	a	a	a	a	aː	a	ɛ	a	a	ă	ă	a	a	a	1592:4	tongue
58-1	c	1	ă	a	ɔ	a	ə	ə	a	a	a	ə	a	ə̆	ă	a	ə	ə	1755:3	year
66-1	c	1	ă	a	ɛ	a	a	a	a	a	e	ɛ	a	ă	ă	Ø	a	a	17:1	abdomen
68-1	c	1	ă	Ø	a	ɔː	a	a	ɔː	a	a	a	ɔː	ă	ă	i	a	a	222:1	cold
123-1	c	1	ă	ɔ	a	ɔː	Ø	Ø	ɔː	a	ɛ	Ø	ɔ	ă	ă	a	a	a	1134:1	old-aged
127-1	c	1	ă	a	ɔː	a	Ø	Ø	a	a	ɔ	Ø	a	ă	ă	ɔ	a	a	1420:1	smoke
162-1	c	1	ă	a	a	Ø	e	e	Ø	Ø	a	ɛ	Ø	ă	ă	Ø	a	ɛ	1490:3	star
296-2	c	2	Ø	Ø	aː	a	e	iː	a	a	ɛː	iː	a	Ø	Ø	a	Ø	Ø	945:1, 377:2	egg / louse
307-2	c	2	Ø	ɔ	-	ɔː	-	-	ɔː	a	a	a	aː	Ø	Ø	a	Ø	a	1064:3, 839:1	know / near
308-2	c	2	Ø	ʔ	-	ʔ	-	-	ʔ	ʔ	t	ʔ	-	Ø	Ø	t	Ø	t	1064:4, 839:2	know / near
325-2	c	2	Ø	Ø	u	u	u	u	u	Ø	u	Ø	u	Ø	Ø	Ø	Ø	Ø	1266:1, 1116:3	nose / rub hard with both hands
326-2	c	2	Ø	Ø	-	-	-	-	-	Ø	ʔ	Ø	-	Ø	Ø	Ø	Ø	Ø	1266:2, 1116:0	nose / rub hard with both hands
327-2	c	2	Ø	tɕ	tɕ	tɕ	Ø	Ø	tɕ	Ø	Ø	tɕ	tɕ	Ø	Ø	j	Ø	Ø	1283:0, 308:0	drink / salty
337-2	c	2	Ø	Ø	n	-	nh	n	-	Ø	-	n	Ø	Ø	Ø	Ø	ŋh	ŋh	1030:2, 1717:4	nail / who?
338-2	c	2	Ø	Ø	-	-	ʔ	ʔ	-	ʔ	-	ʔ	Ø	Ø	Ø	h	Ø	Ø	1302:5, 1717:2	scratch / who?
351-2	c	2	Ø	Ø	r	Ø	r̥	r	Ø	l	l	r	Ø	Ø	Ø	l	Ø	Ø	377:1, 994:2	egg / mountain
352-2	c	2	Ø	Ø	Ø	Ø	uː	o	Ø	ɔ	Ø	u	Ø	Ø	Ø	u	Ø	Ø	781:2, 1188:1	hunt / rain
140-1	c	1	Ø	a	a	a	a	a	a	a	ə	a	a	Ø	Ø	a	Ø	a	36:1	ashes
141-1	c	1	Ø	f	f	f	f	f	f	f	f	f	f	Ø	Ø	f	Ø	f	36:2	ashes
143-1	c	1	Ø	k	k	k	k	k	k	g	k	k	k	Ø	Ø	g	Ø	g	502:0	fish
176-1	c	1	Ø	Ø	ŋ	-	ŋ	ŋ	-	ŋ	ŋ	ŋ	-	Ø	Ø	ŋ	Ø	Ø	978:3	moon
177-1	c	1	Ø	Ø	-	j	-	-	j	-	-	-	j	Ø	Ø	-	Ø	Ø	978:5	moon
182-1	c	1	Ø	s	s	s	s	s	Ø	s	s	s	ʨʰ	Ø	Ø	s	Ø	Ø	1682:0	what?
183-1	c	1	Ø	ə	iː	ə	ə	i	Ø	i	i	i	ə	Ø	Ø	i	Ø	Ø	1682:1	what?
184-1	c	1	Ø	-	-	-	-	-	Ø	-	ə	-	-	Ø	Ø	-	Ø	Ø	1682:3	what?
185-1	c	1	Ø	m	m	m	m	m	Ø	m	m	m	m̥	Ø	Ø	m	Ø	Ø	1682:4	what?
204-1	c	1	Ø	Ø	j	j	j	-	j	j	Ø	-	ʔ	Ø	Ø	j	Ø	Ø	945:3	louse
205-1	c	1	Ø	n	d	Ø	d	d	Ø	-	n	t	Ø	Ø	Ø	ʔ	Ø	m	1064:0	near
206-1	c	1	Ø	-	a	Ø	a	a	Ø	-	-	a	Ø	Ø	Ø	a	Ø	-	1064:1	near
225-1	c	1	Ø	b	Ø	Ø	b	b	Ø	b	b	b	Ø	Ø	Ø	b	Ø	b	399:0	eye / heart
226-1	c	1	Ø	ɔː	Ø	Ø	e	e	Ø	eː	i	e	Ø	Ø	Ø	eː	Ø	e	399:2	eye / heart
227-1	c	1	Ø	n	Ø	Ø	-	-	Ø	-	-	-	Ø	Ø	Ø	-	Ø	n	399:4	eye / heart
228-1	c	1	Ø	h	Ø	Ø	-	-	Ø	-	-	-	Ø	Ø	Ø	-	Ø	x	399:6	eye / heart
235-1	c	1	Ø	ʔ	h	Ø	ʔ	ʔ	ʔ	Ø	Ø	h	ʔ	Ø	Ø	Ø	Ø	ʔ	1559:0	this
236-1	c	1	Ø	n	ʔ	Ø	n	n	n	Ø	Ø	ʔ	n	Ø	Ø	Ø	Ø	n	1559:2	this
237-1	c	1	Ø	i	ɨ	Ø	i	i	iː	Ø	Ø	ɨː	i	Ø	Ø	Ø	Ø	iː	1559:3	this
238-1	c	1	Ø	n	-	Ø	n	n	-	Ø	Ø	-	-	Ø	Ø	Ø	Ø	-	1559:4	this
254-1	c	1	Ø	-	Ø	-	Ø	Ø	l	l	Ø	l	-	Ø	Ø	-	Ø	Ø	325:0	ear
255-1	c	1	Ø	-	Ø	-	Ø	Ø	a	ɛː	Ø	a	-	Ø	Ø	-	Ø	Ø	325:1	ear
256-1	c	1	Ø	-	Ø	-	Ø	Ø	-	-	Ø	j	-	Ø	Ø	-	Ø	Ø	325:2	ear
257-1	c	1	Ø	ʨʰ	Ø	ʨʰ	Ø	Ø	ʨʰ	j̊	Ø	ʨʰ	ʨʰ	Ø	Ø	j̊	Ø	Ø	325:3	ear
258-1	c	1	Ø	o	Ø	o	Ø	Ø	o	o	Ø	ɔː	o	Ø	Ø	o	Ø	Ø	325:4	ear
279-1	c	1	Ø	b	ɓ	Ø	b	Ø	Ø	p	p	Ø	Ø	Ø	Ø	p	Ø	Ø	640:0	grass
280-1	c	1	Ø	-	-	Ø	j	Ø	Ø	j	j	Ø	Ø	Ø	Ø	j	Ø	Ø	640:4	grass
281-1	c	1	Ø	ə	ɔː	Ø	Ø	Ø	ɛː	Ø	i	Ø	Ø	ɛ	ɛ	Ø	Ø	Ø	779:2	hunt
282-1	c	1	Ø	p	-	Ø	Ø	Ø	-	Ø	p	Ø	Ø	-	-	Ø	Ø	Ø	779:3	hunt
285-1	c	1	Ø	Ø	Ø	tʰ	tʰ	d	tʰ	Ø	tʰ	Ø	tʰ	Ø	Ø	Ø	Ø	Ø	1266:0	rub hard with both hands
286-1	c	1	Ø	Ø	Ø	tʰ	tʰ	d	tʰ	Ø	ɗ	Ø	tʰ	Ø	Ø	Ø	Ø	Ø	1266:3	rub hard with both hands
287-1	c	1	Ø	Ø	Ø	-	e	-	-	Ø	-	Ø	-	Ø	Ø	Ø	Ø	Ø	1266:4	rub hard with both hands
288-1	c	1	Ø	Ø	Ø	i	i	i	iː	Ø	a	Ø	iː	Ø	Ø	Ø	Ø	Ø	1266:5	rub hard with both hands
289-1	c	1	Ø	Ø	Ø	k	ʔ	t	-	Ø	j	Ø	-	Ø	Ø	Ø	Ø	Ø	1266:6	rub hard with both hands
290-1	c	1	Ø	eː	eː	ɛː	Ø	Ø	eː	Ø	Ø	ɛː	Ø	Ø	Ø	ɛː	Ø	Ø	1283:1	salty
311-1	c	1	Ø	Ø	Ø	Ø	ə	ə	Ø	Ø	Ø	ə	Ø	Ø	Ø	Ø	-	-	1030:1	nail
312-1	c	1	Ø	Ø	Ø	Ø	-	ɗ	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	-	-	1030:5	nail
313-1	c	1	Ø	Ø	Ø	Ø	-	iː	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	-	-	1030:6	nail
314-1	c	1	Ø	Ø	Ø	Ø	aː	aː	Ø	i	Ø	aː	Ø	Ø	Ø	i	Ø	Ø	1302:2	scratch
315-1	c	1	Ø	dʑ	Ø	Ø	Ø	dʑ	Ø	dʑ	dʑ	Ø	Ø	Ø	Ø	dʑ	Ø	Ø	1319:0	see
316-1	c	1	Ø	eː	Ø	Ø	Ø	əː	Ø	əː	ɨː	Ø	Ø	Ø	Ø	ə	Ø	Ø	1319:1	see
317-1	c	1	Ø	-	Ø	Ø	Ø	-	Ø	-	-	Ø	Ø	Ø	Ø	ɯ	Ø	Ø	1319:3	see
318-1	c	1	Ø	Ø	Ø	Ø	kʰ	k	Ø	kʰ	Ø	kʰ	Ø	Ø	Ø	kʰ	Ø	Ø	1405:0	smell
319-1	c	1	Ø	Ø	Ø	Ø	-	ə	Ø	-	Ø	-	Ø	Ø	Ø	-	Ø	Ø	1405:3	smell
320-1	c	1	Ø	Ø	b	Ø	p	b	Ø	Ø	p	b	Ø	Ø	Ø	Ø	Ø	Ø	1700:0	white
321-1	c	1	Ø	Ø	ɔ	Ø	ɔ	ɔː	Ø	Ø	ɔ	ɔ	Ø	Ø	Ø	Ø	Ø	Ø	1700:2	white
322-1	c	1	Ø	Ø	iː	iː	Ø	i	i	Ø	iː	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1717:1	who?
330-1	c	1	Ø	Ø	g	Ø	Ø	Ø	Ø	k	g	Ø	Ø	Ø	Ø	g	Ø	Ø	377:0	egg
332-1	c	1	Ø	kʰ	Ø	kʰ	Ø	Ø	kʰ	Ø	Ø	Ø	k	Ø	Ø	Ø	Ø	Ø	1029:0	nail
333-1	c	1	Ø	h	j̊	Ø	Ø	Ø	Ø	Ø	j̊	Ø	Ø	Ø	Ø	Ø	Ø	h	1404:2	smell
334-1	c	1	Ø	Ø	Ø	ŋh	Ø	Ø	ŋh	Ø	Ø	Ø	ŋh	Ø	Ø	Ø	Ø	ŋh	1627:2	tree
335-1	c	1	Ø	Ø	Ø	Ø	ɗ	ɗ	Ø	d	Ø	ɗ	Ø	Ø	Ø	Ø	Ø	Ø	1628:0	tree
339-1	c	1	Ø	Ø	Ø	Ø	-	-	Ø	Ø	Ø	ɓ	Ø	Ø	Ø	Ø	Ø	Ø	276:3	dig
340-1	c	1	Ø	Ø	Ø	Ø	-	-	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	Ø	Ø	Ø	276:4	dig
341-1	c	1	Ø	Ø	Ø	Ø	ɗ	ɗ	Ø	Ø	Ø	d	Ø	Ø	Ø	Ø	Ø	Ø	378:2	egg
342-1	c	1	Ø	Ø	Ø	-	Ø	Ø	-	Ø	Ø	Ø	p	Ø	Ø	Ø	Ø	Ø	723:0	heart
343-1	c	1	Ø	Ø	Ø	-	Ø	Ø	-	Ø	Ø	Ø	ŋ	Ø	Ø	Ø	Ø	Ø	723:2	heart
344-1	c	1	Ø	Ø	Ø	Ø	Ø	-	Ø	r	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	781:1	hunt
345-1	c	1	Ø	Ø	Ø	Ø	ɓ	p	Ø	Ø	Ø	b	Ø	Ø	Ø	Ø	Ø	Ø	822:0	kill
346-1	c	1	Ø	Ø	Ø	Ø	r	Ø	Ø	Ø	Ø	r	Ø	Ø	p	Ø	Ø	Ø	1099:0	night
347-1	c	1	Ø	Ø	Ø	Ø	m̥	Ø	Ø	Ø	Ø	m̥	Ø	Ø	m̥	Ø	Ø	Ø	1099:3	night
348-1	c	1	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	ɯ	Ø	Ø	-	Ø	Ø	Ø	1099:5	night
349-1	c	1	Ø	Ø	Ø	Ø	ɓ	ɓ	Ø	Ø	Ø	b	Ø	Ø	Ø	Ø	Ø	Ø	1171:0	person, human
350-1	c	1	Ø	Ø	Ø	Ø	i	iː	Ø	Ø	Ø	iː	Ø	Ø	Ø	Ø	Ø	Ø	1171:1	person, human
266-3	c	3	w	w	w	w	w	w	w	w	w	-	w	w	w	w	w	w	1507:2, 377:3, 1491:2	egg / star / stone
170-3	c	3	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	17:0, 88:2, 806:3	abdomen / black / intestines
169-4	c	4	u	-	-	-	u	-	-	-	-	-	-	u	u	-	u	u	605:2, 169:2, 1301:2, 324:4	burn / ear / full / scratch
263-3	c	3	u	-	-	-	-	-	-	-	a	-	-	u	u	-	u	-	71:2, 1116:1, 1352:1	bite / nose / sit
241-2	c	2	u	uː	uː	uː	uː	uː	uː	uː	Ø	u	uː	u	u	uː	Ø	uː	1151:1, 170:1	burn / one
250-2	c	2	u	u	u	-	u	u	-	u	u	u	u	u	u	u	u	u	1115:6, 1404:1	nose / smell
8-1	c	1	u	uː	uː	uː	uː	uː	u	u	uː	uː	uː	u	u	uː	u	u	203:4	cloud
17-1	c	1	u	oː	ɔ	oː	oː	o	oː	ɔː	o	o	o	u	u	u	a	u	569:2	four
39-1	c	1	u	uː	u	uː	uː	u	uː	u	u	u	uː	u	u	uː	uː	uː	1369:1	skin
54-1	c	1	u	uː	uː	uː	uː	uː	uː	uː	uː	uː	uː	u	u	uː	uː	uː	1738:1	wind
72-1	c	1	u	-	-	-	-	-	-	-	-	-	-	-	u	-	u	Ø	417:2	fall, to drop
74-1	c	1	u	Ø	-	-	-	-	-	-	-	-	-	u	u	-	u	-	518:2	flower
101-1	c	1	u	a	Ø	a	ɔ	ɔ	a	ɔ	Ø	ɔ	a	o	u	ɔ	u	u	1115:1	nose
116-1	c	1	u	-	-	i	Ø	Ø	-	-	-	Ø	i	u	u	-	u	-	821:2	kill
146-1	c	1	u	u	u	a	Ø	Ø	a	u	u	Ø	a	u	Ø	u	u	a	1170:1	person, human
164-1	c	1	u	ɨ	Ø	u	Ø	Ø	uː	uː	Ø	Ø	u	u	u	uː	uː	uː	1699:3	white
132-3	c	3	t	t	ʔ	t	c	c	t	ʔ	ʔ	ʔ	t	c	t	ʔ	c	c	1455:3, 17:3, 806:6	abdomen / intestines / spit
172-3	c	3	t	d	d	d	d	d	d	t	d	d	d	t	t	d	t	t	622:0, 433:0, 1352:0	far / give / sit
252-3	c	3	t	ʔ	t	ʔ	ʔ	t	ʔ	t	t	ʔ	ʔ	ʔ	ʔ	t	ʔ	ʔ	1386:2, 1405:4, 170:2	burn / sleep / smell
202-2	c	2	t	ʔ	ʔ	ʔ	r̥	r̥	ʔ	ʔ	ʔ	ʔ	ʔ	c	c	ʔ	c	ʔ	1010:3, 1352:3	mouth / sit
304-2	c	2	t	d	t	t	t	t	t	t	d	d	t	t	t	dʱ	t	t	1064:2, 639:2	grass / near
70-1	c	1	t	Ø	t	ʔ	t	t	ʔ	ʔ	t	t	ʔ	t	t	ʔ	t	t	222:3	cold
89-1	c	1	t	d	d	d	dʱ	d	d	t	Ø	d	d	t	t	t	t	t	1223:2	road, path
124-1	c	1	t	ʔ	t	ʔ	Ø	Ø	ʔ	ʔ	t	Ø	ʔ	t	t	t	t	t	1134:2	old-aged
144-1	c	1	t	d	d	d	Ø	Ø	d	t	d	Ø	d	t	t	dʱ	t	Ø	928:0	long
264-12	c	12	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	54:2, 1282:0, 945:0, 1264:0, 1716:2, 290:2, 944:2, 1681:2, 1717:0, 994:0, 434:0, 1098:2	bird / dog / far / louse / mountain / night / rub hard with both hands / salty / what? / who?
131-2	c	2	s	kʰ	s	s	s	s	s	s	k	s	s	s	s	s	s	s	1541:0, 1490:0	star / tail
45-1	c	1	s	kʰ	s	s	s	s	s	s	-	s	s	s	s	s	s	s	1524:0	sun
51-1	c	1	s	kʰ	k	s	k	k	s	k	k	k	s	s	s	k	s	s	1592:0	tongue
56-1	c	1	s	kʰ	s	s	s	s	s	s	s	s	s	s	s	s	s	s	1755:0	year
91-1	c	1	r̥	x	ʂ	sʲ	r̥	r̥	x	r̥	r̥	r̥	Ø	r̥	r̥	r̥	r̥	r̥	1609:0	tooth
323-7	c	7	r	j	r	j	r	r	j	r	r	r	j	r	r	r	r	r	451:1, 1302:1, 1405:1, 640:1, 34:1, 1063:1, 962:1	ashes / fat / grass / many / near / scratch / smell
105-1	c	1	r	Ø	r	ʐ	r	r	ɣ	r	r	r	Ø	r	r	r	r	r	1243:0	root
155-1	c	1	r	j	r	-	r	r	Ø	r	Ø	Ø	Ø	r	r	r	Ø	r	778:5	hunt
4-2	c	2	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	569:1, 724:3	breathe / four / heart
191-3	c	3	p	b	b	b	b	b	b	p	p	b	b	p	p	p	p	p	1455:0, 375:0, 639:0	egg / grass / spit
136-2	c	2	p	p	p	Ø	p	p	p	Ø	p	p	p	p	p	p	p	p	239:4, 838:2	cut / know
295-2	c	2	p	b	b	p	b	p	Ø	p	b	b	Ø	p	p	p	Ø	pp	778:4, 962:0	hunt / many
166-5	c	5	o	o	o	o	a	o	o	o	o	ɔ	o	o	o	o	o	o	605:1, 433:1, 928:1, 1301:1, 275:1	dig / far / full / long / scratch
328-2	c	2	o	o	o	Ø	o	o	Ø	o	u	o	Ø	o	o	o	a	a	291:3, 324:3	dog / ear
14-1	c	1	o	oː	oː	oː	ɔ	ɔː	o	ɔː	ɔː	ɔː	oː	o	o	ɔː	oː	oː	358:1	eat
30-1	c	1	o	o	o	o	u	u	o	u	o	oː	o	o	o	u	oː	o	1010:1	mouth
50-1	c	1	o	oː	o	oː	u	u	oː	u	o	u	o	o	o	u	oː	oː	1575:1	three
64-1	c	1	o	a	oː	a	ɔː	oː	a	ɔː	oː	ɔː	a	o	o	Ø	o	o	1:1	I
71-1	c	1	o	ɔ	ɔ	o	ɔ	o	o	ɔ	ɔ	ɔ	o	o	o	o	o	Ø	417:1	fall, to drop
73-1	c	1	o	Ø	o	o	o	o	o	o	o	o	o	o	o	o	o	o	518:1	flower
85-1	c	1	o	oː	ɔː	ɔː	oː	oː	ɔː	ɔː	ɔː	ɔː	Ø	o	o	ɔː	oː	oː	912:4	liver
110-1	c	1	o	o	o	o	Ø	Ø	o	o	o	Ø	o	o	o	ɔ	o	o	169:1	burn
112-1	c	1	o	a	oː	a	oː	o	a	ɔː	oː	ɔː	a	Ø	Ø	oː	o	Ø	468:1	fear
224-1	c	1	o	Ø	Ø	a	Ø	Ø	a	Ø	Ø	Ø	o	o	o	Ø	o	o	290:3	dog
7-1	c	1	n̥	n̥	n̥	n̥	n̥	n̥	n̥	n̥	n̥	n̥	n̥	n̥	n̥	n̥	n̥	n̥	105:0	blood
133-13	c	13	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	605:0, 742:2, 1755:2, 759:0, 186:3, 838:0, 375:3, 961:2, 1558:0, 839:0, 976:5, 1222:0, 723:5	child / egg / full / heart / heavy / horn / know / many / moon / road, path / this / year
138-2	c	2	n	n	ʔ	ʔ	Ø	Ø	ʔ	ʔ	ʔ	Ø	ʔ	ʔ	ʔ	ʔ	ʔ	n	894:0, 1204:0	left side / right side
203-2	c	2	n	-	r	-	r	r	-	r	r	r	-	n	n	n	n	n	1369:2, 376:3	egg / skin
