ID	STRUCTURE	FREQUENCY	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang	COGNATESETS	CONCEPTS
268-1	c	1	ʔ	Ø	Ø	-	Ø	Ø	-	Ø	Ø	Ø	-	ʔ	ʔ	Ø	ʔ	Ø	1264:3	near
271-1	c	1	ɲ̊	Ø	Ø	ɲ	Ø	Ø	ɲ	Ø	Ø	Ø	ɲ	ɲ̊	ɲ̊	Ø	ɲ̊	Ø	1720:0	smell
202-3	c	3	ɲ	n	ŋ	n	ŋ	ŋ	n	ŋ	ŋ	ŋ	n	ɲ	n	ŋ	ɲ	n	648:2, 1508:2, 521:0	far / foot / road, path
304-3	c	3	ɲ	ɣ	r	s	kʰ	k	s	kʰ	r	kʰ	s	ɲ	ɲ	kʰ	ɲ	Ø	921:0, 1324:0, 1722:0	intestines / night / smell
11-2	c	2	ɲ	n	ŋ	n	ɲ	ɲ	n	ŋ	ŋ	ŋ	n	ɲ	n	ɲ	ɲ	ɲ	805:2, 757:2	hair / head
79-1	c	1	ɲ	n	ɲ	n	ɲ	ɲ	n	n	n	ɲ	n	ɲ	n	ɲ	ɲ	ɲ	1758:2	snake
162-1	c	1	ɲ	ɲ	ɲ	ɲ	Ø	Ø	ɲ	ɲ	ŋ	Ø	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	975:0	laugh
10-2	c	2	ɨ	e	i	e	i	e	ə	i	i	i	ə	i	ɨ	i	i	i	805:1, 757:1	hair / head
302-2	c	2	ɨ	ɨ	-	ɨ	ə	Ø	ɨ	ia	-	-	ɨ	ɨ	ɨ	ia	Ø	Ø	1134:1, 1135:1	many
49-1	c	1	ɨ	ɨ	u	ɨ	ou	ou	ɨ	u	u	u	ɨ	ɨ	ɨ	ɨ	ɨ	uː	756:1	hair
55-1	c	1	ɨ	ɨ	u	ɨ	u	ə	ɨ	u	u	u	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	872:1	horn
97-1	c	1	ɨ	ɛ	uː	ɛ	oː	oː	ə	oː	uː	oː	ə	ɨ	ɨ	oː	ɨ	ɨ	2058:1	water
132-1	c	1	ɨ	ɨː	ɨː	Ø	ɨː	ɨː	ɨː	ɨː	ɨː	ɨː	ɨː	ɨ	ɨ	ɨː	ɨː	ɨː	1248:1	name
168-1	c	1	ɨ	u	iː	iː	Ø	Ø	iː	iː	iː	Ø	iː	i	i	iː	ɨ	u	1431:1	person, human
175-1	c	1	ɨ	i	Ø	iː	i	i	iː	a	Ø	Ø	i	i	i	iː	ɨ	iː	1922:1	this
51-1	c	1	ɛ	a	a	a	iː	iː	a	a	a	iː	ai	ɛ	ɛ	a	ɛː	ɛː	788:1	hand
60-1	c	1	ɛ	a	aː	a	e	iː	a	a	ə	iː	ai	ɛ	ɛ	a	ɛː	ɛː	1111:1	louse
84-1	c	1	ɛ	a	ɔ	a	iː	iː	a	a	ə	iː	a	ɛ	ɛ	a	ɛ	ɛː	1858:1	sun
110-1	c	1	ɛ	a	ɔː	a	iː	iː	a	a	ə	iː	a	ɛ	ɛ	a	ɛː	ɛː	2211:1	you (sg.)
160-1	c	1	ɛ	ia	a	ai	e	iː	Ø	a	i	ia	Ø	ɛ	ɛ	a	Ø	ɛː	891:2	hunt
189-1	c	1	ɛ	a	a	a	ə	Ø	a	iː	iː	Ø	a	ɛ	Ø	Ø	ɛ	u	1322:1	night
277-3	c	3	ə̆	a	uː	ɨː	ə	ə	ɨː	ə	uː	ə	ɨː	ə̆	ə̆	i	ə	ə	631:2, 106:1, 738:1	black / fly / grass / tongue
241-2	c	2	ə̆	u	o	o	əː	əː	o	ə	o	ə	ə	ə̆	ə̆	ə	ə	ə	321:1, 1094:1	dig / long
46-1	c	1	ə̆	ia	a	a	e	aː	ə	a	a	aː	a	ə̆	ə̆	a	ə	ə	737:2	grass
181-1	c	1	ə̆	Ø	a	ia	ə	ə	Ø	Ø	ia	ə	Ø	ə̆	ă	a	ə	ə	287:1	cut
260-1	c	1	ə̆	Ø	ə	Ø	ɔ	ɔ	Ø	Ø	Ø	Ø	Ø	ə̆	Ø	Ø	ə	ə	173:1	breathe
15-1	c	1	ə	eː	əː	ɛː	əː	əː	əː	əː	əː	əː	əː	ə	ə	əː	əː	əː	174:1	breathe
166-1	c	1	ə	eː	ɯ	Ø	əː	əː	Ø	ə	ə	ə	Ø	ə	ə	ə	ə	ə	1323:2	night
208-1	c	1	ə	əː	Ø	əː	Ø	Ø	əː	Ø	Ø	e	əː	ə	ə	Ø	əa	əː	459:1	egg
216-1	c	1	ə	Ø	ɨː	e	əː	Ø	e	Ø	Ø	Ø	e	ə	ə	Ø	ə	ə	1634:1	see
250-1	c	1	ə	Ø	Ø	Ø	əː	əː	Ø	əː	Ø	əː	Ø	a	Ø	əː	e	Ø	824:1	heart
206-4	c	4	ɔ	a	a	ɔ	a	a	ɔ	a	a	ə	ɔ	ɔ	ɔ	a	ɔ	ɔ	1795:1, 105:1, 1596:1, 34:2	ashes / black / salty / stand
231-2	c	2	ɔ	a	ɔ	a	a	a	a	ɔː	a	a	ai	ɔ	ɔ	ɔː	ɔː	ɔː	1738:1, 35:1	ashes / fire / smoke
282-2	c	2	ɔ	o	ɔː	ɔi	Ø	Ø	ɔː	ɔ	Ø	Ø	ɔi	ɔ	ɔ	ɔ	ɔː	o	1563:1, 1720:1	rub hard with both hands / smell
119-1	c	1	ɔ	oː	ɔː	ɔː	ua	Ø	ɔː	ɔː	ɔ	ua	ɔː	ɔ	ɔ	ɔː	ɔː	ɔː	223:1	child
186-1	c	1	ɔ	oː	ia	o	Ø	Ø	ɔː	au	Ø	Ø	ɔ	ɔ	ɔ	ɔː	ɔː	ɔ	1183:1	mountain
235-1	c	1	ɔ	a	ɔː	Ø	Ø	Ø	ɔ	Ø	ɔː	Ø	ɔ	ɔ	ɔ	Ø	ɔ	Ø	921:1	intestines
113-13	c	13	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	k	ŋ	ŋ	ŋ	141:2, 368:2, 541:3, 1795:2, 1998:2, 105:2, 37:2, 1093:2, 1596:2, 2016:2, 1094:2, 1460:2, 1357:2	ashes / black / bone / drink / fat / long / nose / rain / salty / stand / tooth / tree
143-5	c	5	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	485:0, 1738:0, 1858:0, 940:0, 35:0	ashes / eye / fire / kill / smoke / sun
29-1	c	1	ŋ	ŋ	ŋ	ŋ	-	-	ŋ	ŋ	ŋ	-	ŋ	ŋ	k	ŋ	ŋ	ŋ	520:2	far
56-1	c	1	ŋ	ŋ	ŋ	ŋ	k	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	k	ŋ	ŋ	ŋ	872:2	horn
147-1	c	1	ŋ	-	Ø	-	ŋ	ŋ	-	ŋ	Ø	ŋ	-	ŋ	-	ŋ	ŋ	ŋ	1355:2	nose
215-1	c	1	ŋ	ŋ	Ø	Ø	Ø	n	ŋ	Ø	Ø	n	ŋ	ŋ	ŋ	Ø	ŋ	ŋ	1218:0	cloud / nail
236-1	c	1	ŋ	n	n	Ø	Ø	Ø	-	Ø	n	Ø	-	ŋ	ŋ	Ø	ŋ	Ø	921:2	intestines
223-3	c	3	ă	ɔ	a	ɔː	a	a	ɔː	a	a	a	aː	ă	ă	a	a	a	957:1, 1266:1, 342:1	dog / know / near
278-2	c	2	ă	a	a	a	a	a	a	a	ə	a	a	a	a	a	ai	a	36:1, 922:2	ashes / intestines
20-1	c	1	ă	o	a	ɔː	a	a	ɔː	a	a	a	ɔː	ă	ă	ia	a	a	269:1	cold
75-1	c	1	ă	a	ɔː	a	ə	ə	a	a	ɔ	ɨ	a	ă	ă	ɔ	a	a	1737:1	smoke
78-1	c	1	ă	a	ɔ	a	e	e	a	a	ɔ	a	a	a	a	a	a	a	1758:1	snake
81-1	c	1	ă	a	ɛ	a	ai	ai	a	ai	e	ɛ	a	ă	ă	a	ai	e	1777:1	spit
90-1	c	1	ă	a	a	a	a	a	aː	a	ɛ	a	a	ă	ă	a	a	a	1966:1	tongue
109-1	c	1	ă	a	ɔ	a	ə	ə	a	a	a	ə	a	ə̆	ă	a	ə	ə	2179:1	year
118-1	c	1	ă	a	ɛ	a	ai	a	a	ai	e	ɛ	a	ă	ă	Ø	ai	a	17:1	abdomen
121-1	c	1	ă	ɔː	a	ɔː	a	a	ɔ	aː	a	Ø	ɔ	ă	ă	a	a	a	304:1	die
126-1	c	1	ă	a	a	a	a	a	a	a	ɛ	Ø	a	ă	ă	a	a	a	1027:1	left side
149-1	c	1	ă	ɔ	a	ɔː	Ø	Ø	ɔː	a	ɛ	o	ɔ	ă	ă	a	a	a	1391:1	old-aged
200-1	c	1	ă	a	a	Ø	e	e	Ø	Ø	a	ɛ	Ø	ă	ă	Ø	a	ɛ	1813:1	star
339-3	c	3	Ø	ɔ	ɔː	ɔ	uː	o	ɔ	ɔ	ɔi	u	ɔ	Ø	ɛ	u	Ø	ɔ	826:1, 893:2, 1460:1	heart / hunt / rain
283-2	c	2	Ø	aː	a	a	a	a	a	a	a	a	a	Ø	-	a	Ø	Ø	1152:2, 1325:1	moon / night
296-2	c	2	Ø	dʑ	Ø	Ø	dʑ	dʑ	Ø	dʑ	dʑ	dʑ	Ø	c	c	dʑ	Ø	Ø	559:0, 1635:0	fear / see
298-2	c	2	Ø	h	j	h	Ø	Ø	h	h	h	Ø	h	Ø	Ø	j	Ø	x	826:2, 175:2	breathe / heart
316-2	c	2	Ø	-	Ø	a	-	Ø	ə	-	-	-	a	a	a	-	a	ɨ	559:3, 1968:1	fear / tongue
318-2	c	2	Ø	Ø	Ø	Ø	aː	aː	Ø	ia	Ø	aː	a	Ø	-	ia	Ø	Ø	1617:2, 521:1	far / scratch
320-2	c	2	Ø	m	m	m	-	Ø	m	Ø	m	m	Ø	Ø	Ø	m	Ø	ʔ	1597:2, 1135:4	many / salty
321-2	c	2	Ø	o	o	u	o	o	ɔ	o	u	o	u	Ø	Ø	o	Ø	Ø	341:1, 1357:1	dog / nose
328-2	c	2	Ø	Ø	aː	ɔ	a	a	a	a	ɛː	a	a	Ø	Ø	a	Ø	-	461:2, 1267:1	egg / near
180-1	c	1	Ø	f	f	f	f	f	f	f	f	f	f	Ø	Ø	f	Ø	f	37:0	ashes
193-1	c	1	Ø	-	b	p	b	p	p	b	b	b	p	Ø	Ø	b	Ø	Ø	1152:0	moon
194-1	c	1	Ø	l	l	-	-	-	-	l	l	l	-	Ø	Ø	l	Ø	Ø	1152:1	moon
195-1	c	1	Ø	w	ŋ	-	ŋ	ŋ	-	ŋ	ŋ	ŋ	-	Ø	Ø	ŋ	Ø	Ø	1152:3	moon
209-1	c	1	Ø	b	Ø	p	b	b	Ø	b	b	b	p	Ø	Ø	b	Ø	b	486:0	eye / heart
210-1	c	1	Ø	l	Ø	-	l	l	Ø	l	l	l	-	Ø	Ø	l	Ø	l	486:1	eye / heart
211-1	c	1	Ø	ɔː	Ø	o	ei	ei	Ø	eː	i	e	o	Ø	Ø	eː	Ø	ei	486:2	eye / heart
212-1	c	1	Ø	j	Ø	ŋ	-	-	Ø	-	-	-	ŋ	Ø	Ø	-	Ø	-	486:3	eye / heart
217-1	c	1	Ø	ʔ	h	Ø	ʔ	ʔ	ʔ	ʔ	ʔ	h	ʔ	Ø	Ø	Ø	Ø	ʔ	1923:0	this
218-1	c	1	Ø	-	ʔ	Ø	-	-	-	-	-	-	-	Ø	Ø	Ø	Ø	-	1923:2	this
219-1	c	1	Ø	-	ɨ	Ø	-	-	-	-	-	-	-	Ø	Ø	Ø	Ø	-	1923:3	this
237-1	c	1	Ø	d	d	Ø	d	d	Ø	t	d	d	Ø	Ø	Ø	d̤	Ø	t	1266:0	near
238-1	c	1	Ø	ʔ	t	Ø	t	t	Ø	ʔ	t	ʔ	Ø	Ø	Ø	t	Ø	t	1266:2	near
248-1	c	1	Ø	a	Ø	Ø	oː	Ø	Ø	ɔː	oː	ɔː	Ø	u	u	oː	Ø	Ø	559:1	fear
251-1	c	1	Ø	ɔ	i	ɔː	e	Ø	Ø	e	iː	Ø	ɔ	Ø	Ø	Ø	Ø	e	1538:1	root
252-1	c	1	Ø	Ø	Ø	t	ɗ	ɗ	t	d	Ø	ɗ	t	Ø	Ø	Ø	Ø	d	2016:0	tree
261-1	c	1	Ø	Ø	-	ŋ	n	Ø	Ø	-	-	-	Ø	Ø	Ø	-	Ø	Ø	243:2	cloud / nail
262-1	c	1	Ø	Ø	g	Ø	k	k	Ø	kʰ	g	k	Ø	Ø	Ø	g	Ø	Ø	461:0	egg
263-1	c	1	Ø	Ø	r	Ø	-	-	Ø	-	l	-	Ø	Ø	Ø	l	Ø	Ø	461:1	egg
264-1	c	1	Ø	Ø	w	Ø	-	-	Ø	j	w	-	Ø	Ø	Ø	w	Ø	Ø	461:3	egg
265-1	c	1	Ø	ə	Ø	Ø	ua	Ø	ɛː	Ø	i	Ø	Ø	ɛ	ɛ	Ø	Ø	ɨ	892:1	hunt
269-1	c	1	Ø	tɕ	tɕ	tɕ	Ø	Ø	tɕ	Ø	Ø	tɕ	Ø	Ø	Ø	j	Ø	s	1597:0	salty
270-1	c	1	Ø	eː	eː	ɛː	Ø	Ø	eː	Ø	Ø	ɛː	Ø	Ø	Ø	ɛː	Ø	ɛ	1597:1	salty
284-1	c	1	Ø	d	Ø	t	Ø	Ø	t	l	Ø	Ø	t	Ø	Ø	tʰ	Ø	Ø	175:0	breathe
285-1	c	1	Ø	o	Ø	o	Ø	Ø	o	e	Ø	Ø	o	Ø	Ø	u	Ø	Ø	175:1	breathe
286-1	c	1	Ø	Ø	Ø	Ø	j	j	Ø	-	Ø	-	-	Ø	Ø	-	Ø	Ø	1617:3	scratch
287-1	c	1	Ø	Ø	Ø	Ø	ʔ	ʔ	Ø	ʔ	Ø	ʔ	-	Ø	Ø	h	Ø	Ø	1617:4	scratch
288-1	c	1	Ø	Ø	Ø	Ø	m	m	Ø	m	Ø	m	Ø	Ø	Ø	m	Ø	k	1672:0	sit
289-1	c	1	Ø	Ø	Ø	Ø	ʔ	ʔ	Ø	ŋ	Ø	ʔ	Ø	Ø	Ø	ŋ	Ø	j	1672:2	sit
290-1	c	1	Ø	Ø	u	Ø	i	-	-	Ø	Ø	i	-	Ø	Ø	Ø	Ø	Ø	2129:1	who?
291-1	c	1	Ø	Ø	-	Ø	m	-	d	Ø	Ø	m	-	Ø	Ø	Ø	Ø	Ø	2129:2	who?
292-1	c	1	Ø	Ø	-	Ø	ɔ	ɔ	ə	Ø	Ø	ə	əː	Ø	Ø	Ø	Ø	Ø	2129:3	who?
305-1	c	1	Ø	Ø	Ø	Ø	-	ŋ	-	-	Ø	j	Ø	Ø	Ø	Ø	Ø	Ø	387:2	ear
306-1	c	1	Ø	Ø	k	Ø	Ø	k	Ø	kʰ	Ø	Ø	Ø	Ø	kʰ	k	Ø	Ø	893:0	hunt
307-1	c	1	Ø	Ø	l	Ø	Ø	-	Ø	r	Ø	Ø	Ø	Ø	-	-	Ø	Ø	893:1	hunt
308-1	c	1	Ø	Ø	-	Ø	Ø	h	Ø	h	Ø	Ø	Ø	Ø	-	h	Ø	Ø	893:3	hunt
309-1	c	1	Ø	Ø	iː	ɔː	Ø	eː	ɔː	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1005:1	leaf
310-1	c	1	Ø	Ø	Ø	tɕ	Ø	Ø	tɕ	Ø	Ø	t	tɕ	Ø	Ø	Ø	Ø	-	1267:0	near
311-1	c	1	Ø	Ø	Ø	m	Ø	Ø	m	Ø	Ø	-	m	Ø	Ø	Ø	Ø	m	1267:2	near
312-1	c	1	Ø	eː	Ø	Ø	Ø	əː	Ø	əː	ɨː	Ø	Ø	Ø	Ø	ə	Ø	Ø	1635:1	see
313-1	c	1	Ø	-	Ø	Ø	Ø	-	Ø	-	-	Ø	Ø	Ø	Ø	ɯ	Ø	Ø	1635:3	see
314-1	c	1	Ø	Ø	Ø	Ø	ɨ	uə	Ø	i	Ø	i	Ø	Ø	Ø	ɔː	Ø	Ø	1722:2	smell
324-1	c	1	Ø	Ø	Ø	Ø	j	j	Ø	Ø	Ø	j	Ø	Ø	-	Ø	Ø	Ø	521:2	far
325-1	c	1	Ø	Ø	Ø	Ø	r̥	r	Ø	Ø	l	r	Ø	Ø	Ø	Ø	Ø	Ø	1185:2	mountain
326-1	c	1	Ø	Ø	Ø	ɛ	Ø	Ø	ə	Ø	Ø	Ø	ə	Ø	Ø	i	Ø	Ø	1324:1	night
327-1	c	1	Ø	Ø	Ø	tʰ	tʰ	d	Ø	Ø	tʰ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1566:0	rub hard with both hands
330-1	c	1	Ø	Ø	Ø	Ø	ɗ	ɗ	Ø	Ø	Ø	d	Ø	Ø	Ø	Ø	Ø	Ø	462:0	egg
331-1	c	1	Ø	Ø	Ø	Ø	ɓ	p	Ø	Ø	Ø	b	Ø	Ø	Ø	Ø	Ø	Ø	941:0	kill
332-1	c	1	Ø	Ø	Ø	Ø	l̥	l̥	Ø	Ø	Ø	r̥	Ø	Ø	Ø	Ø	Ø	Ø	1094:0	long
333-1	c	1	Ø	Ø	Ø	Ø	Ø	l	Ø	Ø	Ø	r	Ø	Ø	-	Ø	Ø	Ø	1325:0	night
337-1	c	1	Ø	Ø	Ø	Ø	ɓ	ɓ	Ø	Ø	Ø	b	Ø	Ø	Ø	Ø	Ø	Ø	1432:0	person, human
338-1	c	1	Ø	Ø	Ø	Ø	i	iː	Ø	Ø	Ø	iː	Ø	Ø	Ø	Ø	Ø	Ø	1432:1	person, human
83-1	c	1	w	w	w	w	w	w	w	w	w	-	w	w	w	w	w	w	1840:2	stone
204-3	c	3	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	17:0, 105:0, 922:1	abdomen / black / intestines
36-1	c	1	ua	oː	ɔ	oː	oː	o	oː	ɔː	o	o	o	ua	ua	ua	au	ua	665:1	four
275-3	c	3	u	u	u	u	u	u	u	u	u	u	u	u	u	u	u	u	1356:1, 1721:1, 1565:1	nose / rub hard with both hands / smell
247-2	c	2	u	uː	uː	uː	uː	uː	uː	uː	u	u	uː	u	u	uː	ui	uː	1411:1, 1669:1	one / sit
256-2	c	2	u	a	Ø	a	ɔ	ɔ	a	ɔ	Ø	ɔ	a	o	u	ɔ	u	u	1355:1, 1029:1	left side / nose / right side
299-2	c	2	u	u	u	a	u	o	a	u	u	u	a	u	Ø	u	u	Ø	1292:1, 1185:1	mountain / new / person, human
18-1	c	1	u	uː	uː	uː	uː	uː	u	u	uː	uː	uː	u	u	uː	u	u	241:1	cloud
72-1	c	1	u	uː	u	uː	uː	u	uː	u	u	u	uː	u	u	uː	uː	uː	1686:1	skin
101-1	c	1	u	ɨ	ɔ	u	ɔ	ɔː	uː	uː	ɔ	ɔ	u	u	u	uː	uː	uː	2109:2	white
106-1	c	1	u	uː	uː	uː	uː	uː	uː	uː	uː	uː	uː	u	u	uː	uː	uː	2161:1	wind
178-3	c	3	t	t	ʔ	t	c	c	t	ʔ	ʔ	ʔ	t	c	t	ʔ	c	c	1777:2, 17:2, 922:3	abdomen / intestines / spit
222-2	c	2	t	ʔ	t	ʔ	ʔ	t	ʔ	t	t	ʔ	ʔ	ʔ	ʔ	t	ʔ	ʔ	1703:2, 1722:3	sleep / smell
225-2	c	2	t	k	t	ʔ	t	t	ʔ	ʔ	t	t	ʔ	t	t	ʔ	t	t	269:2, 1669:0	cold / sit
226-2	c	2	t	d	d	d	s	s	d	t	d	s	d	t	t	d	t	t	520:0, 1357:0	far / nose
229-2	c	2	t	ʔ	ʔ	ʔ	r̥	r̥	ʔ	ʔ	ʔ	ʔ	ʔ	c	c	ʔ	c	ʔ	1201:2, 1669:2	mouth / sit
42-1	c	1	t	d	d	d	d	d	d	t	d	d	d	t	t	d	t	t	720:0	give
47-1	c	1	t	-	j	t	j	n	t	j	j	n	t	t	t	j	t	t	737:3	grass
135-1	c	1	t	d	d	d	dʱ	d	d	t	Ø	d	d	t	t	t	t	t	1508:0	road, path
150-1	c	1	t	ʔ	t	ʔ	Ø	Ø	ʔ	ʔ	t	n	ʔ	t	t	t	t	t	1391:2	old-aged
184-1	c	1	t	d	d	d	Ø	Ø	d	t	d	Ø	d	t	t	dʱ	t	Ø	1093:0	long
233-4	c	4	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	68:0, 1596:0, 340:0, 1968:0	bird / dog / salty / tongue
179-3	c	3	s	s	s	s	s	s	s	s	s	s	ʨʰ	s	s	s	s	s	2076:0, 2128:0, 1185:0	mountain / what? / who?
12-2	c	2	s	kʰ	s	s	s	s	s	s	s	s	s	s	s	s	s	s	2178:0, 1857:0	sun / year
257-2	c	2	s	s	s	tʰ	tʰ	d	tʰ	s	ɗ	s	tʰ	s	s	s	s	s	1562:0, 1565:0	rub hard with both hands
59-1	c	1	s	s	s	s	s	s	s	s	k	s	s	s	s	s	s	s	1111:0	louse
86-1	c	1	s	ɗ	d	s	s	s	s	s	ɗ	ɗ	t	s	s	s	s	d	1889:0	tail
199-1	c	1	s	kʰ	s	Ø	s	s	Ø	Ø	k	s	Ø	s	s	Ø	s	s	1812:0	star
91-1	c	1	r̥	x	ʂ	sʲ	r̥	r̥	x	r̥	r̥	r̥	x	r̥	r̥	r̥	r̥	r̥	1998:0	tooth
301-6	c	6	r	-	r	-	r	r	-	r	r	r	-	r	r	r	r	r	541:1, 1617:1, 1722:1, 34:1, 1135:2, 738:2	ashes / fat / grass / many / scratch / smell / tongue
68-1	c	1	r	ɣ	r	ʐ	r	r	ɣ	r	r	r	r	r	r	r	r	r	1537:0	root
159-1	c	1	r	-	r	-	r	r	Ø	r	r	-	Ø	r	r	r	Ø	r	891:1	hunt
267-1	c	1	r	Ø	Ø	t	Ø	Ø	-	Ø	Ø	Ø	-	r	r	Ø	r	Ø	1264:1	near
3-2	c	2	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	174:0, 665:0	breathe / four
44-1	c	1	p	b	ɓ	b	b	b	b	p	p	b	b	p	p	p	p	p	737:0	grass
57-1	c	1	p	ʔ	p	ʔ	p	p	ʔ	ʔ	p	p	-	p	p	p	p	p	957:2	know
80-1	c	1	p	b	b	b	b	b	b	p	p	b	b	p	p	p	p	p	1777:0	spit
158-1	c	1	p	b	b	p	b	p	Ø	p	-	b	Ø	p	p	p	Ø	p	891:0	hunt
182-1	c	1	p	Ø	p	p	p	p	Ø	Ø	p	p	Ø	p	p	p	p	p	287:2	cut
207-1	c	1	p	b	Ø	b	Ø	Ø	b	Ø	Ø	ɓ	b	p	p	Ø	p	p	459:0	egg
17-1	c	1	ou	o	o	o	uː	uː	o	o	o	u	o	ou	ou	ɔ	ou	ou	206:1	burn
31-1	c	1	ou	o	o	o	o	o	o	o	o	o	o	ou	ou	o	ou	o	614:1	flower
40-1	c	1	ou	o	o	o	au	o	o	o	o	ɔ	o	ou	ou	o	ou	ou	703:1	full
122-1	c	1	ou	ɔ	ɔ	o	ɔ	o	o	ɔ	ɔ	ɔ	o	o	ou	o	ou	Ø	504:1	fall, to drop
154-1	c	1	ou	o	o	o	Ø	Ø	o	o	Ø	ɔː	o	ou	ou	o	a	au	386:1	ear
197-1	c	1	ou	o	o	o	Ø	Ø	o	Ø	o	Ø	aː	ou	ou	Ø	ou	ou	1616:1	scratch
151-2	c	2	o	o	o	o	a	a	o	o	o	a	o	o	o	o	o	o	520:1, 1093:1	far / long
319-2	c	2	o	Ø	Ø	a	a	a	a	ɛː	Ø	a	o	o	o	Ø	o	o	340:1, 387:1	dog / ear
322-2	c	2	o	Ø	oː	a	ɔ	o	a	ɔ	Ø	ɔ	a	Ø	Ø	ɔ	o	ɔ	558:1, 1672:1	fear / sit
27-1	c	1	o	oː	oː	oː	ɔ	ɔː	o	ɔː	ɔː	ɔː	oː	o	o	ɔː	oː	oː	442:1	eat
65-1	c	1	o	oi	oi	oi	u	u	oi	ua	oi	oː	oi	o	o	ua	oː	oi	1201:1	mouth
88-1	c	1	o	oː	o	oː	ua	ua	oː	ua	o	ua	o	o	o	ua	oː	oː	1948:1	three
116-1	c	1	o	a	oː	a	ɔː	oː	a	ɔː	oː	ɔː	a	o	o	Ø	o	o	1:1	I
131-1	c	1	o	oː	ɔː	ɔː	oː	oː	ɔː	ɔː	ɔː	ɔː	Ø	o	o	ɔː	oː	oː	1063:1	liver
14-1	c	1	n̥	n̥	n̥	n̥	n̥	n̥	n̥	n̥	n̥	n̥	n̥	n̥	n̥	n̥	n̥	n̥	123:0	blood
8-11	c	11	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	703:0, 855:2, 872:0, 957:0, 2179:0, 223:2, 1922:0, 1507:0, 826:0, 1477:0, 1029:2	child / full / heart / heavy / horn / know / left side / right side / road, path / this / year
228-2	c	2	n	n	r	-	-	-	-	-	r	r	-	n	n	n	n	n	1151:3, 460:2	egg / moon
