ID	STRUCTURE	FREQUENCY	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang	COGNATESETS	CONCEPTS
7-17	c	17	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	141:0, 241:0, 1703:0, 1948:0, 1966:2, 2058:0, 1:0, 1476:2, 385:0, 1478:0, 341:0, 341:2, 342:0, 1720:3, 460:0, 1670:0, 1721:0	I / bone / cloud / dog / ear / egg / left side / right side / sit / sleep / smell / three / tongue / water / who?
145-2	c	2	ʔ	k	ʔ	k	ʔ	ʔ	k	k	ʔ	ʔ	k	ʔ	ʔ	k	ʔ	ʔ	88:2, 386:4	bite / ear
224-2	c	2	ʔ	k	ʔ	k	ʔ	t	k	k	ʔ	ʔ	k	ʔ	ʔ	k	ʔ	ʔ	206:2, 1566:2	burn / rub hard with both hands
255-2	c	2	ʔ	ʔ	ʔ	ʔ	r	Ø	ʔ	ʔ	ʔ	r	ʔ	ʔ	ʔ	ʔ	v	ʔ	1431:0, 243:0	cloud / nail / person, human
19-1	c	1	ʔ	ʔ	t	ʔ	ʔ	t	ʔ	t	t	t	ʔ	-	ʔ	t	ʔ	ʔ	241:2	cloud
41-1	c	1	ʔ	k	k	k	ʔ	ʔ	k	k	ʔ	ʔ	k	ʔ	ʔ	ʔ	ʔ	ʔ	703:2	full
94-1	c	1	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	h	ʔ	ʔ	ʔ	2040:0	two
127-1	c	1	ʔ	ʔ	ʔ	ʔ	-	-	ʔ	ʔ	ʔ	Ø	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	1027:2	left side
133-1	c	1	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	l	ʔ	ʔ	ʔ	ʔ	ʔ	Ø	ʔ	1411:0	one
198-1	c	1	ʔ	k	ʔ	k	Ø	Ø	k	Ø	ʔ	Ø	n	ʔ	ʔ	Ø	ʔ	ʔ	1616:2	scratch
239-1	c	1	ʔ	ʔ	t	Ø	Ø	Ø	Ø	ʔ	Ø	Ø	Ø	-	ʔ	t	ʔ	ʔ	1563:2	rub hard with both hands
