ID	CONCEPT	DOCULECT	VALUE	FORM	TOKENS	GLOTTOLOG	COG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT
1555	I	NamHsan	Ɂɔː	Ɂɔː	ʔ ɔː		1-99	1 7	AX	HU	10	10.H.C 10.U.V	2.0 1.5	ʔɔː	0	1	ʔ ɔː - -
1556	I	KhunHawt	Ɂoː	Ɂoː	ʔ oː		1-99	1 7	AX	HU	6	6.H.C 6.U.V	2.0 1.5	ʔoː	0	1	ʔ oː - -
1557	I	HtanHsan	Ɂɔː	Ɂɔː	ʔ ɔː		1-99	1 7	AX	HU	5	5.H.C 5.U.V	2.0 1.5	ʔɔː	0	1	ʔ ɔː - -
1558	I	ManLoi	Ɂɔː	Ɂɔː	ʔ ɔː		1-99	1 7	AX	HU	8	8.H.C 8.U.V	2.0 1.5	ʔɔː	0	1	ʔ ɔː - -
1559	I	MengDan	ʔoː	ʔoː	ʔ oː	khan1274	1-99	1 7	AX	HU	9	9.H.C 9.U.V	2.0 1.5	ʔoː	0	1	ʔ oː - -
1560	I	ChuDongGua	ʔoː	ʔoː	ʔ oː		1-99	1 7	AX	HU	3	3.H.C 3.U.V	2.0 1.5	ʔoː	0	1	ʔ oː - -
1561	I	XiangZhaiTang	Ɂow	Ɂow	ʔ o w	ruma1248	2-99	1 7 6	AXN	HUW	16	16.H.C 16.U.V 16.W.c	2.0 1.5 0.8	ʔow	0	1	ʔ o - w
1562	I	PongNuea	Ɂow	Ɂow	ʔ o w		2-99	1 7 6	AXN	HUW	15	15.H.C 15.U.V 15.W.c	2.0 1.5 0.8	ʔow	0	1	ʔ o - w
1563	I	NyaungGone	ʔo	ʔo	ʔ o		1-99	1 7	AX	HU	13	13.H.C 13.U.V	2.0 1.5	ʔo	0	1	ʔ o - -
1564	I	NoeLae	Ɂo	Ɂo	ʔ o		1-99	1 7	AX	HU	12	12.H.C 12.U.V	2.0 1.5	ʔo	0	1	ʔ o - -
1565	I	BanPaw	Ɂo	Ɂo	ʔ o		1-99	1 7	AX	HU	1	1.H.C 1.U.V	2.0 1.5	ʔo	0	1	ʔ o - -
1566	I	ChaYeQing	Ɂaw	Ɂaw	ʔ a w		2-99	1 7 6	AXN	HAW	2	2.H.C 2.A.V 2.W.c	2.0 1.5 0.8	ʔaw	0	1	ʔ a - w
1567	I	GuangKa	Ɂau	Ɂau	ʔ a u	ruma1248	2-99	1 7 7	AXZ	HAY	4	4.H.C 4.A.V 4.Y.V	2.0 1.5 0.8	ʔau	0	1	ʔ a u -
1568	I	MangBang	Ɂaw	Ɂaw	ʔ a w	ruma1248	2-99	1 7 6	AXN	HAW	7	7.H.C 7.A.V 7.W.c	2.0 1.5 0.8	ʔaw	0	1	ʔ a - w
1569	I	NanSang	Ɂaw	Ɂaw	ʔ a w	ruma1248	2-99	1 7 6	AXN	HAW	11	11.H.C 11.A.V 11.W.c	2.0 1.5 0.8	ʔaw	0	1	ʔ a - w
593	abdomen	NamHsan	vɛɁ	vɛɁ	v ɛ ʔ		1-38	3 7 1	AXN	BEH	10	10.B.C 10.E.V 10.H.c	2.0 1.5 0.8	vɛʔ	0	17	v ɛ ʔ
594	abdomen	KhunHawt	vac	vac	v a c		1-38	3 7 1	AXN	BAC	6	6.B.C 6.A.V 6.C.c	2.0 1.5 0.8	vac	0	17	v a c
595	abdomen	HtanHsan	vaic	vaic	v ai c		1-38	3 7 1	AXN	BAC	5	5.B.C 5.A.V 5.C.c	2.0 1.5 0.8	vaic	0	17	v ai c
596	abdomen	PangKham	waɁ	waɁ	w a ʔ		1-38	6 7 1	AXN	WAH	14	14.W.C 14.A.V 14.H.c	2.0 1.5 0.8	waʔ	0	18	w a ʔ
597	abdomen	ManLoi	vaiɁ	vaiɁ	v ai ʔ		1-38	3 7 1	AXN	BAH	8	8.B.C 8.A.V 8.H.c	2.0 1.5 0.8	vaiʔ	0	17	v ai ʔ
598	abdomen	MengDan	veʔ	veʔ	v e ʔ	khan1274	1-38	3 7 1	AXN	BEH	9	9.B.C 9.E.V 9.H.c	2.0 1.5 0.8	veʔ	0	17	v e ʔ
599	abdomen	ChuDongGua	vɛʔ	vɛʔ	v ɛ ʔ		1-38	3 7 1	AXN	BEH	3	3.B.C 3.E.V 3.H.c	2.0 1.5 0.8	vɛʔ	0	17	v ɛ ʔ
600	abdomen	XiangZhaiTang	vac	vac	v a c	ruma1248	1-38	3 7 1	AXN	BAC	16	16.B.C 16.A.V 16.C.c	2.0 1.5 0.8	vac	0	17	v a c
601	abdomen	PongNuea	vaic	vaic	v ai c		1-38	3 7 1	AXN	BAC	15	15.B.C 15.A.V 15.C.c	2.0 1.5 0.8	vaic	0	17	v ai c
602	abdomen	NyaungGone	văt	văt	v ă t		1-38	3 7 1	AXN	BAT	13	13.B.C 13.A.V 13.T.c	2.0 1.5 0.8	văt	0	17	v ă t
603	abdomen	NoeLae	văc	văc	v ă c		1-38	3 7 1	AXN	BAC	12	12.B.C 12.A.V 12.C.c	2.0 1.5 0.8	văc	0	17	v ă c
604	abdomen	BanPaw	văt	văt	v ă t		1-38	3 7 1	AXN	BAT	1	1.B.C 1.A.V 1.T.c	2.0 1.5 0.8	văt	0	17	v ă t
605	abdomen	ChaYeQing	vat	vat	v a t		1-38	3 7 1	AXN	BAT	2	2.B.C 2.A.V 2.T.c	2.0 1.5 0.8	vat	0	17	v a t
606	abdomen	GuangKa	vat	vat	v a t	ruma1248	1-38	3 7 1	AXN	BAT	4	4.B.C 4.A.V 4.T.c	2.0 1.5 0.8	vat	0	17	v a t
607	abdomen	MangBang	vat	vat	v a t	ruma1248	1-38	3 7 1	AXN	BAT	7	7.B.C 7.A.V 7.T.c	2.0 1.5 0.8	vat	0	17	v a t
608	abdomen	NanSang	vat	vat	v a t	ruma1248	1-38	3 7 1	AXN	BAT	11	11.B.C 11.A.V 11.T.c	2.0 1.5 0.8	vat	0	17	v a t
854	ashes	NamHsan	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	10	10.K.C 10.A.V 10._._ 10.B.C 10.A.V 10.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	36 37	k a + f aː ŋ
855	ashes	KhunHawt	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	6	6.K.C 6.A.V 6._._ 6.B.C 6.A.V 6.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	36 37	k a + f aː ŋ
856	ashes	HtanHsan	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	5	5.K.C 5.A.V 5._._ 5.B.C 5.A.V 5.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	36 37	k a + f aː ŋ
857	ashes	PangKham	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	14	14.K.C 14.A.V 14._._ 14.B.C 14.A.V 14.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	36 37	k a + f aː ŋ
