ID	CONCEPT	DOCULECT	VALUE	FORM	TOKENS	GLOTTOLOG	COG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT	CROSSIDS	STRUCTURE	PATTERNS
604	abdomen	BanPaw	văt	văt	v ă t		1-38	3 7 1	AXN	BAT	1	1.B.C 1.A.V 1.T.c	2.0 1.5 0.8	văt	0	17	v ă t	17	c c c	226-3/v 123-1/ă 190-3/t
605	abdomen	ChaYeQing	vat	vat	v a t		1-38	3 7 1	AXN	BAT	2	2.B.C 2.A.V 2.T.c	2.0 1.5 0.8	vat	0	17	v a t	17	c c c	226-3/v 123-1/ă 190-3/t
606	abdomen	GuangKa	vat	vat	v a t	ruma1248	1-38	3 7 1	AXN	BAT	4	4.B.C 4.A.V 4.T.c	2.0 1.5 0.8	vat	0	17	v a t	17	c c c	226-3/v 123-1/ă 190-3/t
607	abdomen	MangBang	vat	vat	v a t	ruma1248	1-38	3 7 1	AXN	BAT	7	7.B.C 7.A.V 7.T.c	2.0 1.5 0.8	vat	0	17	v a t	17	c c c	226-3/v 123-1/ă 190-3/t
608	abdomen	NanSang	vat	vat	v a t	ruma1248	1-38	3 7 1	AXN	BAT	11	11.B.C 11.A.V 11.T.c	2.0 1.5 0.8	vat	0	17	v a t	17	c c c	226-3/v 123-1/ă 190-3/t
854	ashes	NamHsan	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	10	10.K.C 10.A.V 10._._ 10.B.C 10.A.V 10.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	36 37	k - - a - + f aː ŋ	1256 37	c c + c c c	65-1/kʰ 66-1/r 67-1/i 265-4/a 68-1/ʔ + 192-1/Ø 153-5/a 5-11/ŋ
855	ashes	KhunHawt	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	6	6.K.C 6.A.V 6._._ 6.B.C 6.A.V 6.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	36 37	k - - a - + f aː ŋ	1256 37	c c + c c c	65-1/kʰ 66-1/r 67-1/i 265-4/a 68-1/ʔ + 192-1/Ø 153-5/a 5-11/ŋ
856	ashes	HtanHsan	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	5	5.K.C 5.A.V 5._._ 5.B.C 5.A.V 5.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	36 37	k - - a - + f aː ŋ	1256 37	c c + c c c	65-1/kʰ 66-1/r 67-1/i 265-4/a 68-1/ʔ + 192-1/Ø 153-5/a 5-11/ŋ
857	ashes	PangKham	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	14	14.K.C 14.A.V 14._._ 14.B.C 14.A.V 14.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	36 37	k - - a - + f aː ŋ	1256 37	c c + c c c	65-1/kʰ 66-1/r 67-1/i 265-4/a 68-1/ʔ + 192-1/Ø 153-5/a 5-11/ŋ
858	ashes	ManLoi	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	8	8.K.C 8.A.V 8._._ 8.B.C 8.A.V 8.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	36 37	k - - a - + f aː ŋ	1256 37	c c + c c c	65-1/kʰ 66-1/r 67-1/i 265-4/a 68-1/ʔ + 192-1/Ø 153-5/a 5-11/ŋ
859	ashes	MengDan	kəfɛːŋ	kəfɛːŋ	k ə + f ɛː ŋ	khan1274	1-55	1 7 9 3 7 4	AX_AXN	KE_BEN	9	9.K.C 9.E.V 9._._ 9.B.C 9.E.V 9.N.c	2.0 1.5 0.0 2.0 1.5 0.8	kə+fɛːŋ	0	36 37	k - - ə - + f ɛː ŋ	1256 37	c c + c c c	65-1/kʰ 66-1/r 67-1/i 265-4/a 68-1/ʔ + 192-1/Ø 153-5/a 5-11/ŋ
860	ashes	ChuDongGua	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	3	3.K.C 3.A.V 3._._ 3.B.C 3.A.V 3.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	36 37	k - - a - + f aː ŋ	1256 37	c c + c c c	65-1/kʰ 66-1/r 67-1/i 265-4/a 68-1/ʔ + 192-1/Ø 153-5/a 5-11/ŋ
861	ashes	XiangZhaiTang	kafaːŋ	kafaːŋ	k a + f aː ŋ	ruma1248	1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	16	16.K.C 16.A.V 16._._ 16.B.C 16.A.V 16.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	36 37	k - - a - + f aː ŋ	1256 37	c c + c c c	65-1/kʰ 66-1/r 67-1/i 265-4/a 68-1/ʔ + 192-1/Ø 153-5/a 5-11/ŋ
862	ashes	PongNuea	brɔŋɔː	brɔŋɔː	b r ɔ + ŋ ɔː		2-55	1 5 7 9 4 7	ACX_AX	PRU_NU	15	15.P.C 15.R.C 15.U.V 15._._ 15.N.C 15.U.V	2.0 1.5 1.5 0.0 2.0 1.5	brɔ+ŋɔː	0	34 35	b r ɔ + ŋ ɔː	34 35	c c c + c c	253-2/b 321-5/r 230-4/ɔ + 164-6/ŋ 257-2/ɔ
863	ashes	NyaungGone	brɔ ŋɔ	brɔ ŋɔ	b r ɔ + ŋ ɔ		2-55	1 5 7 9 4 7	ACX_AX	PRU_NU	13	13.P.C 13.R.C 13.U.V 13._._ 13.N.C 13.U.V	2.0 1.5 1.5 0.0 2.0 1.5	brɔ+ŋɔ	0	34 35	b r ɔ + ŋ ɔ	34 35	c c c + c c	253-2/b 321-5/r 230-4/ɔ + 164-6/ŋ 257-2/ɔ
864	ashes	NoeLae	brɔ ŋɔ	brɔ ŋɔ	b r ɔ + ŋ ɔ		2-55	1 5 7 9 4 7	ACX_AX	PRU_NU	12	12.P.C 12.R.C 12.U.V 12._._ 12.N.C 12.U.V	2.0 1.5 1.5 0.0 2.0 1.5	brɔ+ŋɔ	0	34 35	b r ɔ + ŋ ɔ	34 35	c c c + c c	253-2/b 321-5/r 230-4/ɔ + 164-6/ŋ 257-2/ɔ
865	ashes	BanPaw	brɔ ŋɔ	brɔ ŋɔ	b r ɔ + ŋ ɔ		2-55	1 5 7 9 4 7	ACX_AX	PRU_NU	1	1.P.C 1.R.C 1.U.V 1._._ 1.N.C 1.U.V	2.0 1.5 1.5 0.0 2.0 1.5	brɔ+ŋɔ	0	34 35	b r ɔ + ŋ ɔ	34 35	c c c + c c	253-2/b 321-5/r 230-4/ɔ + 164-6/ŋ 257-2/ɔ
866	ashes	ChaYeQing	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	2	2.K.C 2.A.V 2._._ 2.B.C 2.A.V 2.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	36 37	k - - a - + f aː ŋ	1256 37	c c + c c c	65-1/kʰ 66-1/r 67-1/i 265-4/a 68-1/ʔ + 192-1/Ø 153-5/a 5-11/ŋ
867	ashes	GuangKa	kafaːŋ	kafaːŋ	k a + f aː ŋ	ruma1248	1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	4	4.K.C 4.A.V 4._._ 4.B.C 4.A.V 4.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	36 37	k - - a - + f aː ŋ	1256 37	c c + c c c	65-1/kʰ 66-1/r 67-1/i 265-4/a 68-1/ʔ + 192-1/Ø 153-5/a 5-11/ŋ
868	ashes	MangBang	kafaːŋ	kafaːŋ	k a + f aː ŋ	ruma1248	1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	7	7.K.C 7.A.V 7._._ 7.B.C 7.A.V 7.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	36 37	k - - a - + f aː ŋ	1256 37	c c + c c c	65-1/kʰ 66-1/r 67-1/i 265-4/a 68-1/ʔ + 192-1/Ø 153-5/a 5-11/ŋ
869	ashes	NanSang	kafaːŋ	kafaːŋ	k a + f aː ŋ	ruma1248	1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	11	11.K.C 11.A.V 11._._ 11.B.C 11.A.V 11.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	36 37	k - - a - + f aː ŋ	1256 37	c c + c c c	65-1/kʰ 66-1/r 67-1/i 265-4/a 68-1/ʔ + 192-1/Ø 153-5/a 5-11/ŋ
369	bird	NamHsan	sim	sim	s i m		1-24	3 7 4	AXN	SIM	10	10.S.C 10.I.V 10.M.c	2.0 1.5 0.8	sim	0	68	s i m	68	c c c	248-4/s 244-4/i 1-22/m
370	bird	KhunHawt	sim	sim	s i m		1-24	3 7 4	AXN	SIM	6	6.S.C 6.I.V 6.M.c	2.0 1.5 0.8	sim	0	68	s i m	68	c c c	248-4/s 244-4/i 1-22/m
371	bird	HtanHsan	sim	sim	s i m		1-24	3 7 4	AXN	SIM	5	5.S.C 5.I.V 5.M.c	2.0 1.5 0.8	sim	0	68	s i m	68	c c c	248-4/s 244-4/i 1-22/m
372	bird	PangKham	sim	sim	s i m		1-24	3 7 4	AXN	SIM	14	14.S.C 14.I.V 14.M.c	2.0 1.5 0.8	sim	0	68	s i m	68	c c c	248-4/s 244-4/i 1-22/m
373	bird	ManLoi	sim	sim	s i m		1-24	3 7 4	AXN	SIM	8	8.S.C 8.I.V 8.M.c	2.0 1.5 0.8	sim	0	68	s i m	68	c c c	248-4/s 244-4/i 1-22/m
374	bird	MengDan	sim	sim	s i m	khan1274	1-24	3 7 4	AXN	SIM	9	9.S.C 9.I.V 9.M.c	2.0 1.5 0.8	sim	0	68	s i m	68	c c c	248-4/s 244-4/i 1-22/m
375	bird	ChuDongGua	sim	sim	s i m		1-24	3 7 4	AXN	SIM	3	3.S.C 3.I.V 3.M.c	2.0 1.5 0.8	sim	0	68	s i m	68	c c c	248-4/s 244-4/i 1-22/m
376	bird	XiangZhaiTang	siːm	siːm	s iː m	ruma1248	1-24	3 7 4	AXN	SIM	16	16.S.C 16.I.V 16.M.c	2.0 1.5 0.8	siːm	0	68	s iː m	68	c c c	248-4/s 244-4/i 1-22/m
377	bird	PongNuea	masiːm	masiːm	m a + s iː m		1-24	4 7 9 3 7 4	AX_AXN	MA_SIM	15	15.M.C 15.A.V 15._._ 15.S.C 15.I.V 15.M.c	2.0 1.5 0.0 2.0 1.5 0.8	ma+siːm	0	67 68	m a + s iː m	1749 68	c c + c c c	1-22/m 243-2/a + 248-4/s 244-4/i 1-22/m
378	bird	NyaungGone	masim	masim	m a + s i m		1-24	4 7 9 3 7 4	AX_AXN	MA_SIM	13	13.M.C 13.A.V 13._._ 13.S.C 13.I.V 13.M.c	2.0 1.5 0.0 2.0 1.5 0.8	ma+sim	0	67 68	m a + s i m	1749 68	c c + c c c	1-22/m 243-2/a + 248-4/s 244-4/i 1-22/m
379	bird	NoeLae	masim	masim	m a + s i m		1-24	4 7 9 3 7 4	AX_AXN	MA_SIM	12	12.M.C 12.A.V 12._._ 12.S.C 12.I.V 12.M.c	2.0 1.5 0.0 2.0 1.5 0.8	ma+sim	0	67 68	m a + s i m	1749 68	c c + c c c	1-22/m 243-2/a + 248-4/s 244-4/i 1-22/m
380	bird	BanPaw	masim	masim	m a + s i m		1-24	4 7 9 3 7 4	AX_AXN	MA_SIM	1	1.M.C 1.A.V 1._._ 1.S.C 1.I.V 1.M.c	2.0 1.5 0.0 2.0 1.5 0.8	ma+sim	0	67 68	m a + s i m	1749 68	c c + c c c	1-22/m 243-2/a + 248-4/s 244-4/i 1-22/m
381	bird	ChaYeQing	siːm	siːm	s iː m		1-24	3 7 4	AXN	SIM	2	2.S.C 2.I.V 2.M.c	2.0 1.5 0.8	siːm	0	68	s iː m	68	c c c	248-4/s 244-4/i 1-22/m
382	bird	GuangKa	siːm	siːm	s iː m	ruma1248	1-24	3 7 4	AXN	SIM	4	4.S.C 4.I.V 4.M.c	2.0 1.5 0.8	siːm	0	68	s iː m	68	c c c	248-4/s 244-4/i 1-22/m
383	bird	MangBang	siːm	siːm	s iː m	ruma1248	1-24	3 7 4	AXN	SIM	7	7.S.C 7.I.V 7.M.c	2.0 1.5 0.8	siːm	0	68	s iː m	68	c c c	248-4/s 244-4/i 1-22/m
384	bird	NanSang	siːm	siːm	s iː m	ruma1248	1-24	3 7 4	AXN	SIM	11	11.S.C 11.I.V 11.M.c	2.0 1.5 0.8	siːm	0	68	s iː m	68	c c c	248-4/s 244-4/i 1-22/m
321	bite	NamHsan	ɡaɁ	ɡaɁ	g a ʔ		1-21	1 7 1	AXN	KAH	10	10.K.C 10.A.V 10.H.c	2.0 1.5 0.8	gaʔ	0	88	g a - ʔ	88	c c c	14-1/k 15-1/au 187-2/- 300-4/ʔ
322	bite	KhunHawt	ɡaɁ	ɡaɁ	g a ʔ		1-21	1 7 1	AXN	KAH	6	6.K.C 6.A.V 6.H.c	2.0 1.5 0.8	gaʔ	0	88	g a - ʔ	88	c c c	14-1/k 15-1/au 187-2/- 300-4/ʔ
323	bite	HtanHsan	ɡaɁ	ɡaɁ	g a ʔ		1-21	1 7 1	AXN	KAH	5	5.K.C 5.A.V 5.H.c	2.0 1.5 0.8	gaʔ	0	88	g a - ʔ	88	c c c	14-1/k 15-1/au 187-2/- 300-4/ʔ
324	bite	PangKham	ɡak	ɡak	g a k		1-21	1 7 1	AXN	KAK	14	14.K.C 14.A.V 14.K.c	2.0 1.5 0.8	gak	0	88	g a - k	88	c c c	14-1/k 15-1/au 187-2/- 300-4/ʔ
325	bite	ManLoi	kak	kak	k a k		1-21	1 7 1	AXN	KAK	8	8.K.C 8.A.V 8.K.c	2.0 1.5 0.8	kak	0	88	k a - k	88	c c c	14-1/k 15-1/au 187-2/- 300-4/ʔ
326	bite	MengDan	kiaʔ	kiaʔ	k i a ʔ	khan1274	1-21	1 7 7 1	AXYN	KIAH	9	9.K.C 9.I.V 9.A.V 9.H.c	2.0 1.5 1.3 0.8	kiaʔ	0	88	k i a ʔ	88	c c c c	14-1/k 15-1/au 187-2/- 300-4/ʔ
327	bite	ChuDongGua	ɡa?	ɡa?	g a ʔ		1-21	1 7 1	AXN	KAH	3	3.K.C 3.A.V 3.H.c	2.0 1.5 0.8	gaʔ	0	88	g a - ʔ	88	c c c	14-1/k 15-1/au 187-2/- 300-4/ʔ
328	bite	XiangZhaiTang	kɔɁ	kɔɁ	k ɔ ʔ	ruma1248	1-21	1 7 1	AXN	KUH	16	16.K.C 16.U.V 16.H.c	2.0 1.5 0.8	kɔʔ	0	88	k ɔ - ʔ	88	c c c	14-1/k 15-1/au 187-2/- 300-4/ʔ
329	bite	PongNuea	kauɁ	kauɁ	k au ʔ		1-21	1 7 1	AXN	KAH	15	15.K.C 15.A.V 15.H.c	2.0 1.5 0.8	kauʔ	0	88	k au - ʔ	88	c c c	14-1/k 15-1/au 187-2/- 300-4/ʔ
330	bite	NyaungGone	kauʔ	kauʔ	k au ʔ		1-21	1 7 1	AXN	KAH	13	13.K.C 13.A.V 13.H.c	2.0 1.5 0.8	kauʔ	0	88	k au - ʔ	88	c c c	14-1/k 15-1/au 187-2/- 300-4/ʔ
331	bite	NoeLae	kauɁ	kauɁ	k au ʔ		1-21	1 7 1	AXN	KAH	12	12.K.C 12.A.V 12.H.c	2.0 1.5 0.8	kauʔ	0	88	k au - ʔ	88	c c c	14-1/k 15-1/au 187-2/- 300-4/ʔ
332	bite	BanPaw	kauɁ	kauɁ	k au ʔ		1-21	1 7 1	AXN	KAH	1	1.K.C 1.A.V 1.H.c	2.0 1.5 0.8	kauʔ	0	88	k au - ʔ	88	c c c	14-1/k 15-1/au 187-2/- 300-4/ʔ
333	bite	ChaYeQing	ɡak	ɡak	g a k		1-21	1 7 1	AXN	KAK	2	2.K.C 2.A.V 2.K.c	2.0 1.5 0.8	gak	0	88	g a - k	88	c c c	14-1/k 15-1/au 187-2/- 300-4/ʔ
334	bite	GuangKa	ɡak	ɡak	g a k	ruma1248	1-21	1 7 1	AXN	KAK	4	4.K.C 4.A.V 4.K.c	2.0 1.5 0.8	gak	0	88	g a - k	88	c c c	14-1/k 15-1/au 187-2/- 300-4/ʔ
335	bite	MangBang	ɡɔk	ɡɔk	g ɔ k	ruma1248	1-21	1 7 1	AXN	KUK	7	7.K.C 7.U.V 7.K.c	2.0 1.5 0.8	gɔk	0	88	g ɔ - k	88	c c c	14-1/k 15-1/au 187-2/- 300-4/ʔ
336	bite	NanSang	kɔk	kɔk	k ɔ k	ruma1248	1-21	1 7 1	AXN	KUK	11	11.K.C 11.U.V 11.K.c	2.0 1.5 0.8	kɔk	0	88	k ɔ - k	88	c c c	14-1/k 15-1/au 187-2/- 300-4/ʔ
1427	black	NamHsan	ʥәm	ʥәm	dʑ ə m		1-91	2 7 4	AXN	CEM	10	10.C.C 10.E.V 10.M.c	2.0 1.5 0.8	dʑəm	0	106	dʑ ə m	106	c c c	120-5/c 301-3/ă 1-22/m
1428	black	KhunHawt	ʥәm	ʥәm	dʑ ə m		1-91	2 7 4	AXN	CEM	6	6.C.C 6.E.V 6.M.c	2.0 1.5 0.8	dʑəm	0	106	dʑ ə m	106	c c c	120-5/c 301-3/ă 1-22/m
1429	black	HtanHsan	ʥәm	ʥәm	dʑ ə m		1-91	2 7 4	AXN	CEM	5	5.C.C 5.E.V 5.M.c	2.0 1.5 0.8	dʑəm	0	106	dʑ ə m	106	c c c	120-5/c 301-3/ă 1-22/m
1430	black	PangKham	vaŋ	vaŋ	v a ŋ		2-91	3 7 4	AXN	BAN	14	14.B.C 14.A.V 14.N.c	2.0 1.5 0.8	vaŋ	0	105	v a ŋ	105	c c c	226-3/v 230-4/ɔ 5-11/ŋ
1431	black	ManLoi	vaŋ	vaŋ	v a ŋ		2-91	3 7 4	AXN	BAN	8	8.B.C 8.A.V 8.N.c	2.0 1.5 0.8	vaŋ	0	105	v a ŋ	105	c c c	226-3/v 230-4/ɔ 5-11/ŋ
1432	black	MengDan	vaŋ	vaŋ	v a ŋ	khan1274	2-91	3 7 4	AXN	BAN	9	9.B.C 9.A.V 9.N.c	2.0 1.5 0.8	vaŋ	0	105	v a ŋ	105	c c c	226-3/v 230-4/ɔ 5-11/ŋ
1433	black	ChuDongGua	vaŋ	vaŋ	v a ŋ		2-91	3 7 4	AXN	BAN	3	3.B.C 3.A.V 3.N.c	2.0 1.5 0.8	vaŋ	0	105	v a ŋ	105	c c c	226-3/v 230-4/ɔ 5-11/ŋ
1434	black	XiangZhaiTang	vɔŋ	vɔŋ	v ɔ ŋ	ruma1248	2-91	3 7 4	AXN	BUN	16	16.B.C 16.U.V 16.N.c	2.0 1.5 0.8	vɔŋ	0	105	v ɔ ŋ	105	c c c	226-3/v 230-4/ɔ 5-11/ŋ
1435	black	PongNuea	vɔŋ	vɔŋ	v ɔ ŋ		2-91	3 7 4	AXN	BUN	15	15.B.C 15.U.V 15.N.c	2.0 1.5 0.8	vɔŋ	0	105	v ɔ ŋ	105	c c c	226-3/v 230-4/ɔ 5-11/ŋ
1436	black	NyaungGone	vɔk	vɔk	v ɔ k		2-91	3 7 1	AXN	BUK	13	13.B.C 13.U.V 13.K.c	2.0 1.5 0.8	vɔk	0	105	v ɔ k	105	c c c	226-3/v 230-4/ɔ 5-11/ŋ
1437	black	NoeLae	vɔŋ	vɔŋ	v ɔ ŋ		2-91	3 7 4	AXN	BUN	12	12.B.C 12.U.V 12.N.c	2.0 1.5 0.8	vɔŋ	0	105	v ɔ ŋ	105	c c c	226-3/v 230-4/ɔ 5-11/ŋ
1438	black	BanPaw	vɔŋ	vɔŋ	v ɔ ŋ		2-91	3 7 4	AXN	BUN	1	1.B.C 1.U.V 1.N.c	2.0 1.5 0.8	vɔŋ	0	105	v ɔ ŋ	105	c c c	226-3/v 230-4/ɔ 5-11/ŋ
1439	black	ChaYeQing	vaŋ	vaŋ	v a ŋ		2-91	3 7 4	AXN	BAN	2	2.B.C 2.A.V 2.N.c	2.0 1.5 0.8	vaŋ	0	105	v a ŋ	105	c c c	226-3/v 230-4/ɔ 5-11/ŋ
1440	black	GuangKa	vɔŋ	vɔŋ	v ɔ ŋ	ruma1248	2-91	3 7 4	AXN	BUN	4	4.B.C 4.U.V 4.N.c	2.0 1.5 0.8	vɔŋ	0	105	v ɔ ŋ	105	c c c	226-3/v 230-4/ɔ 5-11/ŋ
1441	black	MangBang	vɔŋ	vɔŋ	v ɔ ŋ	ruma1248	2-91	3 7 4	AXN	BUN	7	7.B.C 7.U.V 7.N.c	2.0 1.5 0.8	vɔŋ	0	105	v ɔ ŋ	105	c c c	226-3/v 230-4/ɔ 5-11/ŋ
