ID	CONCEPT	DOCULECT	VALUE	FORM	TOKENS	GLOTTOLOG	COG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT	CROSSIDS	STRUCTURE	PATTERNS
1555	I	NamHsan	Ɂɔː	Ɂɔː	ʔ ɔː		1-99	1 7	AX	HU	10	10.H.C 10.U.V	2.0 1.5	ʔɔː	0	1	ʔ ɔː - -	1	c c	4-20/ʔ 121-1/o 122-1/- 267-2/-
1556	I	KhunHawt	Ɂoː	Ɂoː	ʔ oː		1-99	1 7	AX	HU	6	6.H.C 6.U.V	2.0 1.5	ʔoː	0	1	ʔ oː - -	1	c c	4-20/ʔ 121-1/o 122-1/- 267-2/-
1557	I	HtanHsan	Ɂɔː	Ɂɔː	ʔ ɔː		1-99	1 7	AX	HU	5	5.H.C 5.U.V	2.0 1.5	ʔɔː	0	1	ʔ ɔː - -	1	c c	4-20/ʔ 121-1/o 122-1/- 267-2/-
1558	I	ManLoi	Ɂɔː	Ɂɔː	ʔ ɔː		1-99	1 7	AX	HU	8	8.H.C 8.U.V	2.0 1.5	ʔɔː	0	1	ʔ ɔː - -	1	c c	4-20/ʔ 121-1/o 122-1/- 267-2/-
1559	I	MengDan	ʔoː	ʔoː	ʔ oː	khan1274	1-99	1 7	AX	HU	9	9.H.C 9.U.V	2.0 1.5	ʔoː	0	1	ʔ oː - -	1	c c	4-20/ʔ 121-1/o 122-1/- 267-2/-
1560	I	ChuDongGua	ʔoː	ʔoː	ʔ oː		1-99	1 7	AX	HU	3	3.H.C 3.U.V	2.0 1.5	ʔoː	0	1	ʔ oː - -	1	c c	4-20/ʔ 121-1/o 122-1/- 267-2/-
1561	I	XiangZhaiTang	Ɂow	Ɂow	ʔ o w	ruma1248	2-99	1 7 6	AXN	HUW	16	16.H.C 16.U.V 16.W.c	2.0 1.5 0.8	ʔow	0	1	ʔ o - w	1	c c c	4-20/ʔ 121-1/o 122-1/- 267-2/-
1562	I	PongNuea	Ɂow	Ɂow	ʔ o w		2-99	1 7 6	AXN	HUW	15	15.H.C 15.U.V 15.W.c	2.0 1.5 0.8	ʔow	0	1	ʔ o - w	1	c c c	4-20/ʔ 121-1/o 122-1/- 267-2/-
1563	I	NyaungGone	ʔo	ʔo	ʔ o		1-99	1 7	AX	HU	13	13.H.C 13.U.V	2.0 1.5	ʔo	0	1	ʔ o - -	1	c c	4-20/ʔ 121-1/o 122-1/- 267-2/-
1564	I	NoeLae	Ɂo	Ɂo	ʔ o		1-99	1 7	AX	HU	12	12.H.C 12.U.V	2.0 1.5	ʔo	0	1	ʔ o - -	1	c c	4-20/ʔ 121-1/o 122-1/- 267-2/-
1565	I	BanPaw	Ɂo	Ɂo	ʔ o		1-99	1 7	AX	HU	1	1.H.C 1.U.V	2.0 1.5	ʔo	0	1	ʔ o - -	1	c c	4-20/ʔ 121-1/o 122-1/- 267-2/-
1566	I	ChaYeQing	Ɂaw	Ɂaw	ʔ a w		2-99	1 7 6	AXN	HAW	2	2.H.C 2.A.V 2.W.c	2.0 1.5 0.8	ʔaw	0	1	ʔ a - w	1	c c c	4-20/ʔ 121-1/o 122-1/- 267-2/-
1567	I	GuangKa	Ɂau	Ɂau	ʔ a u	ruma1248	2-99	1 7 7	AXZ	HAY	4	4.H.C 4.A.V 4.Y.V	2.0 1.5 0.8	ʔau	0	1	ʔ a u -	1	c c c	4-20/ʔ 121-1/o 122-1/- 267-2/-
1568	I	MangBang	Ɂaw	Ɂaw	ʔ a w	ruma1248	2-99	1 7 6	AXN	HAW	7	7.H.C 7.A.V 7.W.c	2.0 1.5 0.8	ʔaw	0	1	ʔ a - w	1	c c c	4-20/ʔ 121-1/o 122-1/- 267-2/-
1569	I	NanSang	Ɂaw	Ɂaw	ʔ a w	ruma1248	2-99	1 7 6	AXN	HAW	11	11.H.C 11.A.V 11.W.c	2.0 1.5 0.8	ʔaw	0	1	ʔ a - w	1	c c c	4-20/ʔ 121-1/o 122-1/- 267-2/-
593	abdomen	NamHsan	vɛɁ	vɛɁ	v ɛ ʔ		1-38	3 7 1	AXN	BEH	10	10.B.C 10.E.V 10.H.c	2.0 1.5 0.8	vɛʔ	0	17	v ɛ ʔ	17	c c c	226-3/v 123-1/ă 190-3/t
594	abdomen	KhunHawt	vac	vac	v a c		1-38	3 7 1	AXN	BAC	6	6.B.C 6.A.V 6.C.c	2.0 1.5 0.8	vac	0	17	v a c	17	c c c	226-3/v 123-1/ă 190-3/t
595	abdomen	HtanHsan	vaic	vaic	v ai c		1-38	3 7 1	AXN	BAC	5	5.B.C 5.A.V 5.C.c	2.0 1.5 0.8	vaic	0	17	v ai c	17	c c c	226-3/v 123-1/ă 190-3/t
596	abdomen	PangKham	waɁ	waɁ	w a ʔ		1-38	6 7 1	AXN	WAH	14	14.W.C 14.A.V 14.H.c	2.0 1.5 0.8	waʔ	0	18	w a ʔ	18	c c c	0/n 0/n 0/n
597	abdomen	ManLoi	vaiɁ	vaiɁ	v ai ʔ		1-38	3 7 1	AXN	BAH	8	8.B.C 8.A.V 8.H.c	2.0 1.5 0.8	vaiʔ	0	17	v ai ʔ	17	c c c	226-3/v 123-1/ă 190-3/t
598	abdomen	MengDan	veʔ	veʔ	v e ʔ	khan1274	1-38	3 7 1	AXN	BEH	9	9.B.C 9.E.V 9.H.c	2.0 1.5 0.8	veʔ	0	17	v e ʔ	17	c c c	226-3/v 123-1/ă 190-3/t
599	abdomen	ChuDongGua	vɛʔ	vɛʔ	v ɛ ʔ		1-38	3 7 1	AXN	BEH	3	3.B.C 3.E.V 3.H.c	2.0 1.5 0.8	vɛʔ	0	17	v ɛ ʔ	17	c c c	226-3/v 123-1/ă 190-3/t
600	abdomen	XiangZhaiTang	vac	vac	v a c	ruma1248	1-38	3 7 1	AXN	BAC	16	16.B.C 16.A.V 16.C.c	2.0 1.5 0.8	vac	0	17	v a c	17	c c c	226-3/v 123-1/ă 190-3/t
601	abdomen	PongNuea	vaic	vaic	v ai c		1-38	3 7 1	AXN	BAC	15	15.B.C 15.A.V 15.C.c	2.0 1.5 0.8	vaic	0	17	v ai c	17	c c c	226-3/v 123-1/ă 190-3/t
602	abdomen	NyaungGone	văt	văt	v ă t		1-38	3 7 1	AXN	BAT	13	13.B.C 13.A.V 13.T.c	2.0 1.5 0.8	văt	0	17	v ă t	17	c c c	226-3/v 123-1/ă 190-3/t
603	abdomen	NoeLae	văc	văc	v ă c		1-38	3 7 1	AXN	BAC	12	12.B.C 12.A.V 12.C.c	2.0 1.5 0.8	văc	0	17	v ă c	17	c c c	226-3/v 123-1/ă 190-3/t
