Language,BanPaw,ChaYeQing,ChuDongGua,GuangKa,HtanHsan,KhunHawt,MangBang,ManLoi,MengDan,NamHsan,NanSang,NoeLae,NyaungGone,PangKham,PongNuea,XiangZhaiTang
BanPaw,0,0.32999999999999996,0.35,0.3571428571428571,0.46464646464646464,0.4693877551020408,0.32999999999999996,0.3434343434343434,0.3939393939393939,0.48484848484848486,0.3434343434343434,0.06999999999999995,0.1515151515151515,0.33673469387755106,0.09090909090909094,0.25
ChaYeQing,0.32999999999999996,0,0.31999999999999995,0.29591836734693877,0.43434343434343436,0.4591836734693877,0.29000000000000004,0.29292929292929293,0.29292929292929293,0.48484848484848486,0.303030303030303,0.32999999999999996,0.38383838383838387,0.30612244897959184,0.33333333333333337,0.26041666666666663
ChuDongGua,0.35,0.31999999999999995,0,0.30612244897959184,0.3232323232323232,0.36734693877551017,0.31999999999999995,0.2828282828282829,0.202020202020202,0.38383838383838387,0.33333333333333337,0.32999999999999996,0.3939393939393939,0.2857142857142857,0.3434343434343434,0.3125
GuangKa,0.3571428571428571,0.29591836734693877,0.30612244897959184,0,0.4387755102040817,0.45360824742268047,0.12244897959183676,0.30612244897959184,0.3608247422680413,0.47959183673469385,0.14432989690721654,0.3571428571428571,0.38144329896907214,0.3298969072164949,0.3402061855670103,0.32978723404255317
HtanHsan,0.46464646464646464,0.43434343434343436,0.3232323232323232,0.4387755102040817,0,0.12244897959183676,0.43434343434343436,0.3232323232323232,0.37755102040816324,0.24242424242424243,0.37755102040816324,0.4545454545454546,0.47959183673469385,0.3571428571428571,0.4591836734693877,0.368421052631579
KhunHawt,0.4693877551020408,0.4591836734693877,0.36734693877551017,0.45360824742268047,0.12244897959183676,0,0.4285714285714286,0.34693877551020413,0.3711340206185567,0.22448979591836737,0.41237113402061853,0.4693877551020408,0.48453608247422686,0.35051546391752575,0.4639175257731959,0.42553191489361697
MangBang,0.32999999999999996,0.29000000000000004,0.31999999999999995,0.12244897959183676,0.43434343434343436,0.4285714285714286,0,0.31313131313131315,0.3737373737373737,0.4444444444444444,0.1515151515151515,0.32999999999999996,0.3535353535353535,0.326530612244898,0.31313131313131315,0.30208333333333337
ManLoi,0.3434343434343434,0.29292929292929293,0.2828282828282829,0.30612244897959184,0.3232323232323232,0.34693877551020413,0.31313131313131315,0,0.3163265306122449,0.3939393939393939,0.3163265306122449,0.3434343434343434,0.37755102040816324,0.15306122448979587,0.33673469387755106,0.3157894736842105
MengDan,0.3939393939393939,0.29292929292929293,0.202020202020202,0.3608247422680413,0.37755102040816324,0.3711340206185567,0.3737373737373737,0.3163265306122449,0,0.4285714285714286,0.37755102040816324,0.3737373737373737,0.41836734693877553,0.30927835051546393,0.36734693877551017,0.35789473684210527
NamHsan,0.48484848484848486,0.48484848484848486,0.38383838383838387,0.47959183673469385,0.24242424242424243,0.22448979591836737,0.4444444444444444,0.3939393939393939,0.4285714285714286,0,0.4591836734693877,0.48484848484848486,0.5,0.36734693877551017,0.47959183673469385,0.4421052631578948
NanSang,0.3434343434343434,0.303030303030303,0.33333333333333337,0.14432989690721654,0.37755102040816324,0.41237113402061853,0.1515151515151515,0.3163265306122449,0.37755102040816324,0.4591836734693877,0,0.3434343434343434,0.36734693877551017,0.3402061855670103,0.326530612244898,0.3052631578947368
NoeLae,0.06999999999999995,0.32999999999999996,0.32999999999999996,0.3571428571428571,0.4545454545454546,0.4693877551020408,0.32999999999999996,0.3434343434343434,0.3737373737373737,0.48484848484848486,0.3434343434343434,0,0.11111111111111116,0.326530612244898,0.06060606060606055,0.21875
NyaungGone,0.1515151515151515,0.38383838383838387,0.3939393939393939,0.38144329896907214,0.47959183673469385,0.48453608247422686,0.3535353535353535,0.37755102040816324,0.41836734693877553,0.5,0.36734693877551017,0.11111111111111116,0,0.3402061855670103,0.13265306122448983,0.25263157894736843
PangKham,0.33673469387755106,0.30612244897959184,0.2857142857142857,0.3298969072164949,0.3571428571428571,0.35051546391752575,0.326530612244898,0.15306122448979587,0.30927835051546393,0.36734693877551017,0.3402061855670103,0.326530612244898,0.3402061855670103,0,0.31958762886597936,0.34042553191489366
PongNuea,0.09090909090909094,0.33333333333333337,0.3434343434343434,0.3402061855670103,0.4591836734693877,0.4639175257731959,0.31313131313131315,0.33673469387755106,0.36734693877551017,0.47959183673469385,0.326530612244898,0.06060606060606055,0.13265306122448983,0.31958762886597936,0,0.22916666666666663
XiangZhaiTang,0.25,0.26041666666666663,0.3125,0.32978723404255317,0.368421052631579,0.42553191489361697,0.30208333333333337,0.3157894736842105,0.35789473684210527,0.4421052631578948,0.3052631578947368,0.21875,0.25263157894736843,0.34042553191489366,0.22916666666666663,0
