ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT	STRUCTURE	CROSSIDS
1555	99_i	I	NamHsan	Namhsan	Ɂɔː	Ɂɔː	ʔ ɔː		1209	22.965064	97.163239		1 7	AX	HU	10	10.H.C 10.U.V	2.0 1.5	ʔɔː	0	1	ʔ ɔː	i n	1
1556	99_i	I	KhunHawt	Khun Hawt	Ɂoː	Ɂoː	ʔ oː		1209	22.965064	97.163239		1 7	AX	HU	6	6.H.C 6.U.V	2.0 1.5	ʔoː	0	1	ʔ oː	i n	1
1557	99_i	I	HtanHsan	Htan Hsan	Ɂɔː	Ɂɔː	ʔ ɔː		1209	22.675133	97.289942		1 7	AX	HU	5	5.H.C 5.U.V	2.0 1.5	ʔɔː	0	1	ʔ ɔː	i n	1
1558	99_i	I	ManLoi	Man Loi	Ɂɔː	Ɂɔː	ʔ ɔː		1209	22.636019	97.139264		1 7	AX	HU	8	8.H.C 8.U.V	2.0 1.5	ʔɔː	0	1	ʔ ɔː	i n	1
1559	99_i	I	MengDan	Meng Dan	ʔoː	ʔoː	ʔ oː	khan1274	1209	24.296522	98.379886		1 7	AX	HU	9	9.H.C 9.U.V	2.0 1.5	ʔoː	0	1	ʔ oː	i n	1
1560	99_i	I	ChuDongGua	Chu Dong Gua	ʔoː	ʔoː	ʔ oː		1209	24.330889	98.393125		1 7	AX	HU	3	3.H.C 3.U.V	2.0 1.5	ʔoː	0	1	ʔ oː	i n	1
1563	99_i	I	NyaungGone	Nyaung Gone	ʔo	ʔo	ʔ o		1209	20.635025	96.545772		1 7	AX	HU	13	13.H.C 13.U.V	2.0 1.5	ʔo	0	1	ʔ o	i n	1
1564	99_i	I	NoeLae	Noe Lae	Ɂo	Ɂo	ʔ o		1209	19.941803	99.044742		1 7	AX	HU	12	12.H.C 12.U.V	2.0 1.5	ʔo	0	1	ʔ o	i n	1
1565	99_i	I	BanPaw	Ban Paw	Ɂo	Ɂo	ʔ o		1209	21.311225	99.557550		1 7	AX	HU	1	1.H.C 1.U.V	2.0 1.5	ʔo	0	1	ʔ o	i n	1
863	55_ashes	ashes	NyaungGone	Nyaung Gone	brɔ ŋɔ	brɔ ŋɔ	b r ɔ + ŋ ɔ		646	20.635025	96.545772		1 5 7 9 4 7	ACX_AX	PRU_NU	13	13.P.C 13.R.C 13.U.V 13._._ 13.N.C 13.U.V	2.0 1.5 1.5 0.0 2.0 1.5	brɔ+ŋɔ	0	34 35	b r ɔ + ŋ ɔ	i m n + i n	34 35
864	55_ashes	ashes	NoeLae	Noe Lae	brɔ ŋɔ	brɔ ŋɔ	b r ɔ + ŋ ɔ		646	19.941803	99.044742		1 5 7 9 4 7	ACX_AX	PRU_NU	12	12.P.C 12.R.C 12.U.V 12._._ 12.N.C 12.U.V	2.0 1.5 1.5 0.0 2.0 1.5	brɔ+ŋɔ	0	34 35	b r ɔ + ŋ ɔ	i m n + i n	34 35
865	55_ashes	ashes	BanPaw	Ban Paw	brɔ ŋɔ	brɔ ŋɔ	b r ɔ + ŋ ɔ		646	21.311225	99.557550		1 5 7 9 4 7	ACX_AX	PRU_NU	1	1.P.C 1.R.C 1.U.V 1._._ 1.N.C 1.U.V	2.0 1.5 1.5 0.0 2.0 1.5	brɔ+ŋɔ	0	34 35	b r ɔ + ŋ ɔ	i m n + i n	34 35
59	4_cloud	cloud	NoeLae	Noe Lae	ŋ Ɂu	ŋ Ɂu	ŋ + ʔ u		1489	19.941803	99.044742		4 9 1 7	A_AX	N_HY	12	12.N.C 12._._ 12.H.C 12.Y.V	2.0 0.0 2.0 1.5	ŋ+ʔu	0	202 203	ŋ + ʔ u	i + i n	202 203
1014	65_fear	fear	NamHsan	Namhsan	ʥɔː	ʥɔː	dʑ ɔː		1419	22.965064	97.163239		2 7	AX	CU	10	10.C.C 10.U.V	2.0 1.5	dʑɔː	0	468	dʑ - ɔː	i n	468
1016	65_fear	fear	HtanHsan	Htan Hsan	ʥoː	ʥoː	dʑ oː		1419	22.675133	97.289942		2 7	AX	CU	5	5.C.C 5.U.V	2.0 1.5	dʑoː	0	468	dʑ - oː	i n	468
1017	65_fear	fear	PangKham	Pangkham	ʥoː	ʥoː	dʑ oː		1419	22.672097	97.161167		2 7	AX	CU	14	14.C.C 14.U.V	2.0 1.5	dʑoː	0	468	dʑ - oː	i n	468
