ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT
1555	99_i	I	NamHsan	Namhsan	Ɂɔː	Ɂɔː	ʔ ɔː		1209	22.965064	97.163239		1 7	AX	HU	10	10.H.C 10.U.V	2.0 1.5	ʔɔː	0	1	ʔ ɔː - -
1556	99_i	I	KhunHawt	Khun Hawt	Ɂoː	Ɂoː	ʔ oː		1209	22.965064	97.163239		1 7	AX	HU	6	6.H.C 6.U.V	2.0 1.5	ʔoː	0	1	ʔ oː - -
1557	99_i	I	HtanHsan	Htan Hsan	Ɂɔː	Ɂɔː	ʔ ɔː		1209	22.675133	97.289942		1 7	AX	HU	5	5.H.C 5.U.V	2.0 1.5	ʔɔː	0	1	ʔ ɔː - -
1558	99_i	I	ManLoi	Man Loi	Ɂɔː	Ɂɔː	ʔ ɔː		1209	22.636019	97.139264		1 7	AX	HU	8	8.H.C 8.U.V	2.0 1.5	ʔɔː	0	1	ʔ ɔː - -
1559	99_i	I	MengDan	Meng Dan	ʔoː	ʔoː	ʔ oː	khan1274	1209	24.296522	98.379886		1 7	AX	HU	9	9.H.C 9.U.V	2.0 1.5	ʔoː	0	1	ʔ oː - -
1560	99_i	I	ChuDongGua	Chu Dong Gua	ʔoː	ʔoː	ʔ oː		1209	24.330889	98.393125		1 7	AX	HU	3	3.H.C 3.U.V	2.0 1.5	ʔoː	0	1	ʔ oː - -
1561	99_i	I	XiangZhaiTang	Xiang Zhai Tang	Ɂow	Ɂow	ʔ o w	ruma1248	1209	24.323819	98.556639		1 7 6	AXN	HUW	16	16.H.C 16.U.V 16.W.c	2.0 1.5 0.8	ʔow	0	1	ʔ o - w
1562	99_i	I	PongNuea	Pong Nuea	Ɂow	Ɂow	ʔ o w		1209	20.321525	99.866817		1 7 6	AXN	HUW	15	15.H.C 15.U.V 15.W.c	2.0 1.5 0.8	ʔow	0	1	ʔ o - w
1563	99_i	I	NyaungGone	Nyaung Gone	ʔo	ʔo	ʔ o		1209	20.635025	96.545772		1 7	AX	HU	13	13.H.C 13.U.V	2.0 1.5	ʔo	0	1	ʔ o - -
1564	99_i	I	NoeLae	Noe Lae	Ɂo	Ɂo	ʔ o		1209	19.941803	99.044742		1 7	AX	HU	12	12.H.C 12.U.V	2.0 1.5	ʔo	0	1	ʔ o - -
1565	99_i	I	BanPaw	Ban Paw	Ɂo	Ɂo	ʔ o		1209	21.311225	99.557550		1 7	AX	HU	1	1.H.C 1.U.V	2.0 1.5	ʔo	0	1	ʔ o - -
1566	99_i	I	ChaYeQing	Cha Ye Qing	Ɂaw	Ɂaw	ʔ a w		1209	24.305717	98.463661		1 7 6	AXN	HAW	2	2.H.C 2.A.V 2.W.c	2.0 1.5 0.8	ʔaw	0	1	ʔ a - w
1567	99_i	I	GuangKa	Guang Ka	Ɂau	Ɂau	ʔ a u	ruma1248	1209	24.065714	97.796281		1 7 7	AXZ	HAY	4	4.H.C 4.A.V 4.Y.V	2.0 1.5 0.8	ʔau	0	1	ʔ a u -
1568	99_i	I	MangBang	Mang Bang	Ɂaw	Ɂaw	ʔ a w	ruma1248	1209	24.416392	98.399078		1 7 6	AXN	HAW	7	7.H.C 7.A.V 7.W.c	2.0 1.5 0.8	ʔaw	0	1	ʔ a - w
1569	99_i	I	NanSang	Nan Sang	Ɂaw	Ɂaw	ʔ a w	ruma1248	1209	24.019728	97.819736		1 7 6	AXN	HAW	11	11.H.C 11.A.V 11.W.c	2.0 1.5 0.8	ʔaw	0	1	ʔ a - w
593	38_abdomen	abdomen	NamHsan	Namhsan	vɛɁ	vɛɁ	v ɛ ʔ		1251	22.965064	97.163239		3 7 1	AXN	BEH	10	10.B.C 10.E.V 10.H.c	2.0 1.5 0.8	vɛʔ	0	17	v ɛ - ʔ
594	38_abdomen	abdomen	KhunHawt	Khun Hawt	vac	vac	v a c		1251	22.965064	97.163239		3 7 1	AXN	BAC	6	6.B.C 6.A.V 6.C.c	2.0 1.5 0.8	vac	0	17	v a - c
595	38_abdomen	abdomen	HtanHsan	Htan Hsan	vaic	vaic	v a i c		1251	22.675133	97.289942		3 7 7 1	AXYN	BAIC	5	5.B.C 5.A.V 5.I.V 5.C.c	2.0 1.5 1.3 0.8	vaic	0	17	v a i c
596	38_abdomen	abdomen	PangKham	Pangkham	waɁ	waɁ	w a ʔ		1251	22.672097	97.161167		6 7 1	AXN	WAH	14	14.W.C 14.A.V 14.H.c	2.0 1.5 0.8	waʔ	0	18	w a ʔ
597	38_abdomen	abdomen	ManLoi	Man Loi	vaiɁ	vaiɁ	v a i ʔ		1251	22.636019	97.139264		3 7 7 1	AXYN	BAIH	8	8.B.C 8.A.V 8.I.V 8.H.c	2.0 1.5 1.3 0.8	vaiʔ	0	17	v a i ʔ
598	38_abdomen	abdomen	MengDan	Meng Dan	veʔ	veʔ	v e ʔ	khan1274	1251	24.296522	98.379886		3 7 1	AXN	BEH	9	9.B.C 9.E.V 9.H.c	2.0 1.5 0.8	veʔ	0	17	v e - ʔ
