ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT
599	38_abdomen	abdomen	ChuDongGua	Chu Dong Gua	vɛʔ	vɛʔ	v ɛ ʔ		1251	24.330889	98.393125		3 7 1	AXN	BEH	3	3.B.C 3.E.V 3.H.c	2.0 1.5 0.8	vɛʔ	0	17	v ɛ - ʔ
600	38_abdomen	abdomen	XiangZhaiTang	Xiang Zhai Tang	vac	vac	v a c	ruma1248	1251	24.323819	98.556639		3 7 1	AXN	BAC	16	16.B.C 16.A.V 16.C.c	2.0 1.5 0.8	vac	0	17	v a - c
601	38_abdomen	abdomen	PongNuea	Pong Nuea	vaic	vaic	v a i c		1251	20.321525	99.866817		3 7 7 1	AXYN	BAIC	15	15.B.C 15.A.V 15.I.V 15.C.c	2.0 1.5 1.3 0.8	vaic	0	17	v a i c
602	38_abdomen	abdomen	NyaungGone	Nyaung Gone	văt	văt	v ă t		1251	20.635025	96.545772		3 7 1	AXN	BAT	13	13.B.C 13.A.V 13.T.c	2.0 1.5 0.8	văt	0	17	v ă - t
603	38_abdomen	abdomen	NoeLae	Noe Lae	văc	văc	v ă c		1251	19.941803	99.044742		3 7 1	AXN	BAC	12	12.B.C 12.A.V 12.C.c	2.0 1.5 0.8	văc	0	17	v ă - c
604	38_abdomen	abdomen	BanPaw	Ban Paw	văt	văt	v ă t		1251	21.311225	99.557550		3 7 1	AXN	BAT	1	1.B.C 1.A.V 1.T.c	2.0 1.5 0.8	văt	0	17	v ă - t
605	38_abdomen	abdomen	ChaYeQing	Cha Ye Qing	vat	vat	v a t		1251	24.305717	98.463661		3 7 1	AXN	BAT	2	2.B.C 2.A.V 2.T.c	2.0 1.5 0.8	vat	0	17	v a - t
606	38_abdomen	abdomen	GuangKa	Guang Ka	vat	vat	v a t	ruma1248	1251	24.065714	97.796281		3 7 1	AXN	BAT	4	4.B.C 4.A.V 4.T.c	2.0 1.5 0.8	vat	0	17	v a - t
607	38_abdomen	abdomen	MangBang	Mang Bang	vat	vat	v a t	ruma1248	1251	24.416392	98.399078		3 7 1	AXN	BAT	7	7.B.C 7.A.V 7.T.c	2.0 1.5 0.8	vat	0	17	v a - t
608	38_abdomen	abdomen	NanSang	Nan Sang	vat	vat	v a t	ruma1248	1251	24.019728	97.819736		3 7 1	AXN	BAT	11	11.B.C 11.A.V 11.T.c	2.0 1.5 0.8	vat	0	17	v a - t
854	55_ashes	ashes	NamHsan	Namhsan	kafaːŋ	kafaːŋ	k a f aː ŋ		646	22.965064	97.163239		1 7 3 7 4	AXBYN	KABAN	10	10.K.C 10.A.V 10.B.C 10.A.V 10.N.c	2.0 1.5 1.75 1.3 0.8	kafaːŋ	0	36	k a f aː ŋ
855	55_ashes	ashes	KhunHawt	Khun Hawt	kafaːŋ	kafaːŋ	k a f aː ŋ		646	22.965064	97.163239		1 7 3 7 4	AXBYN	KABAN	6	6.K.C 6.A.V 6.B.C 6.A.V 6.N.c	2.0 1.5 1.75 1.3 0.8	kafaːŋ	0	36	k a f aː ŋ
856	55_ashes	ashes	HtanHsan	Htan Hsan	kafaːŋ	kafaːŋ	k a f aː ŋ		646	22.675133	97.289942		1 7 3 7 4	AXBYN	KABAN	5	5.K.C 5.A.V 5.B.C 5.A.V 5.N.c	2.0 1.5 1.75 1.3 0.8	kafaːŋ	0	36	k a f aː ŋ
857	55_ashes	ashes	PangKham	Pangkham	kafaːŋ	kafaːŋ	k a f aː ŋ		646	22.672097	97.161167		1 7 3 7 4	AXBYN	KABAN	14	14.K.C 14.A.V 14.B.C 14.A.V 14.N.c	2.0 1.5 1.75 1.3 0.8	kafaːŋ	0	36	k a f aː ŋ
858	55_ashes	ashes	ManLoi	Man Loi	kafaːŋ	kafaːŋ	k a f aː ŋ		646	22.636019	97.139264		1 7 3 7 4	AXBYN	KABAN	8	8.K.C 8.A.V 8.B.C 8.A.V 8.N.c	2.0 1.5 1.75 1.3 0.8	kafaːŋ	0	36	k a f aː ŋ
859	55_ashes	ashes	MengDan	Meng Dan	kəfɛːŋ	kəfɛːŋ	k ə f ɛː ŋ	khan1274	646	24.296522	98.379886		1 7 3 7 4	AXBYN	KEBEN	9	9.K.C 9.E.V 9.B.C 9.E.V 9.N.c	2.0 1.5 1.75 1.3 0.8	kəfɛːŋ	0	36	k ə f ɛː ŋ
860	55_ashes	ashes	ChuDongGua	Chu Dong Gua	kafaːŋ	kafaːŋ	k a f aː ŋ		646	24.330889	98.393125		1 7 3 7 4	AXBYN	KABAN	3	3.K.C 3.A.V 3.B.C 3.A.V 3.N.c	2.0 1.5 1.75 1.3 0.8	kafaːŋ	0	36	k a f aː ŋ
861	55_ashes	ashes	XiangZhaiTang	Xiang Zhai Tang	kafaːŋ	kafaːŋ	k a f aː ŋ	ruma1248	646	24.323819	98.556639		1 7 3 7 4	AXBYN	KABAN	16	16.K.C 16.A.V 16.B.C 16.A.V 16.N.c	2.0 1.5 1.75 1.3 0.8	kafaːŋ	0	36	k a f aː ŋ
862	55_ashes	ashes	PongNuea	Pong Nuea	brɔŋɔː	brɔŋɔː	b r ɔ ŋ ɔː		646	20.321525	99.866817		1 5 7 4 7	ACXBZ	PRUNU	15	15.P.C 15.R.C 15.U.V 15.N.C 15.U.V	2.0 1.5 1.5 1.75 0.8	brɔŋɔː	0	34	b r ɔ ŋ ɔː
863	55_ashes	ashes	NyaungGone	Nyaung Gone	brɔ ŋɔ	brɔ ŋɔ	b r ɔ + ŋ ɔ		646	20.635025	96.545772		1 5 7 9 4 7	ACX_AX	PRU_NU	13	13.P.C 13.R.C 13.U.V 13._._ 13.N.C 13.U.V	2.0 1.5 1.5 0.0 2.0 1.5	brɔ+ŋɔ	0	34 35	b r ɔ - - + ŋ ɔ
864	55_ashes	ashes	NoeLae	Noe Lae	brɔ ŋɔ	brɔ ŋɔ	b r ɔ + ŋ ɔ		646	19.941803	99.044742		1 5 7 9 4 7	ACX_AX	PRU_NU	12	12.P.C 12.R.C 12.U.V 12._._ 12.N.C 12.U.V	2.0 1.5 1.5 0.0 2.0 1.5	brɔ+ŋɔ	0	34 35	b r ɔ - - + ŋ ɔ
865	55_ashes	ashes	BanPaw	Ban Paw	brɔ ŋɔ	brɔ ŋɔ	b r ɔ + ŋ ɔ		646	21.311225	99.557550		1 5 7 9 4 7	ACX_AX	PRU_NU	1	1.P.C 1.R.C 1.U.V 1._._ 1.N.C 1.U.V	2.0 1.5 1.5 0.0 2.0 1.5	brɔ+ŋɔ	0	34 35	b r ɔ - - + ŋ ɔ
866	55_ashes	ashes	ChaYeQing	Cha Ye Qing	kafaːŋ	kafaːŋ	k a f aː ŋ		646	24.305717	98.463661		1 7 3 7 4	AXBYN	KABAN	2	2.K.C 2.A.V 2.B.C 2.A.V 2.N.c	2.0 1.5 1.75 1.3 0.8	kafaːŋ	0	36	k a f aː ŋ
867	55_ashes	ashes	GuangKa	Guang Ka	kafaːŋ	kafaːŋ	k a f aː ŋ	ruma1248	646	24.065714	97.796281		1 7 3 7 4	AXBYN	KABAN	4	4.K.C 4.A.V 4.B.C 4.A.V 4.N.c	2.0 1.5 1.75 1.3 0.8	kafaːŋ	0	36	k a f aː ŋ
868	55_ashes	ashes	MangBang	Mang Bang	kafaːŋ	kafaːŋ	k a f aː ŋ	ruma1248	646	24.416392	98.399078		1 7 3 7 4	AXBYN	KABAN	7	7.K.C 7.A.V 7.B.C 7.A.V 7.N.c	2.0 1.5 1.75 1.3 0.8	kafaːŋ	0	36	k a f aː ŋ
869	55_ashes	ashes	NanSang	Nan Sang	kafaːŋ	kafaːŋ	k a f aː ŋ	ruma1248	646	24.019728	97.819736		1 7 3 7 4	AXBYN	KABAN	11	11.K.C 11.A.V 11.B.C 11.A.V 11.N.c	2.0 1.5 1.75 1.3 0.8	kafaːŋ	0	36	k a f aː ŋ
369	24_bird	bird	NamHsan	Namhsan	sim	sim	s i m		937	22.965064	97.163239		3 7 4	AXN	SIM	10	10.S.C 10.I.V 10.M.c	2.0 1.5 0.8	sim	0	54	- - s i m
370	24_bird	bird	KhunHawt	Khun Hawt	sim	sim	s i m		937	22.965064	97.163239		3 7 4	AXN	SIM	6	6.S.C 6.I.V 6.M.c	2.0 1.5 0.8	sim	0	54	- - s i m
371	24_bird	bird	HtanHsan	Htan Hsan	sim	sim	s i m		937	22.675133	97.289942		3 7 4	AXN	SIM	5	5.S.C 5.I.V 5.M.c	2.0 1.5 0.8	sim	0	54	- - s i m
372	24_bird	bird	PangKham	Pangkham	sim	sim	s i m		937	22.672097	97.161167		3 7 4	AXN	SIM	14	14.S.C 14.I.V 14.M.c	2.0 1.5 0.8	sim	0	54	- - s i m
373	24_bird	bird	ManLoi	Man Loi	sim	sim	s i m		937	22.636019	97.139264		3 7 4	AXN	SIM	8	8.S.C 8.I.V 8.M.c	2.0 1.5 0.8	sim	0	54	- - s i m
374	24_bird	bird	MengDan	Meng Dan	sim	sim	s i m	khan1274	937	24.296522	98.379886		3 7 4	AXN	SIM	9	9.S.C 9.I.V 9.M.c	2.0 1.5 0.8	sim	0	54	- - s i m
375	24_bird	bird	ChuDongGua	Chu Dong Gua	sim	sim	s i m		937	24.330889	98.393125		3 7 4	AXN	SIM	3	3.S.C 3.I.V 3.M.c	2.0 1.5 0.8	sim	0	54	- - s i m
376	24_bird	bird	XiangZhaiTang	Xiang Zhai Tang	siːm	siːm	s iː m	ruma1248	937	24.323819	98.556639		3 7 4	AXN	SIM	16	16.S.C 16.I.V 16.M.c	2.0 1.5 0.8	siːm	0	54	- - s iː m
377	24_bird	bird	PongNuea	Pong Nuea	masiːm	masiːm	m a s iː m		937	20.321525	99.866817		4 7 3 7 4	AXBYN	MASIM	15	15.M.C 15.A.V 15.S.C 15.I.V 15.M.c	2.0 1.5 1.75 1.3 0.8	masiːm	0	54	m a s iː m
378	24_bird	bird	NyaungGone	Nyaung Gone	masim	masim	m a s i m		937	20.635025	96.545772		4 7 3 7 4	AXBYN	MASIM	13	13.M.C 13.A.V 13.S.C 13.I.V 13.M.c	2.0 1.5 1.75 1.3 0.8	masim	0	54	m a s i m
379	24_bird	bird	NoeLae	Noe Lae	masim	masim	m a s i m		937	19.941803	99.044742		4 7 3 7 4	AXBYN	MASIM	12	12.M.C 12.A.V 12.S.C 12.I.V 12.M.c	2.0 1.5 1.75 1.3 0.8	masim	0	54	m a s i m
380	24_bird	bird	BanPaw	Ban Paw	masim	masim	m a s i m		937	21.311225	99.557550		4 7 3 7 4	AXBYN	MASIM	1	1.M.C 1.A.V 1.S.C 1.I.V 1.M.c	2.0 1.5 1.75 1.3 0.8	masim	0	54	m a s i m
381	24_bird	bird	ChaYeQing	Cha Ye Qing	siːm	siːm	s iː m		937	24.305717	98.463661		3 7 4	AXN	SIM	2	2.S.C 2.I.V 2.M.c	2.0 1.5 0.8	siːm	0	54	- - s iː m
382	24_bird	bird	GuangKa	Guang Ka	siːm	siːm	s iː m	ruma1248	937	24.065714	97.796281		3 7 4	AXN	SIM	4	4.S.C 4.I.V 4.M.c	2.0 1.5 0.8	siːm	0	54	- - s iː m
383	24_bird	bird	MangBang	Mang Bang	siːm	siːm	s iː m	ruma1248	937	24.416392	98.399078		3 7 4	AXN	SIM	7	7.S.C 7.I.V 7.M.c	2.0 1.5 0.8	siːm	0	54	- - s iː m
384	24_bird	bird	NanSang	Nan Sang	siːm	siːm	s iː m	ruma1248	937	24.019728	97.819736		3 7 4	AXN	SIM	11	11.S.C 11.I.V 11.M.c	2.0 1.5 0.8	siːm	0	54	- - s iː m
321	21_bite	bite	NamHsan	Namhsan	ɡaɁ	ɡaɁ	g a ʔ		1403	22.965064	97.163239		1 7 1	AXN	KAH	10	10.K.C 10.A.V 10.H.c	2.0 1.5 0.8	gaʔ	0	71	g a - ʔ
322	21_bite	bite	KhunHawt	Khun Hawt	ɡaɁ	ɡaɁ	g a ʔ		1403	22.965064	97.163239		1 7 1	AXN	KAH	6	6.K.C 6.A.V 6.H.c	2.0 1.5 0.8	gaʔ	0	71	g a - ʔ
323	21_bite	bite	HtanHsan	Htan Hsan	ɡaɁ	ɡaɁ	g a ʔ		1403	22.675133	97.289942		1 7 1	AXN	KAH	5	5.K.C 5.A.V 5.H.c	2.0 1.5 0.8	gaʔ	0	71	g a - ʔ
324	21_bite	bite	PangKham	Pangkham	ɡak	ɡak	g a k		1403	22.672097	97.161167		1 7 1	AXN	KAK	14	14.K.C 14.A.V 14.K.c	2.0 1.5 0.8	gak	0	71	g a - k
325	21_bite	bite	ManLoi	Man Loi	kak	kak	k a k		1403	22.636019	97.139264		1 7 1	AXN	KAK	8	8.K.C 8.A.V 8.K.c	2.0 1.5 0.8	kak	0	71	k a - k
326	21_bite	bite	MengDan	Meng Dan	kiaʔ	kiaʔ	k i a ʔ	khan1274	1403	24.296522	98.379886		1 7 7 1	AXYN	KIAH	9	9.K.C 9.I.V 9.A.V 9.H.c	2.0 1.5 1.3 0.8	kiaʔ	0	71	k i a ʔ
327	21_bite	bite	ChuDongGua	Chu Dong Gua	ɡa?	ɡa?	g a ʔ		1403	24.330889	98.393125		1 7 1	AXN	KAH	3	3.K.C 3.A.V 3.H.c	2.0 1.5 0.8	gaʔ	0	71	g a - ʔ
328	21_bite	bite	XiangZhaiTang	Xiang Zhai Tang	kɔɁ	kɔɁ	k ɔ ʔ	ruma1248	1403	24.323819	98.556639		1 7 1	AXN	KUH	16	16.K.C 16.U.V 16.H.c	2.0 1.5 0.8	kɔʔ	0	71	k ɔ - ʔ
329	21_bite	bite	PongNuea	Pong Nuea	kauɁ	kauɁ	k a u ʔ		1403	20.321525	99.866817		1 7 7 1	AXYN	KAYH	15	15.K.C 15.A.V 15.Y.V 15.H.c	2.0 1.5 1.3 0.8	kauʔ	0	71	k a u ʔ
330	21_bite	bite	NyaungGone	Nyaung Gone	kauʔ	kauʔ	k a u ʔ		1403	20.635025	96.545772		1 7 7 1	AXYN	KAYH	13	13.K.C 13.A.V 13.Y.V 13.H.c	2.0 1.5 1.3 0.8	kauʔ	0	71	k a u ʔ
331	21_bite	bite	NoeLae	Noe Lae	kauɁ	kauɁ	k a u ʔ		1403	19.941803	99.044742		1 7 7 1	AXYN	KAYH	12	12.K.C 12.A.V 12.Y.V 12.H.c	2.0 1.5 1.3 0.8	kauʔ	0	71	k a u ʔ
332	21_bite	bite	BanPaw	Ban Paw	kauɁ	kauɁ	k a u ʔ		1403	21.311225	99.557550		1 7 7 1	AXYN	KAYH	1	1.K.C 1.A.V 1.Y.V 1.H.c	2.0 1.5 1.3 0.8	kauʔ	0	71	k a u ʔ
333	21_bite	bite	ChaYeQing	Cha Ye Qing	ɡak	ɡak	g a k		1403	24.305717	98.463661		1 7 1	AXN	KAK	2	2.K.C 2.A.V 2.K.c	2.0 1.5 0.8	gak	0	71	g a - k
334	21_bite	bite	GuangKa	Guang Ka	ɡak	ɡak	g a k	ruma1248	1403	24.065714	97.796281		1 7 1	AXN	KAK	4	4.K.C 4.A.V 4.K.c	2.0 1.5 0.8	gak	0	71	g a - k
335	21_bite	bite	MangBang	Mang Bang	ɡɔk	ɡɔk	g ɔ k	ruma1248	1403	24.416392	98.399078		1 7 1	AXN	KUK	7	7.K.C 7.U.V 7.K.c	2.0 1.5 0.8	gɔk	0	71	g ɔ - k
336	21_bite	bite	NanSang	Nan Sang	kɔk	kɔk	k ɔ k	ruma1248	1403	24.019728	97.819736		1 7 1	AXN	KUK	11	11.K.C 11.U.V 11.K.c	2.0 1.5 0.8	kɔk	0	71	k ɔ - k
1427	91_black	black	NamHsan	Namhsan	ʥәm	ʥәm	dʑ ə m		163	22.965064	97.163239		2 7 4	AXN	CEM	10	10.C.C 10.E.V 10.M.c	2.0 1.5 0.8	dʑəm	0	89	dʑ ə m
1428	91_black	black	KhunHawt	Khun Hawt	ʥәm	ʥәm	dʑ ə m		163	22.965064	97.163239		2 7 4	AXN	CEM	6	6.C.C 6.E.V 6.M.c	2.0 1.5 0.8	dʑəm	0	89	dʑ ə m
1429	91_black	black	HtanHsan	Htan Hsan	ʥәm	ʥәm	dʑ ə m		163	22.675133	97.289942		2 7 4	AXN	CEM	5	5.C.C 5.E.V 5.M.c	2.0 1.5 0.8	dʑəm	0	89	dʑ ə m
1430	91_black	black	PangKham	Pangkham	vaŋ	vaŋ	v a ŋ		163	22.672097	97.161167		3 7 4	AXN	BAN	14	14.B.C 14.A.V 14.N.c	2.0 1.5 0.8	vaŋ	0	88	- - v a ŋ
1431	91_black	black	ManLoi	Man Loi	vaŋ	vaŋ	v a ŋ		163	22.636019	97.139264		3 7 4	AXN	BAN	8	8.B.C 8.A.V 8.N.c	2.0 1.5 0.8	vaŋ	0	88	- - v a ŋ
1432	91_black	black	MengDan	Meng Dan	vaŋ	vaŋ	v a ŋ	khan1274	163	24.296522	98.379886		3 7 4	AXN	BAN	9	9.B.C 9.A.V 9.N.c	2.0 1.5 0.8	vaŋ	0	88	- - v a ŋ
1433	91_black	black	ChuDongGua	Chu Dong Gua	vaŋ	vaŋ	v a ŋ		163	24.330889	98.393125		3 7 4	AXN	BAN	3	3.B.C 3.A.V 3.N.c	2.0 1.5 0.8	vaŋ	0	88	- - v a ŋ
1434	91_black	black	XiangZhaiTang	Xiang Zhai Tang	vɔŋ	vɔŋ	v ɔ ŋ	ruma1248	163	24.323819	98.556639		3 7 4	AXN	BUN	16	16.B.C 16.U.V 16.N.c	2.0 1.5 0.8	vɔŋ	0	88	- - v ɔ ŋ
1435	91_black	black	PongNuea	Pong Nuea	vɔŋ	vɔŋ	v ɔ ŋ		163	20.321525	99.866817		3 7 4	AXN	BUN	15	15.B.C 15.U.V 15.N.c	2.0 1.5 0.8	vɔŋ	0	88	- - v ɔ ŋ
1436	91_black	black	NyaungGone	Nyaung Gone	vɔk	vɔk	v ɔ k		163	20.635025	96.545772		3 7 1	AXN	BUK	13	13.B.C 13.U.V 13.K.c	2.0 1.5 0.8	vɔk	0	88	- - v ɔ k
1437	91_black	black	NoeLae	Noe Lae	vɔŋ	vɔŋ	v ɔ ŋ		163	19.941803	99.044742		3 7 4	AXN	BUN	12	12.B.C 12.U.V 12.N.c	2.0 1.5 0.8	vɔŋ	0	88	- - v ɔ ŋ
1438	91_black	black	BanPaw	Ban Paw	vɔŋ	vɔŋ	v ɔ ŋ		163	21.311225	99.557550		3 7 4	AXN	BUN	1	1.B.C 1.U.V 1.N.c	2.0 1.5 0.8	vɔŋ	0	88	- - v ɔ ŋ
1439	91_black	black	ChaYeQing	Cha Ye Qing	vaŋ	vaŋ	v a ŋ		163	24.305717	98.463661		3 7 4	AXN	BAN	2	2.B.C 2.A.V 2.N.c	2.0 1.5 0.8	vaŋ	0	88	- - v a ŋ
1440	91_black	black	GuangKa	Guang Ka	vɔŋ	vɔŋ	v ɔ ŋ	ruma1248	163	24.065714	97.796281		3 7 4	AXN	BUN	4	4.B.C 4.U.V 4.N.c	2.0 1.5 0.8	vɔŋ	0	88	- - v ɔ ŋ
1441	91_black	black	MangBang	Mang Bang	vɔŋ	vɔŋ	v ɔ ŋ	ruma1248	163	24.416392	98.399078		3 7 4	AXN	BUN	7	7.B.C 7.U.V 7.N.c	2.0 1.5 0.8	vɔŋ	0	88	- - v ɔ ŋ
1442	91_black	black	NanSang	Nan Sang	Ɂivɔŋ	Ɂivɔŋ	ʔ i v ɔ ŋ	ruma1248	163	24.019728	97.819736		1 7 3 7 4	AXBYN	HIBUN	11	11.H.C 11.I.V 11.B.C 11.U.V 11.N.c	2.0 1.5 1.75 1.3 0.8	ʔivɔŋ	0	88	ʔ i v ɔ ŋ
745	48_blood	blood	NamHsan	Namhsan	n̥aːm	n̥aːm	n̥ aː m		946	22.965064	97.163239		4 7 4	AXN	NAM	10	10.N.C 10.A.V 10.M.c	2.0 1.5 0.8	n̥aːm	0	105	n̥ aː m
746	48_blood	blood	KhunHawt	Khun Hawt	n̥aːm	n̥aːm	n̥ aː m		946	22.965064	97.163239		4 7 4	AXN	NAM	6	6.N.C 6.A.V 6.M.c	2.0 1.5 0.8	n̥aːm	0	105	n̥ aː m
747	48_blood	blood	HtanHsan	Htan Hsan	n̥aːm	n̥aːm	n̥ aː m		946	22.675133	97.289942		4 7 4	AXN	NAM	5	5.N.C 5.A.V 5.M.c	2.0 1.5 0.8	n̥aːm	0	105	n̥ aː m
748	48_blood	blood	PangKham	Pangkham	n̥a:m	n̥a:m	n̥ aː m		946	22.672097	97.161167		4 7 4	AXN	NAM	14	14.N.C 14.A.V 14.M.c	2.0 1.5 0.8	n̥aːm	0	105	n̥ aː m
749	48_blood	blood	ManLoi	Man Loi	n̥aːm	n̥aːm	n̥ aː m		946	22.636019	97.139264		4 7 4	AXN	NAM	8	8.N.C 8.A.V 8.M.c	2.0 1.5 0.8	n̥aːm	0	105	n̥ aː m
750	48_blood	blood	MengDan	Meng Dan	n̥ɛːm	n̥ɛːm	n̥ ɛː m	khan1274	946	24.296522	98.379886		4 7 4	AXN	NEM	9	9.N.C 9.E.V 9.M.c	2.0 1.5 0.8	n̥ɛːm	0	105	n̥ ɛː m
751	48_blood	blood	ChuDongGua	Chu Dong Gua	n̥aːm	n̥aːm	n̥ aː m		946	24.330889	98.393125		4 7 4	AXN	NAM	3	3.N.C 3.A.V 3.M.c	2.0 1.5 0.8	n̥aːm	0	105	n̥ aː m
752	48_blood	blood	XiangZhaiTang	Xiang Zhai Tang	n̥aːm	n̥aːm	n̥ aː m	ruma1248	946	24.323819	98.556639		4 7 4	AXN	NAM	16	16.N.C 16.A.V 16.M.c	2.0 1.5 0.8	n̥aːm	0	105	n̥ aː m
753	48_blood	blood	PongNuea	Pong Nuea	n̥aːm	n̥aːm	n̥ aː m		946	20.321525	99.866817		4 7 4	AXN	NAM	15	15.N.C 15.A.V 15.M.c	2.0 1.5 0.8	n̥aːm	0	105	n̥ aː m
754	48_blood	blood	NyaungGone	Nyaung Gone	n̥am	n̥am	n̥ a m		946	20.635025	96.545772		4 7 4	AXN	NAM	13	13.N.C 13.A.V 13.M.c	2.0 1.5 0.8	n̥am	0	105	n̥ a m
755	48_blood	blood	NoeLae	Noe Lae	n̥am	n̥am	n̥ a m		946	19.941803	99.044742		4 7 4	AXN	NAM	12	12.N.C 12.A.V 12.M.c	2.0 1.5 0.8	n̥am	0	105	n̥ a m
