Language,BanPaw,ChaYeQing,ChuDongGua,GuangKa,HtanHsan,KhunHawt,MangBang,ManLoi,MengDan,NamHsan,NanSang,NoeLae,NyaungGone,PangKham,PongNuea,XiangZhaiTang
BanPaw,0,0.29000000000000004,0.31999999999999995,0.30612244897959184,0.4444444444444444,0.4285714285714286,0.29000000000000004,0.33333333333333337,0.3737373737373737,0.46464646464646464,0.31313131313131315,0.06000000000000005,0.14141414141414144,0.29591836734693877,0.09090909090909094,0.22916666666666663
ChaYeQing,0.29000000000000004,0,0.29000000000000004,0.24489795918367352,0.4040404040404041,0.4285714285714286,0.25,0.2828282828282829,0.26262626262626265,0.4545454545454546,0.2525252525252525,0.29000000000000004,0.33333333333333337,0.2551020408163265,0.31313131313131315,0.21875
ChuDongGua,0.31999999999999995,0.29000000000000004,0,0.24489795918367352,0.303030303030303,0.326530612244898,0.26,0.26262626262626265,0.2222222222222222,0.3737373737373737,0.2727272727272727,0.31000000000000005,0.36363636363636365,0.24489795918367352,0.33333333333333337,0.29166666666666663
GuangKa,0.30612244897959184,0.24489795918367352,0.24489795918367352,0,0.3979591836734694,0.38144329896907214,0.10204081632653061,0.2857142857142857,0.3298969072164949,0.4387755102040817,0.11340206185567014,0.30612244897959184,0.31958762886597936,0.2680412371134021,0.2989690721649485,0.25531914893617025
HtanHsan,0.4444444444444444,0.4040404040404041,0.303030303030303,0.3979591836734694,0,0.15306122448979587,0.38383838383838387,0.2828282828282829,0.36734693877551017,0.21212121212121215,0.3571428571428571,0.43434343434343436,0.44897959183673475,0.30612244897959184,0.44897959183673475,0.34736842105263155
KhunHawt,0.4285714285714286,0.4285714285714286,0.326530612244898,0.38144329896907214,0.15306122448979587,0,0.3571428571428571,0.30612244897959184,0.35051546391752575,0.23469387755102045,0.3608247422680413,0.4387755102040817,0.44329896907216493,0.31958762886597936,0.4329896907216495,0.4042553191489362
MangBang,0.29000000000000004,0.25,0.26,0.10204081632653061,0.38383838383838387,0.3571428571428571,0,0.2828282828282829,0.3535353535353535,0.4040404040404041,0.101010101010101,0.29000000000000004,0.31313131313131315,0.2755102040816326,0.2828282828282829,0.25
ManLoi,0.33333333333333337,0.2828282828282829,0.26262626262626265,0.2857142857142857,0.2828282828282829,0.30612244897959184,0.2828282828282829,0,0.2857142857142857,0.3535353535353535,0.2857142857142857,0.3232323232323232,0.34693877551020413,0.11224489795918369,0.33673469387755106,0.2947368421052632
MengDan,0.3737373737373737,0.26262626262626265,0.2222222222222222,0.3298969072164949,0.36734693877551017,0.35051546391752575,0.3535353535353535,0.2857142857142857,0,0.41836734693877553,0.34693877551020413,0.36363636363636365,0.3877551020408163,0.2680412371134021,0.36734693877551017,0.34736842105263155
NamHsan,0.46464646464646464,0.4545454545454546,0.3737373737373737,0.4387755102040817,0.21212121212121215,0.23469387755102045,0.4040404040404041,0.3535353535353535,0.41836734693877553,0,0.4285714285714286,0.46464646464646464,0.47959183673469385,0.326530612244898,0.4693877551020408,0.41052631578947374
NanSang,0.31313131313131315,0.2525252525252525,0.2727272727272727,0.11340206185567014,0.3571428571428571,0.3608247422680413,0.101010101010101,0.2857142857142857,0.34693877551020413,0.4285714285714286,0,0.31313131313131315,0.326530612244898,0.28865979381443296,0.30612244897959184,0.25263157894736843
NoeLae,0.06000000000000005,0.29000000000000004,0.31000000000000005,0.30612244897959184,0.43434343434343436,0.4387755102040817,0.29000000000000004,0.3232323232323232,0.36363636363636365,0.46464646464646464,0.31313131313131315,0,0.101010101010101,0.2857142857142857,0.06060606060606055,0.20833333333333337
NyaungGone,0.14141414141414144,0.33333333333333337,0.36363636363636365,0.31958762886597936,0.44897959183673475,0.44329896907216493,0.31313131313131315,0.34693877551020413,0.3877551020408163,0.47959183673469385,0.326530612244898,0.101010101010101,0,0.30927835051546393,0.12244897959183676,0.2315789473684211
PangKham,0.29591836734693877,0.2551020408163265,0.24489795918367352,0.2680412371134021,0.30612244897959184,0.31958762886597936,0.2755102040816326,0.11224489795918369,0.2680412371134021,0.326530612244898,0.28865979381443296,0.2857142857142857,0.30927835051546393,0,0.2989690721649485,0.3085106382978723
PongNuea,0.09090909090909094,0.31313131313131315,0.33333333333333337,0.2989690721649485,0.44897959183673475,0.4329896907216495,0.2828282828282829,0.33673469387755106,0.36734693877551017,0.4693877551020408,0.30612244897959184,0.06060606060606055,0.12244897959183676,0.2989690721649485,0,0.21875
XiangZhaiTang,0.22916666666666663,0.21875,0.29166666666666663,0.25531914893617025,0.34736842105263155,0.4042553191489362,0.25,0.2947368421052632,0.34736842105263155,0.41052631578947374,0.25263157894736843,0.20833333333333337,0.2315789473684211,0.3085106382978723,0.21875,0
