ID	ALIGNMENT	COGIDS	COGNACY	CONCEPT	CONCEPTICON	DOCULECT	FORM	GLOTTOLOG	LANGUAGE_NAME	LATITUDE	LONGITUDE	PARAMETER_ID	TOKENS	VALUE	NOTE	COGID	MORPHEMES
1	s a + ŋ iː -	1858 1859	None	sun	1343	NamHsan	saŋiː	None	Namhsan	22.965064	97.163239	1_sun	s a + ŋ iː	saŋiː			
2	s a + ŋ iː -	1858 1859	None	sun	1343	KhunHawt	saŋiː	None	Khun Hawt	22.965064	97.163239	1_sun	s a + ŋ iː	saŋiː			_-:suffix/sa ?
3	s a + ŋ iː -	1858 1859	None	sun	1343	HtanHsan	saŋiː	None	Htan Hsan	22.675133	97.289942	1_sun	s a + ŋ iː	saŋiː			_-:suffix/sa ?
4	s a + ŋ a j	1858 1859	None	sun	1343	PangKham	saŋaj	None	Pangkham	22.672097	97.161167	1_sun	s a + ŋ a j	saŋaj			
5	s a + ŋ a j	1858 1859	None	sun	1343	ManLoi	saŋaj	None	Man Loi	22.636019	97.139264	1_sun	s a + ŋ a j	saŋaj			
6	ŋ ə j	1859	None	sun	1343	MengDan	ŋəj	khan1274	Meng Dan	24.296522	98.379886	1_sun	ŋ ə j	ŋəj			
7	s ə + ŋ ɔ j	1813 1859	None	sun	1343	ChuDongGua	səŋɔj	None	Chu Dong Gua	24.330889	98.393125	1_sun	s ə + ŋ ɔ j	səŋɔj			star ?
8	s a + ŋ ɛː -	1858 1859	None	sun	1343	XiangZhaiTang	saŋɛː	ruma1248	Xiang Zhai Tang	24.323819	98.556639	1_sun	s a + ŋ ɛː	saŋɛː			
9	s a + ŋ ɛ j	1858 1859	None	sun	1343	PongNuea	saŋɛj	None	Pong Nuea	20.321525	99.866817	1_sun	s a + ŋ ɛ j	saŋɛj			
10	s a + ŋ ɛ -	1858 1859	None	sun	1343	NyaungGone	saŋɛ	None	Nyaung Gone	20.635025	96.545772	1_sun	s a + ŋ ɛ	saŋɛ			
11	s a + ŋ ɛ -	1858 1859	None	sun	1343	NoeLae	saŋɛ	None	Noe Lae	19.941803	99.044742	1_sun	s a + ŋ ɛ	saŋɛ			
12	s a + ŋ ɛ -	1563 1859	None	sun	1343	BanPaw	saŋɛ	None	Ban Paw	21.311225	99.557550	1_sun	s a + ŋ ɛ	saŋɛ			_-:prefix/sa ?
13	kʰ a + ŋ a j	1322 1859	None	sun	1343	ChaYeQing	khaŋaj	None	Cha Ye Qing	24.305717	98.463661	1_sun	kʰ a + ŋ a j	khaŋaj			_-:prefix/kha ?
14	s a + ŋ a j	1858 1859	None	sun	1343	GuangKa	saŋaj	ruma1248	Guang Ka	24.065714	97.796281	1_sun	s a + ŋ a j	saŋaj			_-:suffix/sa ?
15	s a + ŋ a j	1858 1859	None	sun	1343	MangBang	saŋaj	ruma1248	Mang Bang	24.416392	98.399078	1_sun	s a + ŋ a j	saŋaj			
16	s a + ŋ a j	1858 1859	None	sun	1343	NanSang	saŋaj	ruma1248	Nan Sang	24.019728	97.819736	1_sun	s a + ŋ a j	saŋaj			
17	b l a n + k i/j əː r	1152 1151	None	moon	1313	NamHsan	blaŋkiәːr	None	Namhsan	22.965064	97.163239	2_moon	b l a n + k i/j əː r	blaŋkiәːr			
18	p - a n + k i/j a -	1152 1151	None	moon	1313	KhunHawt	paŋkia	None	Khun Hawt	22.965064	97.163239	2_moon	p a n + k i/j a	paŋkia			
19	b - a n + k i/j a -	1152 1151	None	moon	1313	HtanHsan	baŋkia	None	Htan Hsan	22.675133	97.289942	2_moon	b a n + k i/j a	baŋkia			
20	b l a n + g i/j a n	1152 1151	None	moon	1313	PangKham	blaŋɡian	None	Pangkham	22.672097	97.161167	2_moon	b l a n + g i/j a n	blaŋɡian			
21	b l a n + g i/j aː -	1152 1151	None	moon	1313	ManLoi	blaŋɡiaː	None	Man Loi	22.636019	97.139264	2_moon	b l a n + g i/j aː	blaŋɡiaː			
22	b l a n + g i/j a r	1152 1151	None	moon	1313	MengDan	blaŋɡiar	khan1274	Meng Dan	24.296522	98.379886	2_moon	b l a n + g i/j a r	blaŋɡiar			
23	b l a n + k i/j a r	1152 1151	None	moon	1313	ChuDongGua	blaŋkiar	None	Chu Dong Gua	24.330889	98.393125	2_moon	b l a n + k i/j a r	blaŋkiar			
24	m ə + g i/j a n	1150 1151	None	moon	1313	XiangZhaiTang	məɡian	ruma1248	Xiang Zhai Tang	24.323819	98.556639	2_moon	m ə + g i/j a n	məɡian			
25	m a + g i/j a n	1150 1151	None	moon	1313	PongNuea	maɡian	None	Pong Nuea	20.321525	99.866817	2_moon	m a + g i/j a n	maɡian			
26	m a + g i/j a n	1150 1151	None	moon	1313	NyaungGone	maɡian	None	Nyaung Gone	20.635025	96.545772	2_moon	m a + g i/j a n	maɡian			
27	m a + g i/j a n	1150 1151	None	moon	1313	NoeLae	maɡian	None	Noe Lae	19.941803	99.044742	2_moon	m a + g i/j a n	maɡian			
28	m a + g i/j a n	1110 1151	None	moon	1313	BanPaw	maɡian	None	Ban Paw	21.311225	99.557550	2_moon	m a + g i/j a n	maɡian			_-prefix/ma ?
29	- l ə n + l aː w	1152 1153	None	moon	1313	ChaYeQing	lənlaːw	None	Cha Ye Qing	24.305717	98.463661	2_moon	l ə n + l aː w	lənlaːw			
30	p - a - + k j əː -	1152 1151	None	moon	1313	GuangKa	pakjəː	ruma1248	Guang Ka	24.065714	97.796281	2_moon	p a + k j əː	pakjəː			
31	p - a - + k j əː -	1152 1151	None	moon	1313	MangBang	pakjəː	ruma1248	Mang Bang	24.416392	98.399078	2_moon	p a + k j əː	pakjəː			
32	p - a - + k j əː -	1152 1151	None	moon	1313	NanSang	pakjəː	ruma1248	Nan Sang	24.019728	97.819736	2_moon	p a + k j əː	pakjəː			
33	s a + m ɛ ŋ	1813 1814	None	star	1430	NamHsan	samɛŋ	None	Namhsan	22.965064	97.163239	3_star	s a + m ɛ ŋ	samɛŋ			
34	s ə + m e ɲ	1813 1814	None	star	1430	KhunHawt	sәmeɲ	None	Khun Hawt	22.965064	97.163239	3_star	s ə + m e ɲ	sәmeɲ			
35	s a + m e ɲ	1813 1814	None	star	1430	HtanHsan	sameɲ	None	Htan Hsan	22.675133	97.289942	3_star	s a + m e ɲ	sameɲ			_-:suffix/sa ?
36	p l aː ŋ	1817	None	star	1430	PangKham	plaːŋ	None	Pangkham	22.672097	97.161167	3_star	p l aː ŋ	plaːŋ			
37	p l aː ŋ	1817	None	star	1430	ManLoi	plaːŋ	None	Man Loi	22.636019	97.139264	3_star	p l aː ŋ	plaːŋ			
38	k ə + m a n	1815 1814	None	star	1430	MengDan	kəman	khan1274	Meng Dan	24.296522	98.379886	3_star	k ə + m a n	kəman			
39	s ə + m a ɲ	1813 1814	None	star	1430	ChuDongGua	səmaɲ	None	Chu Dong Gua	24.330889	98.393125	3_star	s ə + m a ɲ	səmaɲ			star ?
40	s a + m ɛ ɲ	1813 1814	None	star	1430	XiangZhaiTang	samɛɲ	ruma1248	Xiang Zhai Tang	24.323819	98.556639	3_star	s a + m ɛ ɲ	samɛɲ			
41	s a + m a ɲ	1813 1814	None	star	1430	PongNuea	samaɲ	None	Pong Nuea	20.321525	99.866817	3_star	s a + m a ɲ	samaɲ			
42	s a + m ă n	1813 1814	None	star	1430	NyaungGone	samăn	None	Nyaung Gone	20.635025	96.545772	3_star	s a + m ă n	samăn			
43	s a + m ă ɲ	1813 1814	None	star	1430	NoeLae	samăɲ	None	Noe Lae	19.941803	99.044742	3_star	s a + m ă ɲ	samăɲ			
44	s a + m ă n	1563 1814	None	star	1430	BanPaw	samăn	None	Ban Paw	21.311225	99.557550	3_star	s a + m ă n	samăn			_-:prefix/sa ?
45	kʰ a + m a n	1322 1814	None	star	1430	ChaYeQing	khaman	None	Cha Ye Qing	24.305717	98.463661	3_star	kʰ a + m a n	khaman			_-:prefix/kha ?
