ID	ALIGNMENT	COGIDS	COGNACY	CONCEPT	CONCEPTICON	DOCULECT	FORM	GLOTTOLOG	LANGUAGE_NAME	LATITUDE	LONGITUDE	PARAMETER_ID	TOKENS	VALUE	NOTE	COGID	MORPHEMES
46	l aː w	1816	None	star	1430	GuangKa	laːw	ruma1248	Guang Ka	24.065714	97.796281	3_star	l aː w	laːw			
47	l aː w	1816	None	star	1430	MangBang	laːw	ruma1248	Mang Bang	24.416392	98.399078	3_star	l aː w	laːw			
48	l aː w	1816	None	star	1430	NanSang	laːw	ruma1248	Nan Sang	24.019728	97.819736	3_star	l aː w	laːw			
49	ʔ uː t	241	None	cloud	1489	NamHsan	Ɂuːt	None	Namhsan	22.965064	97.163239	4_cloud	ʔ uː t	Ɂuːt			
50	ʔ uː t	241	None	cloud	1489	KhunHawt	Ɂuːt	None	Khun Hawt	22.965064	97.163239	4_cloud	ʔ uː t	Ɂuːt			
51	ʔ uː ʔ	241	None	cloud	1489	HtanHsan	ɁuːɁ	None	Htan Hsan	22.675133	97.289942	4_cloud	ʔ uː ʔ	ɁuːɁ			
52	ʔ a - + ʔ uː t	245 241	None	cloud	1489	PangKham	ɁaɁuːt	None	Pangkham	22.672097	97.161167	4_cloud	ʔ a + ʔ uː t	ɁaɁuːt			
53	ʔ a - + ʔ u t	244 241	None	cloud	1489	ManLoi	ɁaɁut	None	Man Loi	22.636019	97.139264	4_cloud	ʔ a + ʔ u t	ɁaɁut			
54	ʔ uː t	241	None	cloud	1489	MengDan	ʔuːt	khan1274	Meng Dan	24.296522	98.379886	4_cloud	ʔ uː t	ʔuːt			
55	k ɨ + ʔ uː t	242 241	None	cloud	1489	ChuDongGua	kɨʔuːt	None	Chu Dong Gua	24.330889	98.393125	4_cloud	k ɨ + ʔ uː t	kɨʔuːt			
56	Ø/ə ŋ + ʔ u ʔ	240 241	None	cloud	1489	XiangZhaiTang	ŋɁuɁ	ruma1248	Xiang Zhai Tang	24.323819	98.556639	4_cloud	Ø/ə ŋ + ʔ u ʔ	ŋɁuɁ			
57	Ø/ə ŋ + ʔ u ʔ	240 241	None	cloud	1489	PongNuea	ŋɁuɁ	None	Pong Nuea	20.321525	99.866817	4_cloud	Ø/ə ŋ + ʔ u ʔ	ŋɁuɁ			
58	Ø/ə ŋ + ʔ u ʔ	240 241	None	cloud	1489	NyaungGone	ŋ ʔuʔ	None	Nyaung Gone	20.635025	96.545772	4_cloud	Ø/ə ŋ + ʔ u ʔ	ŋ ʔuʔ			
59	Ø/ə ŋ + ʔ u	240 241	None	cloud	1489	NoeLae	ŋ Ɂu	None	Noe Lae	19.941803	99.044742	4_cloud	Ø/ə ŋ + ʔ u	ŋ Ɂu			
60	Ø/ə ŋ + ʔ u ʔ	1218 241	None	cloud	1489	BanPaw	ŋ ɁuɁ	None	Ban Paw	21.311225	99.557550	4_cloud	Ø/ə ŋ + ʔ u ʔ	ŋ ɁuɁ			_-prefix/ŋ ?
61	Ø/ə ŋ + ʔ uː ʔ	240 241	None	cloud	1489	ChaYeQing	ŋɁuːɁ	None	Cha Ye Qing	24.305717	98.463661	4_cloud	Ø/ə ŋ + ʔ uː ʔ	ŋɁuːɁ			
62	ʔ o ŋ + ʔ uː ʔ	243 241	None	cloud	1489	GuangKa	ɁoŋɁuːɁ	ruma1248	Guang Ka	24.065714	97.796281	4_cloud	ʔ o ŋ + ʔ uː ʔ	ɁoŋɁuːɁ			
63	Ø/ə ŋ + ʔ u ʔ	240 241	None	cloud	1489	MangBang	ŋɁuɁ	ruma1248	Mang Bang	24.416392	98.399078	4_cloud	Ø/ə ŋ + ʔ u ʔ	ŋɁuɁ			
64	Ø/ə ŋ + ʔ uː ʔ	240 241	None	cloud	1489	NanSang	ŋɁuːɁ	ruma1248	Nan Sang	24.019728	97.819736	4_cloud	Ø/ə ŋ + ʔ uː ʔ	ŋɁuːɁ			
65	tɕ u ŋ	1460	None	rain	2108	NamHsan	ʨuŋ	None	Namhsan	22.965064	97.163239	5_rain	tɕ u ŋ	ʨuŋ			
66	dʑ o ŋ	1460	None	rain	2108	KhunHawt	ʥoŋ	None	Khun Hawt	22.965064	97.163239	5_rain	dʑ o ŋ	ʥoŋ			
67	dʑ uː ŋ	1460	None	rain	2108	HtanHsan	ʥuːŋ	None	Htan Hsan	22.675133	97.289942	5_rain	dʑ uː ŋ	ʥuːŋ			
68	g l aːi̯	1459	None	rain	2108	PangKham	ɡlaːj	None	Pangkham	22.672097	97.161167	5_rain	g l aːi̯	ɡlaːj			
69	g l aːi̯	1459	None	rain	2108	ManLoi	ɡlaːj	None	Man Loi	22.636019	97.139264	5_rain	g l aːi̯	ɡlaːj			
70	g l aːi̯	1459	None	rain	2108	MengDan	ɡlaːj	khan1274	Meng Dan	24.296522	98.379886	5_rain	g l aːi̯	ɡlaːj			
71	k l ai̯ -	1459	None	rain	2108	ChuDongGua	klaj	None	Chu Dong Gua	24.330889	98.393125	5_rain	k l ai̯	klaj			
72	g l aːi̯	1459	None	rain	2108	XiangZhaiTang	ɡlaːj	ruma1248	Xiang Zhai Tang	24.323819	98.556639	5_rain	g l aːi̯	ɡlaːj			
73	g l aːi̯	1459	None	rain	2108	PongNuea	ɡlaːj	None	Pong Nuea	20.321525	99.866817	5_rain	g l aːi̯	ɡlaːj			
74	g l ai̯ -	1459	None	rain	2108	NyaungGone	ɡlaj	None	Nyaung Gone	20.635025	96.545772	5_rain	g l ai̯	ɡlaj			
75	g l ai̯ -	1459	None	rain	2108	NoeLae	ɡlaj	None	Noe Lae	19.941803	99.044742	5_rain	g l ai̯	ɡlaj			
76	g l ai̯ -	1459	None	rain	2108	BanPaw	ɡlaj	None	Ban Paw	21.311225	99.557550	5_rain	g l ai̯	ɡlaj			
77	g l aːi̯	1459	None	rain	2108	ChaYeQing	ɡlaːj	None	Cha Ye Qing	24.305717	98.463661	5_rain	g l aːi̯	ɡlaːj			
78	k l aːi̯	1459	None	rain	2108	GuangKa	klaːj	ruma1248	Guang Ka	24.065714	97.796281	5_rain	k l aːi̯	klaːj			
79	k l aːi̯	1459	None	rain	2108	MangBang	klaːj	ruma1248	Mang Bang	24.416392	98.399078	5_rain	k l aːi̯	klaːj			
80	k l aːi̯	1459	None	rain	2108	NanSang	klaːj	ruma1248	Nan Sang	24.019728	97.819736	5_rain	k l aːi̯	klaːj			
81	kʰ uː r	2163	None	wind	960	NamHsan	khuːr	None	Namhsan	22.965064	97.163239	6_wind	kʰ uː r	khuːr			
82	kʰ uː r	2163	None	wind	960	KhunHawt	khuːr	None	Khun Hawt	22.965064	97.163239	6_wind	kʰ uː r	khuːr			
83	kʰ uː r	2163	None	wind	960	HtanHsan	khuːr	None	Htan Hsan	22.675133	97.289942	6_wind	kʰ uː r	khuːr			
84	kʰ uː n	2163	None	wind	960	PangKham	khuːn	None	Pangkham	22.672097	97.161167	6_wind	kʰ uː n	khuːn			
85	kʰ uː -	2163	None	wind	960	ManLoi	khuː	None	Man Loi	22.636019	97.139264	6_wind	kʰ uː	khuː			
86	kʰ uː r	2163	None	wind	960	MengDan	khuːr	khan1274	Meng Dan	24.296522	98.379886	6_wind	kʰ uː r	khuːr			
87	kʰ uː r	2163	None	wind	960	ChuDongGua	khuːr	None	Chu Dong Gua	24.330889	98.393125	6_wind	kʰ uː r	khuːr			
88	kʰ uː n	2163	None	wind	960	XiangZhaiTang	khuːn	ruma1248	Xiang Zhai Tang	24.323819	98.556639	6_wind	kʰ uː n	khuːn			
89	kʰ uː n	2163	None	wind	960	PongNuea	khuːn	None	Pong Nuea	20.321525	99.866817	6_wind	kʰ uː n	khuːn			
90	kʰ u n	2163	None	wind	960	NyaungGone	khun	None	Nyaung Gone	20.635025	96.545772	6_wind	kʰ u n	khun			
91	kʰ u n	2163	None	wind	960	NoeLae	khun	None	Noe Lae	19.941803	99.044742	6_wind	kʰ u n	khun			
92	kʰ u n	2163	None	wind	960	BanPaw	khun	None	Ban Paw	21.311225	99.557550	6_wind	kʰ u n	khun			
93	kʰ uː -	2163	None	wind	960	ChaYeQing	khuː	None	Cha Ye Qing	24.305717	98.463661	6_wind	kʰ uː	khuː			
94	kʰ uː -	2163	None	wind	960	GuangKa	khuː	ruma1248	Guang Ka	24.065714	97.796281	6_wind	kʰ uː	khuː			
95	kʰ uː -	2163	None	wind	960	MangBang	khuː	ruma1248	Mang Bang	24.416392	98.399078	6_wind	kʰ uː	khuː			
96	kʰ uː -	2163	None	wind	960	NanSang	khuː	ruma1248	Nan Sang	24.019728	97.819736	6_wind	kʰ uː	khuː			
97	r a + m̥ əɯ	1325 1323	None	night	1233	NamHsan	ram̥әɯ	None	Namhsan	22.965064	97.163239	7_night	r a + m̥ əɯ	ram̥әɯ			
98	l a p + m̥ əː - -	1326 1323	None	night	1233	KhunHawt	lapm̥әː	None	Khun Hawt	22.965064	97.163239	7_night	l a p + m̥ əː	lapm̥әː			
99	r ə n + m̥ əː - -	1325 1323	None	night	1233	HtanHsan	rәnm̥әː	None	Htan Hsan	22.675133	97.289942	7_night	r ə n + m̥ əː	rәnm̥әː			
100	kʰ i m + m̥ əɯ	1322 1323	None	night	1233	PangKham	khimm̥әɯ	None	Pangkham	22.672097	97.161167	7_night	kʰ i m + m̥ əɯ	khimm̥әɯ			
101	kʰ iː + m̥ əɯ	1322 1323	None	night	1233	ManLoi	khiːm̥әɯ	None	Man Loi	22.636019	97.139264	7_night	kʰ iː + m̥ əɯ	khiːm̥әɯ			
102	kʰ iːu̯ - + m̥ əɯ - -	1322 1323	None	night	1233	MengDan	khiːw m̥əɯ	khan1274	Meng Dan	24.296522	98.379886	7_night	kʰ iːu̯ + m̥ əɯ	khiːw m̥əɯ			
103	kʰ a - + m̥ ɯ - -	1322 1323	None	night	1233	ChuDongGua	kham̥ɯ	None	Chu Dong Gua	24.330889	98.393125	7_night	kʰ a + m̥ ɯ	kham̥ɯ			
104	tɕ u ŋ + m̥ əɯ	1325 1323	None	night	1233	XiangZhaiTang	ʨuŋm̥əɯ	ruma1248	Xiang Zhai Tang	24.323819	98.556639	7_night	tɕ u ŋ + m̥ əɯ	ʨuŋm̥əɯ			
105	kʰ ɛ + m̥ əɯ	1322 1323	None	night	1233	PongNuea	khɛm̥әɯ	None	Pong Nuea	20.321525	99.866817	7_night	kʰ ɛ + m̥ əɯ	khɛm̥әɯ			
106	p a + m̥ ə - -	1327 1323	None	night	1233	NyaungGone	pam̥ə	None	Nyaung Gone	20.635025	96.545772	7_night	p a + m̥ ə	pam̥ə			
107	kʰ ɛ - + m̥ ə - -	1322 1323	None	night	1233	NoeLae	khɛm̥ə	None	Noe Lae	19.941803	99.044742	7_night	kʰ ɛ + m̥ ə	khɛm̥ə			
108	kʰ ɛ - + m̥ ə - -	1322 1323	None	night	1233	BanPaw	khɛm̥ə	None	Ban Paw	21.311225	99.557550	7_night	kʰ ɛ + m̥ ə	khɛm̥ə			
109	kʰ a + m̥ eːu̯	1322 1323	None	night	1233	ChaYeQing	kham̥eːw	None	Cha Ye Qing	24.305717	98.463661	7_night	kʰ a + m̥ eːu̯	kham̥eːw			_-:prefix/kha ?
110	k a - + s ɛ m	1062 1324	None	night	1233	GuangKa	kasɛm	ruma1248	Guang Ka	24.065714	97.796281	7_night	k a + s ɛ m	kasɛm			_-:suffix/ka ?
111	k a - + s ə m	1322 1324	None	night	1233	MangBang	kasəm	ruma1248	Mang Bang	24.416392	98.399078	7_night	k a + s ə m	kasəm			
112	k a - + s ə m	1322 1324	None	night	1233	NanSang	kasəm	ruma1248	Nan Sang	24.019728	97.819736	7_night	k a + s ə m	kasəm			
113	s a + n ə m	2180 2181	None	year	1226	NamHsan	sanәm	None	Namhsan	22.965064	97.163239	8_year	s a + n ə m	sanәm			
114	s a + n ə m	1858 2181	None	year	1226	KhunHawt	sanәm	None	Khun Hawt	22.965064	97.163239	8_year	s a + n ə m	sanәm			_-:suffix/sa ?
115	s ə + n ə m	2180 2181	None	year	1226	HtanHsan	sәnәm	None	Htan Hsan	22.675133	97.289942	8_year	s ə + n ə m	sәnәm			
116	s a + n a m	2180 2181	None	year	1226	PangKham	sanam	None	Pangkham	22.672097	97.161167	8_year	s a + n a m	sanam			
117	s a + n a m	2180 2181	None	year	1226	ManLoi	sanam	None	Man Loi	22.636019	97.139264	8_year	s a + n a m	sanam			
118	s ə + n a m	2180 2181	None	year	1226	MengDan	sənam	khan1274	Meng Dan	24.296522	98.379886	8_year	s ə + n a m	sənam			
119	s a + n ɔ m	2180 2181	None	year	1226	ChuDongGua	sanɔm	None	Chu Dong Gua	24.330889	98.393125	8_year	s a + n ɔ m	sanɔm			
120	s a + n ə m	2180 2181	None	year	1226	XiangZhaiTang	sanəm	ruma1248	Xiang Zhai Tang	24.323819	98.556639	8_year	s a + n ə m	sanəm			
121	s a + n ə m	2180 2181	None	year	1226	PongNuea	sanəm	None	Pong Nuea	20.321525	99.866817	8_year	s a + n ə m	sanəm			
122	s a + n ă m	2180 2181	None	year	1226	NyaungGone	sanăm	None	Nyaung Gone	20.635025	96.545772	8_year	s a + n ă m	sanăm			
123	s a + n ə̆ m	2180 2181	None	year	1226	NoeLae	sanə̆m	None	Noe Lae	19.941803	99.044742	8_year	s a + n ə̆ m	sanə̆m			
124	s a + n ă m	1563 2181	None	year	1226	BanPaw	sanăm	None	Ban Paw	21.311225	99.557550	8_year	s a + n ă m	sanăm			_-:prefix/sa ?
125	kʰ a + n a m	1322 2181	None	year	1226	ChaYeQing	khanam	None	Cha Ye Qing	24.305717	98.463661	8_year	kʰ a + n a m	khanam			_-:prefix/kha ?
126	s a + n a m	1858 2181	None	year	1226	GuangKa	sanam	ruma1248	Guang Ka	24.065714	97.796281	8_year	s a + n a m	sanam			_-:suffix/sa ?
127	s a + n a m	2180 2181	None	year	1226	MangBang	sanam	ruma1248	Mang Bang	24.416392	98.399078	8_year	s a + n a m	sanam			
128	s a + n a m	2180 2181	None	year	1226	NanSang	sanam	ruma1248	Nan Sang	24.019728	97.819736	8_year	s a + n a m	sanam			
129	ʔ oː m	2060	None	water	948	NamHsan	ʔoːm	None	Namhsan	22.965064	97.163239	9_water	ʔ oː m	ʔoːm			
130	ʔ oː m	2060	None	water	948	KhunHawt	ʔoːm	None	Khun Hawt	22.965064	97.163239	9_water	ʔ oː m	ʔoːm			
131	ʔ oː m	2060	None	water	948	HtanHsan	ʔoːm	None	Htan Hsan	22.675133	97.289942	9_water	ʔ oː m	ʔoːm			
132	ʔ oː m	2060	None	water	948	PangKham	ʔoːm	None	Pangkham	22.672097	97.161167	9_water	ʔ oː m	ʔoːm			
133	ʔ oː m	2060	None	water	948	ManLoi	ʔoːm	None	Man Loi	22.636019	97.139264	9_water	ʔ oː m	ʔoːm			
134	ʔ uː m	2060	None	water	948	MengDan	ʔuːm	khan1274	Meng Dan	24.296522	98.379886	9_water	ʔ uː m	ʔuːm			
135	ʔ uː m	2060	None	water	948	ChuDongGua	ʔuːm	None	Chu Dong Gua	24.330889	98.393125	9_water	ʔ uː m	ʔuːm			
136	ʔ ɨ m	2060	None	water	948	XiangZhaiTang	Ɂɨm	ruma1248	Xiang Zhai Tang	24.323819	98.556639	9_water	ʔ ɨ m	Ɂɨm			
137	ʔ ɨ m	2060	None	water	948	PongNuea	ʔɨm	None	Pong Nuea	20.321525	99.866817	9_water	ʔ ɨ m	ʔɨm			
138	ʔ ɨ m	2060	None	water	948	NyaungGone	ʔɨm	None	Nyaung Gone	20.635025	96.545772	9_water	ʔ ɨ m	ʔɨm			
139	ʔ ɨ m	2060	None	water	948	NoeLae	ʔɨm	None	Noe Lae	19.941803	99.044742	9_water	ʔ ɨ m	ʔɨm			
140	ʔ ɨ m	2060	None	water	948	BanPaw	Ɂɨm	None	Ban Paw	21.311225	99.557550	9_water	ʔ ɨ m	Ɂɨm			
141	ʔ ɛ m	2060	None	water	948	ChaYeQing	ʔɛm	None	Cha Ye Qing	24.305717	98.463661	9_water	ʔ ɛ m	ʔɛm			
142	ʔ ɛ m	2060	None	water	948	GuangKa	ʔɛm	ruma1248	Guang Ka	24.065714	97.796281	9_water	ʔ ɛ m	ʔɛm			
143	ʔ ə m	2060	None	water	948	MangBang	Ɂəm	ruma1248	Mang Bang	24.416392	98.399078	9_water	ʔ ə m	Ɂəm			
144	ʔ ə m	2060	None	water	948	NanSang	Ɂəm	ruma1248	Nan Sang	24.019728	97.819736	9_water	ʔ ə m	Ɂəm			
145	k ə - + ɗ ɛː -	409 410	None	earth, soil	1228	NamHsan	kәɗɛː	None	Namhsan	22.965064	97.163239	10_earthsoil	k ə + ɗ ɛː	kәɗɛː			
146	k ə n + d ɛi̯	409 410	None	earth, soil	1228	KhunHawt	kәndɛj	None	Khun Hawt	22.965064	97.163239	10_earthsoil	k ə n + d ɛi̯	kәndɛj			
147	k a - + ɗ ei̯ -	1027 410	None	earth, soil	1228	HtanHsan	kaɗej	None	Htan Hsan	22.675133	97.289942	10_earthsoil	k a + ɗ ei̯	kaɗej			_-:suffix/ka ?
148	k a + ɗ aːi̯	409 410	None	earth, soil	1228	PangKham	kaɗaːj	None	Pangkham	22.672097	97.161167	10_earthsoil	k a + ɗ aːi̯	kaɗaːj			
149	k a + ɗ aːi̯	409 410	None	earth, soil	1228	ManLoi	kaɗaːj	None	Man Loi	22.636019	97.139264	10_earthsoil	k a + ɗ aːi̯	kaɗaːj			
150	k ə - + d ai̯ -	409 410	None	earth, soil	1228	MengDan	kədaj	khan1274	Meng Dan	24.296522	98.379886	10_earthsoil	k ə + d ai̯	kədaj			
151	k a + ɗ aːi̯	1062 410	None	earth, soil	1228	ChuDongGua	kaɗaːj	None	Chu Dong Gua	24.330889	98.393125	10_earthsoil	k a + ɗ aːi̯	kaɗaːj			_-:suffix/ka ?
152	k a + d ɛːi̯	409 410	None	earth, soil	1228	XiangZhaiTang	kadɛːj	ruma1248	Xiang Zhai Tang	24.323819	98.556639	10_earthsoil	k a + d ɛːi̯	kadɛːj			
153	k a + d aːi̯	409 410	None	earth, soil	1228	PongNuea	kadaːj	None	Pong Nuea	20.321525	99.866817	10_earthsoil	k a + d aːi̯	kadaːj			
154	k a - + d ai̯ -	409 410	None	earth, soil	1228	NyaungGone	kadaj	None	Nyaung Gone	20.635025	96.545772	10_earthsoil	k a + d ai̯	kadaj			
155	k a - + d ai̯ -	409 410	None	earth, soil	1228	NoeLae	kadaj	None	Noe Lae	19.941803	99.044742	10_earthsoil	k a + d ai̯	kadaj			
156	k a - + d ai̯ -	1062 410	None	earth, soil	1228	BanPaw	kadaj	None	Ban Paw	21.311225	99.557550	10_earthsoil	k a + d ai̯	kadaj			_-prefix/ka ?
157	k a + d aːi̯	1062 410	None	earth, soil	1228	ChaYeQing	kadaːj	None	Cha Ye Qing	24.305717	98.463661	10_earthsoil	k a + d aːi̯	kadaːj			_-:prefix/ka ?
158	k a + t aːi̯	1062 410	None	earth, soil	1228	GuangKa	kataːj	ruma1248	Guang Ka	24.065714	97.796281	10_earthsoil	k a + t aːi̯	kataːj			_-:suffix/ka ?
159	k a + t aːi̯	409 410	None	earth, soil	1228	MangBang	kataːj	ruma1248	Mang Bang	24.416392	98.399078	10_earthsoil	k a + t aːi̯	kataːj			
160	k a + t aːi̯	409 410	None	earth, soil	1228	NanSang	kataːj	ruma1248	Nan Sang	24.019728	97.819736	10_earthsoil	k a + t aːi̯	kataːj			
161	m oː -	1841	None	stone	1762	NamHsan	moː	None	Namhsan	22.965064	97.163239	11_stone	m oː	moː			
162	m oːu̯	1841	None	stone	1762	KhunHawt	moːw	None	Khun Hawt	22.965064	97.163239	11_stone	m oːu̯	moːw			
163	m oːu̯	1841	None	stone	1762	HtanHsan	moːw	None	Htan Hsan	22.675133	97.289942	11_stone	m oːu̯	moːw			
164	m aːu̯	1841	None	stone	1762	PangKham	maːw	None	Pangkham	22.672097	97.161167	11_stone	m aːu̯	maːw			
