,Latitude,Longitude,Name of the villages,Country
,,,,
1.0,"22° 57'54.23"" N","97° 09' 47.66"" E",Nam Hsan,"Namhsan township, Shan State Myanmar"
2.0,"22° 57'54.23"" N","97° 09' 47.66"" E",Khun Hawt,"Namhsan, Shan State Myanmar"
3.0,"22° 40' 30.48"" N","97° 17' 23.79"" E",Htan Hsan,"Hsipaw,  Shan State Myanmar"
4.0,"22° 40' 19.55"" N","97° 09' 40.20"" E",Pang Kham,"Hsipaw,  Shan State Myanmar"
5.0,"22° 38' 09.67"" N","97° 08' 21.35"" E",Man Loi,"Hsipaw,  Shan State Myanmar"
6.0,"24° 17' 47.48"" N","98° 22' 47.59"" E",Meng Dan,"Santaishan, Dehong, Yunnan   China"
7.0,"24° 19' 51.20"" N","98° 23' 35.25"" E",Chu Dong Gua,"Santaishan, Dehong, Yunnan   China"
8.0,"24° 19' 25.75"" N","98° 33' 23.90"" E",Xiang Zhai Tang  (Xiang Cai Tang),"Mangshi, Dehong, Yunnan   China"
9.0,"20° 19' 17.49"" N","99° 52' 00.54"" E",Pong Nuea,"Mae Sai, Chiang Rai,  Thailand"
10.0,"20° 38' 06.09"" N","96° 32' 44.78"" E",Nyaung Gone,"Kalaw, Shan State   Myanmar"
11.0,"19° 56' 30.49"" N","99° 02' 41.07"" E",Noe Lae,"Fang, Chiang Mai, Thailand"
12.0,"21° 18' 40.41"" N","99° 33' 27.18"" E",Ban Paw,"Keng Tung, Shan State,  Myanmar"
13.0,"24° 18' 20.58"" N","98° 27' 49.18"" E",Cha Ye Qing,"Mangshi, Dehong, Yunnan   China"
14.0,"24° 03' 56.57"" N","97° 47' 46.61"" E",Guang Ka,"Ruili, Dehong,  Yunnan, China"
15.0,"24° 24' 59.01"" N","98° 23' 56.68"" E",Mang Bang,"Longchuan, Dehong, Yunnan, China"
16.0,"24° 01' 11.02"" N","97° 49' 11.05"" E",Nan Sang,"Ruili, Dehong,  Yunnan, China"
