No.,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Namhsan,,Khun Hawt,,Htan Hsan,,Pangkham,,Man Loi,,Meng Dan,,Chu Dong Gua,,Xiang Zhai Tang,,Pong Nuea,,Nyaung Gone,,Noe Lae,,Ban Paw,,Cha Ye Qing,,Guang Ka,,Mang Bang,,Nan Sang,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.             ,sun,saŋiː,1.0,saŋiː,1.0,saŋiː,1.0,saŋaj,2.0,saŋaj,2.0,ŋəj,2.0,səŋɔj,2.0,saŋɛː,1.0,saŋɛj,2.0,saŋɛ,1.0,saŋɛ,1.0,saŋɛ,1.0,khaŋaj,2.0,saŋaj,2.0,saŋaj,2.0,saŋaj,2.0
       2.             ,moon,blaŋkiәːr,1.0,paŋkia ,2.0,baŋkia,2.0,blaŋɡian,1.0,blaŋɡiaː,2.0,blaŋɡiar,1.0,blaŋkiar,1.0,məɡian,1.0,maɡian,1.0,maɡian,1.0,maɡian,1.0,maɡian,1.0,lənlaːw,3.0,pakjəː,4.0,pakjəː,4.0,pakjəː,4.0
       3.             ,star,samɛŋ,1.0,sәmeɲ,1.0,sameɲ,1.0,plaːŋ,2.0,plaːŋ,2.0,kəman,3.0,səmaɲ,1.0,samɛɲ,1.0,samaɲ,1.0,samăn,1.0,samăɲ,1.0,samăn ,1.0,khaman,3.0,laːw,4.0,laːw,4.0,laːw,4.0
       4.             ,cloud ,Ɂuːt,1.0,Ɂuːt,1.0,ɁuːɁ,1.0,ɁaɁuːt,1.0,ɁaɁut,1.0,ʔuːt,1.0,kɨʔuːt,1.0,ŋɁuɁ,1.0,ŋɁuɁ,1.0,ŋ ʔuʔ,1.0,ŋ Ɂu,1.0,ŋ ɁuɁ,1.0,ŋɁuːɁ,1.0,ɁoŋɁuːɁ,1.0,ŋɁuɁ,1.0,ŋɁuːɁ,1.0
       5.             ,rain,ʨuŋ,1.0,ʥoŋ,1.0,ʥuːŋ,1.0,ɡlaːj,2.0,ɡlaːj,2.0,ɡlaːj,2.0,klaj,2.0,ɡlaːj,2.0,ɡlaːj,2.0,ɡlaj,2.0,ɡlaj,2.0,ɡlaj,2.0,ɡlaːj,2.0,klaːj,2.0,klaːj,2.0,klaːj,2.0
       6.             ,wind,khuːr,1.0,khuːr,1.0,khuːr,1.0,khuːn,1.0,khuː,2.0,khuːr,1.0,khuːr,1.0,khuːn,1.0,khuːn,1.0,khun,1.0,khun,1.0,khun,1.0,khuː,2.0,khuː,2.0,khuː,2.0,khuː,2.0
       7.             ,night,ram̥әɯ,1.0,lapm̥әː,1 or 2,rәnm̥әː,1.0,khimm̥әɯ,1.0,khiːm̥әɯ,1.0,khiːw m̥əɯ,1.0,kham̥ɯ,1.0,ʨuŋm̥əɯ,1 or 2,khɛm̥әɯ,1.0,pam̥ə,1.0,khɛm̥ə,1.0,khɛm̥ə,1.0,kham̥eːw,1.0,kasɛm,3.0,kasəm,3.0,kasəm,3.0
       8.             ,year,sanәm,1.0,sanәm,1.0,sәnәm,1.0,sanam,1.0,sanam,1.0,sənam,1.0,sanɔm,1.0,sanəm,1.0,sanəm,1.0,sanăm,1.0,sanə̆m,1.0,sanăm,1.0,khanam,1.0,sanam,1.0,sanam,1.0,sanam,1.0
