ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SubGroup,Location,EthnicName,Abbreviation
ChuDongGua,Chu Dong Gua,,,,,,,Austro-Asiatic,Palaung,"Santaishan, Dehong",Liang/Ta-ang,CDG
MengDan,Meng Dan,khan1274,,,,,,Austro-Asiatic,Palaung,"Santaishan, Dehong",Pule/Ka-ang,MD
NanSang,Nan Sang,ruma1248,,,,,,Austro-Asiatic,Palaung,"Ruili, Dehong",Rumai,NS
GuangKa,Guang Ka,ruma1248,,,,,,Austro-Asiatic,Palaung,"Ruili, Dehong",Rumai,GK
MangBang,Mang Bang,ruma1248,,,,,,Austro-Asiatic,Palaung,"Longchuan, Dehong",Rumai,MB
ChaYeQing,Cha Ye Qing,,,,,,,Austro-Asiatic,Palaung,"Mangshi, Dehong",Raokot/La-ang,CYQ
XiangZhaiTang,Xiang Zhai Tang,ruma1248,,,,,,Austro-Asiatic,Palaung,"Mangshi, Dehong",Raojin/Na-ang,XCT
NamHsan,Namhsan,,,,,,,Austro-Asiatic,Palaung,"Namhsan Township, Shan",Ta-ang/SaamLoong,NH
KhunHawt,Khun Hawt,,,,,,,Austro-Asiatic,Palaung,"Namhsan, Shan",Ta-ang,KH
HtanHsan,Htan Hsan,,,,,,,Austro-Asiatic,Palaung,"Hsipaw, Shan",Ta-ang,TS
PangKham,Pangkham,,,,,,,Austro-Asiatic,Palaung,"Hsipaw, Shan",Dara-ang/Ta-ang,PK
ManLoi,Man Loi,,,,,,,Austro-Asiatic,Palaung,"Hsipaw, Shan",Dara-ang/Katiang,ML
NyaungGone,Nyaung Gone,,,,,,,Austro-Asiatic,Palaung,"Kalaw, Shan",Da-ang,NG
BanPaw,Ban Paw,,,,,,,Austro-Asiatic,Palaung,"KengTung, Shan",Dara-ang,BP
NoeLae,Noe Lae,,,,,,,Austro-Asiatic,Palaung,"Fang, Chiang Mai",Dara-ang,NL
PongNuea,Pong Nuea,,,,,,,Austro-Asiatic,Palaung,"Mae Sai, Chiang Rai",Dara-ang,PN
